Instrument,HorizonBars,ResolvedArchetype,DominantPressure,Count,FutureDirectionalProbability,MeanDirectionalReleasePressure,MeanExhaustionPressure,MeanCompressionPressure,MeanRotationalPressure,BaselineFutureDirectionalProbability,DirectionalLift,DirectionalEdge,ForecastQuality,ObservedSuccesses,ExpectedSuccesses,ZScore,PValue,WilsonCILow,WilsonCIHigh,SignificanceClass
NQ,5,Directional Continuation / Sponsor Release,RotationalPressure,243,0.0699588477366255,0.2335600842569547,0.2528692272519433,0.1349179778093816,0.4893382893726967,0.062239397945693,1.124028349336992,0.0077194497909324,Neutral,17,15.124173700803398,0.49809341552895847,0.618418201301099,0.044133985246579875,0.10916918569381265,NotSignificant
NQ,20,Stable Compression Basin,RotationalPressure,597,0.0686767169179229,0.0426650499947149,0.0794249022892238,0.5170602256754585,0.5786895451442704,0.0623344876756976,1.1017451089872017,0.0063422292422252,Neutral,41,37.213689142391466,0.6409747663065618,0.5215390776328941,0.05102497051426859,0.09184396532506077,NotSignificant
ES,20,Unstable Rotational Balance,RotationalPressure,314,0.0732484076433121,0.0772058574093866,0.0594922151450813,0.1374831153267976,0.7392133780264134,0.0671999999999999,1.0900060661207165,0.0060484076433121,Neutral,23,21.100799999999968,0.4280820052674248,0.6685914173702088,0.049301801235436746,0.1075109004373462,NotSignificant
ES,20,Stable Compression Basin,RotationalPressure,181,0.0662983425414364,0.0467584068148836,0.0797421731123388,0.5172649533336109,0.5793977093728775,0.0671999999999999,0.9865824782951852,-0.0009016574585635,Neutral,12,12.163199999999982,-0.04845091261181045,0.9613568845219289,0.0383284500706632,0.1122956518631006,NotSignificant
6E,20,Unstable Rotational Balance,RotationalPressure,432,0.0462962962962962,0.0673005268934871,0.0612268518518518,0.1299214468354344,0.7516020965698066,0.0482884074747808,0.9587455606291208,-0.0019921111784846,Neutral,20,20.860592029105305,-0.19314404598574755,0.8468461583315374,0.030166607125730712,0.0704240661831044,NotSignificant
NQ,20,Stable Compression Basin,CompressionPressure,1965,0.0595419847328244,0.0947466048628985,0.0516963528413909,0.6352859505250055,0.4407379348249069,0.0623344876756976,0.9552013171680886,-0.0027925029428732,Neutral,117,122.48726828274579,-0.5120197912791558,0.6086371583513275,0.04991334899312083,0.07088946216243376,NotSignificant
ES,20,Sponsor Exhaustion Collapse,RotationalPressure,300,0.0633333333333333,0.0970404624061355,0.1558888888888888,0.1409341442703903,0.4843554950536338,0.0671999999999999,0.9424603174603172,-0.0038666666666666,Neutral,19,20.159999999999968,-0.2674967172215413,0.7890867413933813,0.04091655604878176,0.09679203948257407,NotSignificant
ES,20,Directional Continuation / Sponsor Release,RotationalPressure,81,0.0617283950617283,0.2422630639520636,0.251954732510288,0.1314755138628471,0.4882410512742737,0.0671999999999999,0.9185773074661954,-0.0054716049382716,Neutral,5,5.443199999999992,-0.19668821411296675,0.8440715337099158,0.026652119089554074,0.13649426193107733,NotSignificant
6E,20,Directional Continuation / Sponsor Release,RotationalPressure,137,0.0437956204379562,0.2318150706290807,0.2532238442822384,0.1325780285217602,0.4901739804658098,0.0482884074747808,0.9069593040695936,-0.0044927870368246,Neutral,6,6.61551182404497,-0.2453025119569006,0.8062222069008502,0.020223886822615784,0.09225424463854343,NotSignificant
ES,20,Stable Compression Basin,CompressionPressure,542,0.0608856088560885,0.0958770415729635,0.0497642476424763,0.635376048720632,0.4370207503469964,0.0671999999999999,0.906035846072746,-0.0063143911439114,Neutral,33,36.422399999999946,-0.5871542634388549,0.5571001063716761,0.04367902229440289,0.0842731162014538,NotSignificant
6E,20,Stable Compression Basin,RotationalPressure,344,0.0436046511627907,0.0449663027855593,0.0802487080103358,0.51932583639012,0.5804781126862599,0.0482884074747808,0.9030045396623134,-0.0046837563119901,Neutral,15,16.611212171324595,-0.4052279490804017,0.6853099625475167,0.026600131056852466,0.07069012979751343,NotSignificant
ES,10,Pure Unresolved Compression Equilibrium,RotationalPressure,66,0.0606060606060606,0.0418153618624542,0.0757996632996632,0.5124033875438712,0.5747910055493132,0.0673046251993619,0.9004739336492897,-0.0066985645933013,Neutral,4,4.4421052631578855,-0.2172007650853294,0.828051888464886,0.023818229304678556,0.14573115100734177,NotSignificant
6E,10,Unstable Rotational Balance,RotationalPressure,433,0.0415704387990762,0.0674572515455322,0.0611496022581472,0.1300857179931958,0.7513236719096239,0.0482086841670794,0.8623018760479608,-0.0066382453680032,Neutral,18,20.87436024434538,-0.644857479430896,0.5190195488920257,0.026454366436152812,0.06474940170314526,NotSignificant
6E,5,Pure Unresolved Compression Equilibrium,RotationalPressure,120,0.0416666666666666,0.038373587693417,0.0746527777777777,0.51979561580415,0.5702986780188083,0.0484988452655888,0.8591269841269839,-0.0068321785989222,Neutral,5,5.819861431870656,-0.34840106560103906,0.7275390023646735,0.017926452505837805,0.0938421292954309,NotSignificant
NQ,10,Directional Continuation / Sponsor Release,RotationalPressure,243,0.0534979423868312,0.2335600842569547,0.2528692272519433,0.1349179778093816,0.4893382893726967,0.0622710622710622,0.8591140159767606,-0.008773119884231,Neutral,13,15.131868131868115,-0.5659465339613166,0.5714301268179178,0.03152740364763877,0.08936631929047213,NotSignificant
ES,10,Stable Compression Basin,CompressionPressure,546,0.0567765567765567,0.0957587625459609,0.0499592999592999,0.6351881668021412,0.437314045415135,0.0673046251993619,0.8435758554241961,-0.0105280684228052,Neutral,31,36.748325358851595,-0.9818669765874022,0.3261653866691705,0.04028370081177189,0.07946278617648071,NotSignificant
NQ,20,Directional Continuation / Sponsor Release,RotationalPressure,243,0.0493827160493827,0.2335600842569547,0.2528692272519433,0.1349179778093816,0.4893382893726967,0.0623344876756976,0.7922214153150974,-0.0129517716263149,Neutral,12,15.147280505194518,-0.835110888600629,0.40365527650810895,0.02847126599836866,0.08432009493917184,NotSignificant
NQ,20,Pure Unresolved Compression Equilibrium,RotationalPressure,193,0.0466321243523316,0.0415346086122888,0.0739061600460563,0.5192499924380745,0.5671601444863134,0.0623344876756976,0.7480950929594639,-0.015702363323366,Neutral,9,12.030556121409637,-0.9023094541699728,0.3668925047878866,0.02472416363338991,0.08623612118445345,NotSignificant
6E,5,Sponsor Exhaustion Collapse,CompressionPressure,139,0.0359712230215827,0.1982777187951547,0.1157873701039168,0.4012427127442461,0.1889158930849865,0.0484988452655888,0.7416923603973965,-0.0125276222440061,Neutral,5,6.741339491916843,-0.6875522226597547,0.49173480383954704,0.015460613110063436,0.08144112979956511,NotSignificant
6E,20,Pure Unresolved Compression Equilibrium,RotationalPressure,120,0.0333333333333333,0.038373587693417,0.0746527777777777,0.51979561580415,0.5702986780188083,0.0482884074747808,0.6902968036529677,-0.0149550741414475,Neutral,4,5.794608896973696,-0.7641965493734992,0.44475012257850954,0.013037340166920576,0.0825815794852803,NotSignificant
ES,20,Pure Unresolved Compression Equilibrium,RotationalPressure,66,0.0454545454545454,0.0418153618624542,0.0757996632996632,0.5124033875438712,0.5747910055493132,0.0671999999999999,0.6764069264069259,-0.0217454545454545,ModerateNegativeLift,3,4.435199999999993,-0.7056048425622623,0.4804339119339489,0.015577991894810295,0.1253351601521073,NotSignificant
NQ,20,Sponsor Exhaustion Collapse,RotationalPressure,1223,0.0449713818479149,0.0883275093606374,0.1564004724266375,0.1418429300305204,0.4833205725483068,0.0623344876756976,0.7214526584686745,-0.0173631058277827,Neutral,55,76.23507842737817,-2.511611553731775,0.01201812951018355,0.0347122084101153,0.05808021075793378,SignificantNegative
NQ,10,Stable Compression Basin,CompressionPressure,1968,0.0426829268292682,0.0947431657307725,0.0517092931345979,0.6352782956944036,0.4407084402276722,0.0622710622710622,0.6854375896700134,-0.019588135441794,Neutral,84,122.54945054945041,-3.5960344947120815,0.00032310497384724357,0.03460724741216787,0.052540523483831085,SignificantNegative
6E,10,Stable Compression Basin,CompressionPressure,1299,0.0323325635103926,0.0919421821587574,0.0512039175434094,0.6334788245710742,0.443032821554059,0.0482086841670794,0.6706792369261916,-0.0158761206566868,Neutral,42,62.62308073303614,-2.6712556791679143,0.007556806221000301,0.02400814518146956,0.04341493986586083,SignificantNegative
ES,5,Stable Compression Basin,CompressionPressure,549,0.0455373406193078,0.0957659408028469,0.0500151791135397,0.6351231515799122,0.4370947739633251,0.0681528662420381,0.6681647174982551,-0.0226155256227303,ModerateNegativeLift,25,37.41592356687892,-2.102705538641279,0.03549151760932068,0.031031957282619874,0.06635868770502214,SignificantNegative
NQ,5,Stable Compression Basin,CompressionPressure,1968,0.0386178861788617,0.0947431657307725,0.0517092931345979,0.6352782956944036,0.4407084402276722,0.062239397945693,0.6204733248312867,-0.0236215117668313,ModerateNegativeLift,76,122.48713515712382,-4.337520625740531,1.4409901552214777e-05,0.030964629440025617,0.04806889941949331,SignificantNegative
6E,5,Stable Compression Basin,CompressionPressure,1300,0.0276923076923076,0.0919358484288916,0.0511965811965811,0.6334594818855066,0.4430574116913252,0.0484988452655888,0.5709890109890098,-0.0208065375732812,ModerateNegativeLift,36,63.04849884526544,-3.4922162766021105,0.00047903020577644284,0.020068976898492675,0.03809882507990717,SignificantNegative
6E,20,Sponsor Exhaustion Collapse,RotationalPressure,726,0.0275482093663911,0.0878618820247817,0.1553455277887095,0.1428624796712791,0.4814240174132949,0.0482884074747808,0.5704932261594763,-0.0207401981083897,ModerateNegativeLift,20,35.05738382669087,-2.6067962625466023,0.009139372238527121,0.017902715464933234,0.042167305208045666,SignificantNegative
NQ,10,Unstable Rotational Balance,RotationalPressure,1147,0.03487358326068,0.079835409893473,0.0588225322096289,0.1521001852476201,0.7252355668808351,0.0622710622710622,0.5600287194215087,-0.0273974790103822,ModerateNegativeLift,40,71.42490842490835,-3.839816898346024,0.00012312610528875112,0.025713520113289423,0.04713890371289134,SignificantNegative
ES,10,Sponsor Exhaustion Collapse,RotationalPressure,300,0.0366666666666666,0.0970404624061355,0.1558888888888888,0.1409341442703903,0.4843554950536338,0.0673046251993619,0.5447867298578193,-0.0306379585326953,ModerateNegativeLift,11,20.191387559808568,-2.1180103828650974,0.03417418836575692,0.02059509146818067,0.06445448699638771,SignificantNegative
NQ,10,Stable Compression Basin,RotationalPressure,597,0.0318257956448911,0.0426650499947149,0.0794249022892238,0.5170602256754585,0.5786895451442704,0.0622710622710622,0.5110848359444281,-0.0304452666261711,ModerateNegativeLift,19,37.17582417582413,-3.078400713567981,0.002081148653911402,0.020467550148086808,0.049170770500816335,SignificantNegative
ES,10,Unstable Rotational Balance,RotationalPressure,320,0.034375,0.0777641202117892,0.0595920138888888,0.138998111101219,0.7378338680901776,0.0673046251993619,0.5107375592417066,-0.0329296251993619,ModerateNegativeLift,11,21.537480063795805,-2.3510908440102196,0.018718463251297113,0.019300740388941036,0.06049629618696522,SignificantNegative
NQ,5,Unstable Rotational Balance,RotationalPressure,1147,0.029642545771578,0.079835409893473,0.0588225322096289,0.1521001852476201,0.7252355668808351,0.062239397945693,0.4762665891698149,-0.032596852174115,StrongNegativeLift,34,71.38858944370988,-4.569605295018862,4.886436179241116e-06,0.021288864902836796,0.04113640717630945,SignificantNegative
NQ,5,Stable Compression Basin,RotationalPressure,597,0.0234505862646566,0.0426650499947149,0.0794249022892238,0.5170602256754585,0.5786895451442704,0.062239397945693,0.3767804162424323,-0.0387888116810364,StrongNegativeLift,14,37.15692057357872,-3.9229697343712293,8.746414226168397e-05,0.014019375828522957,0.038975623186192396,SignificantNegative
ES,5,Unstable Rotational Balance,RotationalPressure,322,0.0248447204968944,0.0779289854803223,0.0596100759144236,0.1393624018470506,0.7372876666892221,0.0681528662420381,0.3645440297207872,-0.0433081457451437,StrongNegativeLift,8,21.94522292993627,-3.083778143324753,0.002043899521784409,0.012641682389443479,0.04825170875521085,SignificantNegative
