Instrument,HorizonBars,ResolvedArchetype,FutureArchetype,Count,Total,Probability
6E,5,Directional Continuation / Sponsor Release,Sponsor Exhaustion Collapse,98,297,0.32996632996632996
6E,5,Pure Unresolved Compression Equilibrium,Pure Unresolved Compression Equilibrium,1646,2765,0.5952983725135624
6E,5,Sponsor Exhaustion Collapse,Stable Compression Basin,363,900,0.4033333333333333
6E,5,Stable Compression Basin,Pure Unresolved Compression Equilibrium,695,1644,0.42274939172749393
6E,5,Unstable Rotational Balance,Stable Compression Basin,172,456,0.37719298245614036
6E,10,Directional Continuation / Sponsor Release,Stable Compression Basin,113,297,0.38047138047138046
6E,10,Pure Unresolved Compression Equilibrium,Pure Unresolved Compression Equilibrium,1415,2761,0.5124954726548352
6E,10,Sponsor Exhaustion Collapse,Pure Unresolved Compression Equilibrium,380,900,0.4222222222222222
6E,10,Stable Compression Basin,Pure Unresolved Compression Equilibrium,702,1643,0.42726719415702985
6E,10,Unstable Rotational Balance,Pure Unresolved Compression Equilibrium,186,456,0.40789473684210525
6E,20,Directional Continuation / Sponsor Release,Pure Unresolved Compression Equilibrium,128,295,0.43389830508474575
6E,20,Pure Unresolved Compression Equilibrium,Pure Unresolved Compression Equilibrium,1304,2761,0.4722926475914524
6E,20,Sponsor Exhaustion Collapse,Pure Unresolved Compression Equilibrium,426,895,0.4759776536312849
6E,20,Stable Compression Basin,Pure Unresolved Compression Equilibrium,714,1641,0.4351005484460695
6E,20,Unstable Rotational Balance,Pure Unresolved Compression Equilibrium,187,455,0.41098901098901097
ES,5,Directional Continuation / Sponsor Release,Stable Compression Basin,59,212,0.2783018867924528
ES,5,Pure Unresolved Compression Equilibrium,Pure Unresolved Compression Equilibrium,971,1474,0.658751696065129
ES,5,Sponsor Exhaustion Collapse,Stable Compression Basin,162,392,0.413265306122449
ES,5,Stable Compression Basin,Pure Unresolved Compression Equilibrium,292,730,0.4
ES,5,Unstable Rotational Balance,Stable Compression Basin,115,332,0.3463855421686747
ES,10,Directional Continuation / Sponsor Release,Pure Unresolved Compression Equilibrium,64,212,0.3018867924528302
ES,10,Pure Unresolved Compression Equilibrium,Pure Unresolved Compression Equilibrium,831,1474,0.5637720488466758
ES,10,Sponsor Exhaustion Collapse,Stable Compression Basin,139,392,0.35459183673469385
ES,10,Stable Compression Basin,Pure Unresolved Compression Equilibrium,330,727,0.45392022008253097
ES,10,Unstable Rotational Balance,Pure Unresolved Compression Equilibrium,125,330,0.3787878787878788
ES,20,Directional Continuation / Sponsor Release,Pure Unresolved Compression Equilibrium,86,212,0.4056603773584906
ES,20,Pure Unresolved Compression Equilibrium,Pure Unresolved Compression Equilibrium,718,1474,0.4871099050203528
ES,20,Sponsor Exhaustion Collapse,Pure Unresolved Compression Equilibrium,171,392,0.4362244897959184
ES,20,Stable Compression Basin,Pure Unresolved Compression Equilibrium,355,723,0.49100968188105115
ES,20,Unstable Rotational Balance,Pure Unresolved Compression Equilibrium,144,324,0.4444444444444444
NQ,5,Directional Continuation / Sponsor Release,Stable Compression Basin,198,612,0.3235294117647059
NQ,5,Pure Unresolved Compression Equilibrium,Pure Unresolved Compression Equilibrium,2535,4062,0.6240768094534712
NQ,5,Sponsor Exhaustion Collapse,Stable Compression Basin,579,1406,0.4118065433854908
NQ,5,Stable Compression Basin,Pure Unresolved Compression Equilibrium,893,2565,0.34814814814814815
NQ,5,Unstable Rotational Balance,Stable Compression Basin,361,1188,0.30387205387205385
NQ,10,Directional Continuation / Sponsor Release,Pure Unresolved Compression Equilibrium,215,612,0.35130718954248363
NQ,10,Pure Unresolved Compression Equilibrium,Pure Unresolved Compression Equilibrium,2118,4057,0.5220606359378851
NQ,10,Sponsor Exhaustion Collapse,Stable Compression Basin,478,1406,0.3399715504978663
NQ,10,Stable Compression Basin,Pure Unresolved Compression Equilibrium,960,2565,0.3742690058479532
NQ,10,Unstable Rotational Balance,Stable Compression Basin,388,1188,0.3265993265993266
NQ,20,Directional Continuation / Sponsor Release,Pure Unresolved Compression Equilibrium,254,612,0.4150326797385621
NQ,20,Pure Unresolved Compression Equilibrium,Pure Unresolved Compression Equilibrium,1880,4052,0.46396841066140176
NQ,20,Sponsor Exhaustion Collapse,Pure Unresolved Compression Equilibrium,522,1406,0.3712660028449502
NQ,20,Stable Compression Basin,Pure Unresolved Compression Equilibrium,976,2562,0.38095238095238093
NQ,20,Unstable Rotational Balance,Pure Unresolved Compression Equilibrium,431,1186,0.3634064080944351
