Instrument,HorizonBars,DominantPressure,FutureArchetype,Count,Total,Probability
6E,5,CompressionPressure,Pure Unresolved Compression Equilibrium,2201,4109,0.535653443660258
6E,5,DirectionalReleasePressure,Sponsor Exhaustion Collapse,65,188,0.34574468085106386
6E,5,RotationalPressure,Stable Compression Basin,676,1765,0.3830028328611898
6E,10,CompressionPressure,Pure Unresolved Compression Equilibrium,2018,4104,0.49171539961013644
6E,10,DirectionalReleasePressure,Stable Compression Basin,69,188,0.3670212765957447
6E,10,RotationalPressure,Pure Unresolved Compression Equilibrium,702,1765,0.39773371104815863
6E,20,CompressionPressure,Pure Unresolved Compression Equilibrium,1916,4102,0.46708922476840564
6E,20,DirectionalReleasePressure,Pure Unresolved Compression Equilibrium,82,186,0.44086021505376344
6E,20,RotationalPressure,Pure Unresolved Compression Equilibrium,761,1759,0.4326321773735077
ES,5,CompressionPressure,Pure Unresolved Compression Equilibrium,1183,2039,0.5801863658656204
ES,5,DirectionalReleasePressure,Stable Compression Basin,44,151,0.2913907284768212
ES,5,RotationalPressure,Stable Compression Basin,341,950,0.3589473684210526
ES,10,CompressionPressure,Pure Unresolved Compression Equilibrium,1090,2036,0.5353634577603144
ES,10,DirectionalReleasePressure,Stable Compression Basin,43,151,0.2847682119205298
ES,10,RotationalPressure,Pure Unresolved Compression Equilibrium,348,948,0.3670886075949367
ES,20,CompressionPressure,Pure Unresolved Compression Equilibrium,983,2032,0.483759842519685
ES,20,DirectionalReleasePressure,Pure Unresolved Compression Equilibrium,71,151,0.47019867549668876
ES,20,RotationalPressure,Pure Unresolved Compression Equilibrium,420,942,0.445859872611465
NQ,5,CompressionPressure,Pure Unresolved Compression Equilibrium,3202,6024,0.5315405046480743
NQ,5,DirectionalReleasePressure,Stable Compression Basin,121,406,0.29802955665024633
NQ,5,RotationalPressure,Stable Compression Basin,1220,3403,0.3585071995298266
NQ,10,CompressionPressure,Pure Unresolved Compression Equilibrium,2852,6019,0.4738328626017611
NQ,10,DirectionalReleasePressure,Pure Unresolved Compression Equilibrium,163,406,0.4014778325123153
NQ,10,RotationalPressure,Stable Compression Basin,1135,3403,0.3335292389068469
NQ,20,CompressionPressure,Pure Unresolved Compression Equilibrium,2660,6011,0.4425220429213109
NQ,20,DirectionalReleasePressure,Pure Unresolved Compression Equilibrium,163,406,0.4014778325123153
NQ,20,RotationalPressure,Pure Unresolved Compression Equilibrium,1240,3401,0.3645986474566304
