Instrument,HorizonBars,ResolvedArchetype,DominantPressure,SurvivorshipScore,SurvivorshipClass,DirectionalHitRate,MeanDirectionalMFE,MeanDirectionalMAE,Support,ObservedMean,ObservedMedian,ObservedStd,BootstrapMean,BootstrapStd,CILow_2p5,CIHigh_97p5,ProbabilityMeanPositive,ProbabilityMeanNegative,BootstrapConfidenceClass
6E,10,Directional Continuation / Sponsor Release,RotationalPressure,1.741109158867319,WeakCandidatePositive,0.5925925925925926,2.229252315994217,-1.5473192239956208,135,0.6565411513342264,0.4545454545452264,2.6035004575749676,0.6557624688211253,0.2218779311852029,0.24205744977243218,1.0953296898998088,0.9988,0.0012,BootstrapConfirmedPositive
ES,5,Stable Compression Basin,CompressionPressure,3.738554175724265,CandidatePositive,0.5191256830601093,1.5167205779496555,-1.1094331914862285,542,0.33486877438597945,0.10687178590679311,2.8279193834587133,0.3346823402877169,0.12021263030959618,0.10380175898268515,0.5789549959866782,0.9972,0.0028,BootstrapConfirmedPositive
ES,10,Stable Compression Basin,CompressionPressure,2.426461149403841,CandidatePositive,0.5238095238095238,2.174098396884139,-1.6755864708855888,539,0.3830117228167757,0.115321252059308,3.538113270929391,0.3812778251291411,0.14942922314177196,0.09643907039813397,0.6782410332291965,0.9948,0.0052,BootstrapConfirmedPositive
ES,10,Directional Continuation / Sponsor Release,DirectionalReleasePressure,2.271726885940228,CandidatePositive,0.549618320610687,2.230959646413894,-1.4623595339321085,127,0.6902939139753889,0.506578947368421,3.322310943472121,0.6946585905911198,0.2974935260644781,0.14268417946248568,1.3002921199831332,0.9928,0.0072,BootstrapConfirmedPositive
6E,20,Pure Unresolved Compression Equilibrium,RotationalPressure,1.7282193019326222,WeakCandidatePositive,0.5535714285714286,3.0955601980082164,-2.15402293321795,112,0.8519911785470541,0.48922704012888046,4.013375076149813,0.8465643026488465,0.37405550528777937,0.13217534947261209,1.5868005815706259,0.9894,0.0106,BootstrapConfirmedPositive
ES,20,Directional Continuation / Sponsor Release,DirectionalReleasePressure,1.731723656167301,WeakCandidatePositive,0.5954198473282443,2.8815810514359677,-1.935230300256103,127,0.6546006908285394,0.6916996047430829,3.6447119079679386,0.658622286156033,0.32127678593785525,0.03674673544050519,1.2979208764990047,0.9808,0.0192,BootstrapConfirmedPositive
ES,20,Pure Unresolved Compression Equilibrium,CompressionPressure,1.8441558760376564,WeakCandidatePositive,0.5085227272727273,2.973658309863703,-2.7949930436383537,1408,0.24354724401173986,0.07757720881684775,5.184897459400022,0.24339558985934337,0.1353934010970335,-0.019544977818685444,0.5098864507968942,0.9646,0.0354,PositiveButUncertain
6E,5,Pure Unresolved Compression Equilibrium,CompressionPressure,1.0709692760476757,WeakCandidatePositive,0.4915320992516739,1.3115685117488214,-1.1962259814267855,2538,0.0557523274582155,0.0,1.7736394611851425,0.055602683919675995,0.03548867763709484,-0.015586360810585263,0.12428901370013519,0.9414,0.0586,PositiveButUncertain
ES,5,Directional Continuation / Sponsor Release,DirectionalReleasePressure,0.9059309292138912,WeakCandidatePositive,0.5267175572519084,1.3134676793629796,-1.1059715132998291,127,0.21174018167070188,0.1838074398249452,1.6952241066804876,0.2096907703849391,0.1509250792697536,-0.08919032047007966,0.49532700297887006,0.9136,0.0864,PositiveButUncertain
ES,10,Stable Compression Basin,RotationalPressure,2.182528837843644,CandidatePositive,0.5138121546961326,1.9955882254786426,-1.56343579034027,181,0.2872665977005108,0.0652680652680652,3.1061082444026997,0.287513081344998,0.23014253554689354,-0.15050658909649578,0.7604368960770279,0.8986,0.1014,PositiveButUncertain
6E,10,Pure Unresolved Compression Equilibrium,CompressionPressure,1.9827547774797352,WeakCandidatePositive,0.4980268350434096,1.8945636017635068,-1.7744390234131733,2533,0.06378980011801,0.0,2.530457924519512,0.06375393141952075,0.05062023699401108,-0.03509027002260987,0.165661909958114,0.8982,0.1018,PositiveButUncertain
ES,20,Stable Compression Basin,CompressionPressure,1.255206312767593,WeakCandidatePositive,0.525830258302583,2.982613736651368,-2.5968677280017816,535,0.25890031306182865,0.2109227871939736,4.90160715379141,0.25668259463581694,0.2134699937236675,-0.17104698282685118,0.6710599424723702,0.8808,0.1192,PositiveButUncertain
6E,20,Directional Continuation / Sponsor Release,RotationalPressure,0.7933691506425578,WeakCandidatePositive,0.4962962962962963,3.2032843550508536,-2.367902846413297,135,0.29227374379177323,0.0,3.450808673310386,0.2985130432663931,0.292500882628681,-0.2773132456044643,0.8881966896305111,0.8488,0.1512,PositiveButUncertain
ES,10,Pure Unresolved Compression Equilibrium,CompressionPressure,1.8130936316941424,WeakCandidatePositive,0.4708806818181818,1.9141722942445225,-1.8346766352402044,1408,0.08964290811343266,-0.09876573931219826,3.351569234676046,0.0885799614759249,0.0890978565661168,-0.0776360784509493,0.26561337095931165,0.8434,0.1566,PositiveButUncertain
ES,20,Unstable Rotational Balance,RotationalPressure,1.4539044053959325,WeakCandidatePositive,0.535031847133758,3.0856117842076296,-2.8817984380901347,314,0.28275964539225207,0.1556183542484912,5.132071450890294,0.2900443864544714,0.29188306342650483,-0.2782376581875751,0.8689651094700195,0.8364,0.1636,PositiveButUncertain
