Instrument,HorizonBars,SurvivorshipClass,Rows,MeanScore,MeanInSampleReturn,MeanWFValidationReturn,MeanNOMeanReturn,MeanNOPositiveOffsetFraction
6E,5,CandidateNegative,2,-3.5999624287074035,-0.2895246305699263,-0.20564203619548727,-0.2881529917067569,0.0
6E,5,HighConvictionNegative,3,-4.931713843881559,-0.06887708219147205,-0.27187657541444415,-0.061986051260839094,0.4333333333333333
6E,5,NeutralOrUnproven,4,-0.029358442085611294,-0.03515755600484092,0.09757945351845852,0.02130666302364485,0.1
6E,5,WeakCandidateNegative,1,-1.6722725991359861,-0.2094439699474501,-0.2634135133261815,-0.1900248297251446,0.2
6E,5,WeakCandidatePositive,2,0.9724547687672156,0.04426606476399225,0.10337880624817469,0.0447516463280446,0.7
6E,10,CandidateNegative,2,-3.912468842094813,-0.4362877822420117,-0.48715055024700565,-0.4293352281237029,0.1
6E,10,HighConvictionNegative,2,-5.306705907557637,0.1464463683015571,-0.1861460123130525,0.0,0.0
6E,10,NeutralOrUnproven,4,-0.09858398158752711,-0.0581564948299735,0.12655861587920675,0.0,0.0
6E,10,WeakCandidateNegative,2,-1.4431732434796016,-0.1488776546828193,-0.0766572424410509,-0.13238389762031175,0.35
6E,10,WeakCandidatePositive,2,1.8619319681735271,0.36016547572611823,0.3929560378589512,0.0321958805215157,0.35
6E,20,CandidateNegative,3,-2.345792713968629,-0.45916782519418015,-0.3853171535140956,-0.5199648096962449,0.2222222222222222
6E,20,HighConvictionNegative,2,-5.862637382195764,-0.143174331825485,-0.44192089209609264,-0.0054203852520356,0.225
6E,20,NeutralOrUnproven,4,-0.004807606760159663,0.1792245364362034,0.6238993370943995,0.0,0.0
6E,20,WeakCandidateNegative,1,-1.0570112155120304,-0.169658102182054,-0.0388966359736379,-0.2430685831100952,0.2857142857142857
6E,20,WeakCandidatePositive,2,1.26079422628759,0.5721324611694137,0.4254432301954341,0.0,0.0
ES,5,CandidatePositive,1,3.738554175724265,0.3348687743859794,0.3674553421093458,0.3340845446328446,0.8
ES,5,HighConvictionNegative,1,-5.284115561446317,0.0242246092601565,-0.0830830859741742,0.0233187240093955,0.6
ES,5,NeutralOrUnproven,7,0.03015241761966957,0.10106372566450864,0.07820799953747985,0.017224587679626015,0.17142857142857143
ES,5,WeakCandidateNegative,1,-1.0660563831679295,-0.0270677101349284,-0.0391494418342902,-0.0212496305752534,0.4
ES,5,WeakCandidatePositive,1,0.9059309292138911,0.2117401816707018,0.8228405779428003,0.2144490476055071,0.8
ES,10,CandidatePositive,3,2.293572291062571,0.45352407816422513,0.8234307409602653,0.29607402155218704,0.6
ES,10,NeutralOrUnproven,7,0.13051041854782738,0.22290746816201762,0.14393039446783298,0.046877656051759975,0.17142857142857143
ES,10,WeakCandidatePositive,1,1.8130936316941426,0.0896429081134326,0.1384322532565559,0.0928666095409131,0.7
ES,20,CandidateNegative,1,-2.4029873321317727,-0.0093315118000514,0.0089575940395384,-0.3128405208871978,0.5
ES,20,NeutralOrUnproven,5,-0.02317716740581912,-0.14592232766806412,0.0,0.0,0.0
ES,20,WeakCandidatePositive,5,1.4214761093529327,0.32895819547470523,0.528538528689463,0.4713566645505571,0.4457894736842105
NQ,5,CandidateNegative,2,-2.220342804275176,-0.08288261244912225,0.13784263428115795,-0.1054490791597307,0.4
NQ,5,HighConvictionNegative,3,-5.512563224746695,0.0326600191513269,-0.11291092065837934,0.026938203560507034,0.5333333333333333
NQ,5,NeutralOrUnproven,5,0.11076958527332481,0.2314040639551827,0.053790453717561124,0.0061593812794497205,0.24
NQ,5,WeakCandidateNegative,1,-1.2556356444243764,-0.0665753048842356,-0.0207877938166127,-0.0651389069378277,0.4
NQ,5,WeakCandidatePositive,1,0.7656589474354636,0.0252528814442318,0.1544931804201484,0.0257087147662007,0.8
NQ,10,CandidateNegative,2,-2.2032215904460184,-0.13317380196737574,0.0489733561164649,-0.13757445156236425,0.35
NQ,10,HighConvictionNegative,3,-5.499559868717981,0.0654660275679491,-0.17530168982162164,0.06676924515775683,0.5666666666666667
NQ,10,NeutralOrUnproven,4,0.02657065713986071,0.2918384553075647,0.07860606021190235,0.007881758485385075,0.1
NQ,10,WeakCandidateNegative,3,-1.6540565210467324,-0.1497898319527519,-0.05275352837122827,0.011095042848803032,0.5333333333333333
NQ,20,CandidateNegative,1,-2.0890812073465828,-0.0571466435720329,0.1233449136752661,-0.0235921819240104,0.4
NQ,20,HighConvictionNegative,3,-5.40712882133613,-0.003703412424818466,-0.3426605957581987,-0.09491585409464116,0.25833333333333336
NQ,20,NeutralOrUnproven,5,-0.09829133922305558,-0.020098034102803797,-0.0060482491633062855,0.00915614266332722,0.12
NQ,20,WeakCandidateNegative,3,-0.9854195670580558,-0.1818224701058039,-0.1447829111932267,-0.054604015072168666,0.20000000000000004
