Instrument,HorizonBars,ResolvedArchetype,DominantPressure,InSampleSupport,InSampleMeanReturn,InSampleMedianReturn,InSampleHitRate,InSampleMFE,InSampleMAE,InSampleTStat,InSampleSignificance,WFTrainSupport,WFTrainMeanReturn,WFTrainHitRate,WFTrainTStat,WFValidationSupport,WFValidationMeanReturn,WFValidationHitRate,WFValidationTStat,WFGeneralizationClass,ValidationRetainsPositiveEdge,ValidationFlipsNegative,NOOffsetCount,NOTotalSupport,NOMeanReturn,NOMedianReturn,NOMeanTStat,NOMaxTStat,NOMinTStat,NOHitRate,NOMFE,NOMAE,NOPositiveOffsetFraction,NONegativeOffsetFraction,NORobustnessClass,InSampleComponent,WalkForwardComponent,NonOverlapComponent,FailurePenalty,SurvivorshipScore,SurvivorshipClass
ES,5,Stable Compression Basin,CompressionPressure,542,0.3348687743859794,0.1068717859067931,0.5191256830601093,1.5167205779496555,-1.1094331914862283,2.756812765962892,SignificantPositiveSignedReturn,307.0,0.3099246590277021,0.4840764331210191,2.0760985334099757,235.0,0.3674553421093458,0.5659574468085107,1.82369255978586,WeakPositive,True,False,5.0,542.0,0.3340845446328446,0.3724003435416935,1.219108583853801,1.9202223601376047,-0.2327768946930514,0.5192294284037404,1.516286157334564,-1.1079547404262409,0.8,0.2,WeakRobustPositive,2.689203191490723,3.790755401072751,4.16433143789035,0.0,3.738554175724265,CandidatePositive
ES,10,Stable Compression Basin,CompressionPressure,539,0.3830117228167757,0.115321252059308,0.5238095238095238,2.174098396884139,-1.6755864708855888,2.5132443602915404,SignificantPositiveSignedReturn,307.0,0.3711634144590751,0.5095541401273885,1.87341102835386,232.0,0.3986903032728711,0.5431034482758621,1.6719726459557502,WeakPositive,True,False,10.0,539.0,0.3773787585315417,0.4659951323683046,0.7816468209433278,1.5666750855081395,-0.5686322003825532,0.5257746350139627,2.1748923646881475,-1.684579942947439,0.8,0.2,NotRobust,2.628311090072885,3.7128375123454043,1.3362351157074959,0.0,2.4264611494038415,CandidatePositive
ES,10,Directional Continuation / Sponsor Release,DirectionalReleasePressure,127,0.690293913975389,0.506578947368421,0.549618320610687,2.230959646413894,-1.4623595339321085,2.34150790418495,SignificantPositiveSignedReturn,77.0,0.0754579350563299,0.5061728395061729,0.2509724621228266,50.0,1.6371413215107395,0.62,2.8870685272942054,ConfirmedPositive,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Missing,2.4756244989730067,5.076005674701791,0.0,0.0,2.271726885940228,CandidatePositive
ES,10,Stable Compression Basin,RotationalPressure,181,0.2872665977005108,0.0652680652680652,0.5138121546961326,1.9955882254786423,-1.5634357903402696,1.24425052272698,WeakEvidence,118.0,0.2086799703700829,0.5,0.6836669763831902,63.0,0.4344605980971852,0.5396825396825397,1.282517136326243,WeakPositive,True,False,3.0,65.0,0.5108433061250194,0.4794537371880044,0.6385656895081057,1.034249337533999,0.2713623052049427,0.5086266390614217,2.101539331534672,-1.5550480031988725,1.0,0.0,NotRobust,1.2296195251075186,3.3102543217518687,1.7289242671310792,0.0,2.1825288378436434,CandidatePositive
6E,10,Pure Unresolved Compression Equilibrium,CompressionPressure,2533,0.06378980011801,0.0,0.4980268350434096,1.8945636017635068,-1.7744390234131733,1.2687314799718128,WeakEvidence,1521.0,0.014213081737412,0.4816031537450723,0.2187840259347756,1012.0,0.1383018442453712,0.5227272727272727,1.742328976084018,WeakPositive,True,False,10.0,2533.0,0.0643917610430314,0.0844450477961349,0.4130685412339011,1.5645250084643003,-0.922315950822082,0.4981977956926378,1.8944850683980263,-1.7725935876740777,0.7,0.3,NotRobust,1.317182869992953,3.871164488042009,0.8098014059254259,0.0,1.9827547774797352,WeakCandidatePositive
ES,20,Pure Unresolved Compression Equilibrium,CompressionPressure,1408,0.2435472440117399,0.0775772088168477,0.5085227272727273,2.9736583098637026,-2.7949930436383537,1.762561887511528,WeakEvidence,849.0,0.2336703042222084,0.5076560659599529,1.3105642288156931,559.0,0.258548177609794,0.5098389982110912,1.1814922822025644,WeakPositive,True,False,20.0,1408.0,0.2520213406672401,0.336854829719642,0.3867159474863145,1.939034637593841,-1.5096435482857031,0.5091007118429742,2.980774307208048,-2.792126077935216,0.65,0.35,NotRobust,1.440640471877882,3.590746141101282,0.6650369606147359,0.0,1.8441558760376564,WeakCandidatePositive
ES,10,Pure Unresolved Compression Equilibrium,CompressionPressure,1408,0.0896429081134326,-0.0987657393121982,0.4708806818181818,1.9141722942445225,-1.8346766352402044,1.0036194499494844,WeakEvidence,849.0,0.0575189458813879,0.4499411071849234,0.4762560712926489,559.0,0.1384322532565559,0.5026833631484794,1.061862828175287,WeakPositive,True,False,10.0,1408.0,0.0928666095409131,0.0765453800004423,0.302479005232573,1.4733932626718866,-0.6781517866182809,0.4708875869198496,1.91708403057081,-1.8337597809907744,0.7,0.3,NotRobust,1.250904862487371,3.5309314140876435,0.7268592539244296,0.0,1.8130936316941426,WeakCandidatePositive
6E,10,Directional Continuation / Sponsor Release,RotationalPressure,135,0.6565411513342264,0.4545454545452264,0.5925925925925926,2.2292523159942164,-1.5473192239956208,2.9300240042044434,SignificantPositiveSignedReturn,76.0,0.6634743654373844,0.631578947368421,2.613275730198916,59.0,0.6476102314725313,0.5423728813559322,1.6289617558187994,WeakPositive,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Missing,2.6276295464273205,3.4730949988053004,0.0,0.0,1.741109158867319,WeakCandidatePositive
ES,20,Directional Continuation / Sponsor Release,DirectionalReleasePressure,127,0.6546006908285394,0.6916996047430829,0.5954198473282443,2.881581051435968,-1.9352303002561035,2.0240214656267037,SignificantPositiveSignedReturn,77.0,0.4823427084351026,0.5679012345679012,1.118206881511992,50.0,0.919877983714432,0.64,1.8920461967512656,WeakPositive,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Missing,2.3962528893334447,3.5784945094303207,0.0,0.0,1.731723656167301,WeakCandidatePositive
6E,20,Pure Unresolved Compression Equilibrium,RotationalPressure,112,0.8519911785470542,0.4892270401288804,0.5535714285714286,3.095560198008217,-2.15402293321795,2.2466445172812866,SignificantPositiveSignedReturn,52.0,1.0973343457790012,0.5576923076923077,1.5576955935684955,60.0,0.6393604336127,0.55,1.7622686160821988,WeakPositive,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Missing,2.441883693034577,3.5424073237877334,0.0,0.0,1.7282193019326222,WeakCandidatePositive
ES,20,Unstable Rotational Balance,RotationalPressure,314,0.2827596453922521,0.1556183542484912,0.535031847133758,3.08561178420763,-2.8817984380901343,0.9763140926531172,NotSignificant,203.0,-0.0576391533964339,0.4926108374384236,-0.1494138126216068,111.0,0.905290781915705,0.6126126126126126,2.196077014795808,FailedNegative,False,False,1.0,20.0,1.765315936025334,1.765315936025334,2.22247200453787,2.22247200453787,2.22247200453787,0.65,3.121546410513948,-2.030605301915918,1.0,0.0,Unsupported,0.7067564333675102,2.8570537634025697,2.9168540034034023,-1.0,1.4539044053959325,WeakCandidatePositive
ES,20,Stable Compression Basin,CompressionPressure,535,0.2589003130618286,0.2109227871939736,0.525830258302583,2.982613736651368,-2.5968677280017816,1.2217179799955915,WeakEvidence,307.0,0.2657619081234028,0.5095541401273885,0.973387057447682,228.0,0.2496612355008494,0.5482456140350878,0.7440694301556914,PositiveButWeak,True,False,19.0,517.0,0.3394460460602112,0.2668106181800912,0.3530947793024753,2.049048432888043,-2.288077001971804,0.5282077270239556,3.0186718784485844,-2.527964685566644,0.5789473684210527,0.4210526315789473,NotRobust,1.3054294949988978,2.246100389370125,0.46218950552948823,0.0,1.255206312767593,WeakCandidatePositive
6E,5,Pure Unresolved Compression Equilibrium,CompressionPressure,2538,0.0557523274582154,0.0,0.4915320992516739,1.3115685117488214,-1.1962259814267855,1.5835926176361643,WeakEvidence,1521.0,-0.0058778615864524,0.4763469119579501,-0.1190151867087219,1017.0,0.1479249110736923,0.5142576204523107,3.116824081335384,FailedNegative,False,False,5.0,2538.0,0.0558412435814409,0.0483261854859921,0.6793767264173859,1.6111639658372665,-0.2359522223479007,0.4915356277882674,1.311690364274123,-1.1959621568518963,0.8,0.2,NotRobust,1.395898154409041,3.5,1.2595325448130394,-1.0,1.0709692760476757,WeakCandidatePositive
ES,5,Directional Continuation / Sponsor Release,DirectionalReleasePressure,127,0.2117401816707018,0.1838074398249452,0.5267175572519084,1.3134676793629796,-1.1059715132998291,1.4075959943462693,WeakEvidence,77.0,-0.1850782574670244,0.419753086419753,-1.058765520613317,50.0,0.8228405779428003,0.7,3.298314924269058,FailedNegative,False,False,5.0,127.0,0.2144490476055071,0.2705557259724819,0.6626270549395057,1.124765967014952,-0.2805231062567412,0.525957671957672,1.3140157192164716,-1.100466170537676,0.8,0.2,NotRobust,1.2421465215133365,3.132471411054688,1.2469702912046292,-1.0,0.9059309292138911,WeakCandidatePositive
6E,5,Directional Continuation / Sponsor Release,RotationalPressure,135,0.0327798020697691,-0.0,0.4740740740740741,1.3745118630289308,-1.1517758079444225,0.2312950373191123,NotSignificant,76.0,0.0125545249405534,0.4473684210526316,0.0684454787561304,59.0,0.0588327014226571,0.5084745762711864,0.262800017673014,PositiveButWeak,True,False,5.0,135.0,0.0336620490746483,0.0397000100815844,0.1313951263384163,1.6503343754462314,-1.6863817058727426,0.4752978056426332,1.359272209194137,-1.1503474039441393,0.6,0.4,NotRobust,0.45294730470598754,1.7900141297324077,0.3485463447538122,0.0,0.8739402614867556,WeakCandidatePositive
