FeatureA,FeatureB,Correlation,AbsCorrelation
MeanEntropicCompression,MeanIncubationQuality,-0.8609361559999813,0.8609361559999813
MeanPriorRunLength,DirectionalContinuationPct,0.7542860238900301,0.7542860238900301
MeanExpansionPressure,MeanIncubationQuality,0.6301833205853932,0.6301833205853932
MeanEntropicCompression,ImmediateFailurePct,0.5460314856046812,0.5460314856046812
MeanNextRunLength,ImmediateFailurePct,-0.5268236553468468,0.5268236553468468
MeanExpansionPressure,MeanNextRunLength,-0.5207803499419634,0.5207803499419634
MeanExpansionPressure,ImmediateFailurePct,0.4013450096227659,0.4013450096227659
MeanEntropicCompression,MeanNextRunLength,-0.3702089743663425,0.3702089743663425
MeanPriorRunLength,MeanExpansionPressure,-0.20765595525698322,0.20765595525698322
MeanIncubationQuality,ImmediateFailurePct,-0.1997917088059504,0.1997917088059504
MeanEntropicCompression,MeanExpansionPressure,-0.16115525472069003,0.16115525472069003
MeanPriorRunLength,ImmediateFailurePct,-0.13985568039811774,0.13985568039811774
MeanNextRunLength,DirectionalContinuationPct,-0.12596814158075398,0.12596814158075398
MeanPriorRunLength,MeanIncubationQuality,-0.10984106300940627,0.10984106300940627
MeanPriorRunLength,MeanNextRunLength,-0.1043992737899019,0.1043992737899019
MeanExpansionPressure,DirectionalContinuationPct,0.0637065318192564,0.0637065318192564
MeanPriorRunLength,MeanEntropicCompression,-0.0573839207356846,0.0573839207356846
ImmediateFailurePct,DirectionalContinuationPct,-0.038266417122547185,0.038266417122547185
MeanIncubationQuality,MeanNextRunLength,0.03560411018075079,0.03560411018075079
MeanIncubationQuality,DirectionalContinuationPct,0.022434482507924982,0.022434482507924982
MeanEntropicCompression,DirectionalContinuationPct,-0.00852837011699423,0.00852837011699423
