Instrument,HorizonBars,ResolvedArchetype,DominantPressure,WalkForwardSplitMode,Count_Train,MeanSignedReturn_Train,MedianSignedReturn_Train,StdSignedReturn_Train,DirectionalHitRate_Train,MeanDirectionalMFE_Train,MeanDirectionalMAE_Train,Count_Validation,MeanSignedReturn_Validation,MedianSignedReturn_Validation,StdSignedReturn_Validation,DirectionalHitRate_Validation,MeanDirectionalMFE_Validation,MeanDirectionalMAE_Validation,Supported,ReturnSignAgreement,HitRateDelta,ReturnDelta,ValidationRetainsPositiveEdge,ValidationFlipsNegative,TrainTStat,ValidationTStat,GeneralizationClass
6E,10,Pure Unresolved Compression Equilibrium,RotationalPressure,BarIndexFallback,52,0.9026978186194418,0.5439882697946515,2.4227795673884653,0.5769230769230769,2.3552492683008563,-1.3800847712859965,61,-0.2125689781551358,-0.1538461538464917,2.2605747889954815,0.45901639344262296,1.4420925596100445,-1.8729679116061109,True,False,-0.11790668348045391,-1.1152667967745775,False,True,2.686767971045903,-0.7344224136383026,FailedPositive
NQ,20,Directional Continuation / Sponsor Release,RotationalPressure,BarIndexFallback,138,0.47492252277244723,0.5439250225835592,3.1984255140127065,0.5652173913043478,2.876011906664117,-2.3269660494871034,102,-0.29722280728663836,0.18885408269031434,2.8808368061128196,0.5294117647058824,2.519134858147824,-2.717188359035172,True,False,-0.03580562659846542,-0.7721453300590856,False,True,1.7443196295605432,-1.0419900230432169,FailedPositive
NQ,10,Directional Continuation / Sponsor Release,DirectionalReleasePressure,BarIndexFallback,224,0.335483951996924,0.13236664276783144,2.333264070037856,0.5580357142857143,1.9297504001039891,-1.4807048421900046,128,-0.3450539274109705,-0.5530909889999682,2.566314193449781,0.4296875,1.630452019662461,-1.973580060012553,True,False,-0.1283482142857143,-0.6805378794078945,False,True,2.151948462675361,-1.521185348669179,FailedPositive
6E,5,Pure Unresolved Compression Equilibrium,RotationalPressure,BarIndexFallback,52,0.3154430210985055,0.3013888888886218,1.6665639980809352,0.5384615384615384,1.403661141333451,-1.051106654744128,61,-0.27388245410456086,-0.3620689655175093,1.240091668989669,0.36065573770491804,0.9022204335811662,-1.147415094996016,True,False,-0.1778058007566204,-0.5893254752030663,False,True,1.364899263835767,-1.724945342266053,FailedPositive
NQ,10,Directional Continuation / Sponsor Release,RotationalPressure,BarIndexFallback,138,0.30506734252648293,0.31763381187919726,2.333101172961653,0.5869565217391305,1.985261946066056,-1.6967206189838937,102,-0.08426560993540229,-0.07264154641311221,2.243397468364916,0.45098039215686275,1.7552689138369078,-1.7256337450819261,True,False,-0.13597612958226774,-0.3893329524618852,False,True,1.5360370459107866,-0.3793536168590593,FailedPositive
NQ,5,Directional Continuation / Sponsor Release,DirectionalReleasePressure,BarIndexFallback,224,0.26033666015746104,0.2017215477547378,1.4102100712346692,0.5758928571428571,1.3334379732015196,-0.9489383887672797,128,-0.1539557520261757,-0.4050627248161206,1.6156834802694546,0.4296875,1.1340355715356012,-1.2547524404955956,True,False,-0.1462053571428571,-0.41429241218363677,False,True,2.762965908117176,-1.0780641885845395,FailedPositive
6E,5,Sponsor Exhaustion Collapse,CompressionPressure,BarIndexFallback,79,0.21255010867307972,0.3181818181824926,1.4458270385125949,0.5569620253164557,1.3190742927738555,-1.1429650788532537,58,-0.09200958429221606,-0.21829875015138922,1.5665626101200278,0.3793103448275862,1.1752838352046573,-1.1858751438089032,True,False,-0.17765168048886948,-0.3045596929652958,False,True,1.3066477794269247,-0.44730042259893393,FailedPositive
NQ,20,Pure Unresolved Compression Equilibrium,CompressionPressure,BarIndexFallback,2279,0.17143661389853948,0.1874163319946452,3.8777886178643257,0.5350877192982456,2.773603061849447,-2.5829939501779657,1512,-0.03570070352721196,-0.026328605259176102,3.570412847450316,0.49404761904761907,2.6047325877041496,-2.648630890654008,True,False,-0.04104010025062654,-0.20713731742575145,False,True,2.110530395898885,-0.38880714168808495,FailedPositive
6E,20,Pure Unresolved Compression Equilibrium,CompressionPressure,BarIndexFallback,1521,0.12898603885039867,-0.0,3.8206456845805876,0.4888304862023653,2.8687447865823077,-2.663071173310212,1003,-0.23582142909481152,0.0,3.8799975079047737,0.47058823529411764,2.6533145430052136,-2.6542835065872947,True,False,-0.01824225090824766,-0.3648074679452102,False,True,1.3166506215081726,-1.9248739130787738,FailedPositive
6E,10,Sponsor Exhaustion Collapse,CompressionPressure,BarIndexFallback,79,0.10381057382335716,0.249999999999425,2.2384656212860743,0.5569620253164557,1.984511959981676,-1.6914680008876333,58,-0.15972304647096922,-0.2968814968816642,2.5115671496549035,0.43103448275862066,1.68076187596949,-1.9231771200395662,True,False,-0.125927542557835,-0.26353362029432637,False,True,0.4121968878775878,-0.4843248892897,FailedPositive
