Instrument,HorizonBars,WalkForwardSplitMode,GeneralizationClass,Rows,MeanTrainReturn,MeanValidationReturn,MeanValidationTStat,MeanReturnDelta
6E,5,BarIndexFallback,ConfirmedNegative,1,-0.18475456255447525,-0.4497376878465557,-3.2063219675153434,-0.26498312529208046
6E,5,BarIndexFallback,FailedNegative,2,-0.0053758400397953135,0.2691213625737632,2.1203243018946685,0.2744972026135585
6E,5,BarIndexFallback,FailedPositive,2,0.2639965648857926,-0.18294601919838846,-1.0861228824324936,-0.4469425840841811
6E,5,BarIndexFallback,PositiveButWeak,1,0.012554524940553483,0.05883270142265713,0.262800017673014,0.04627817648210365
6E,5,BarIndexFallback,WeakNegative,3,-0.28915804209871104,-0.22489919523905202,-1.5393853542732352,0.06425884685965902
6E,10,BarIndexFallback,ConfirmedNegative,2,-0.4045116245859478,-0.48715055024700565,-2.6114079758649424,-0.08263892566105782
6E,10,BarIndexFallback,FailedNegative,1,-0.2137933476766692,0.506234463516827,0.9681023185917763,0.7200278111934961
6E,10,BarIndexFallback,FailedPositive,2,0.5032541962213994,-0.1861460123130525,-0.6093736514640014,-0.6894002085344519
6E,10,BarIndexFallback,NegativeButWeak,2,-0.19776232088999368,-0.07665724244105095,-0.534819635750898,0.12110507844894275
6E,10,BarIndexFallback,WeakPositive,2,0.33884372358739817,0.3929560378589513,1.6856453659514088,0.054112314271553066
6E,20,BarIndexFallback,ConfirmedNegative,1,-0.47857231710942555,-0.5521659548707988,-2.1007125836139835,-0.07359363776137323
6E,20,BarIndexFallback,FailedNegative,1,-0.6695930969550149,2.495597348377598,2.925043655175031,3.165190445332613
6E,20,BarIndexFallback,FailedPositive,2,0.06794293490166502,-0.44192089209609264,-1.5619202825748784,-0.5098638269977577
6E,20,BarIndexFallback,NegativeButWeak,1,-0.2612575049067313,-0.03889663597363796,-0.10222186408419595,0.22236086893309331
6E,20,BarIndexFallback,PositiveButWeak,1,0.3549594714733877,0.2115260267781682,0.4835707851692009,-0.1434334446952195
6E,20,BarIndexFallback,WeakNegative,2,-0.5271166864088555,-0.3018927528357441,-1.3148823005657837,0.22522393357311135
6E,20,BarIndexFallback,WeakPositive,1,1.0973343457790012,0.6393604336127,1.7622686160821988,-0.45797391216630123
ES,5,BarIndexFallback,FailedNegative,3,-0.11450744388964619,0.4567655249017198,1.643986504275915,0.571272968791366
ES,5,BarIndexFallback,FailedPositive,1,0.09487832143446868,-0.08308308597417426,-0.9339033976321379,-0.17796140740864294
ES,5,BarIndexFallback,NegativeButWeak,1,-0.017402324775439026,-0.039149441834290255,-0.38854251252365174,-0.02174711705885123
ES,5,BarIndexFallback,WeakPositive,1,0.30992465902770217,0.36745534210934583,1.8236925597858598,0.05753068308164366
ES,10,BarIndexFallback,ConfirmedPositive,1,0.07545793505632999,1.6371413215107395,2.8870685272942054,1.5616833864544095
ES,10,BarIndexFallback,FailedNegative,2,-0.08704134553079808,0.5037563806374155,1.8363613224730626,0.5907977261682136
ES,10,BarIndexFallback,WeakPositive,3,0.21245411023684868,0.32386105154220407,1.3387842034857602,0.11140694130535544
ES,20,BarIndexFallback,FailedNegative,2,-0.04080097493407868,0.4571241879776217,1.110519274753304,0.4979251629117004
ES,20,BarIndexFallback,PositiveButWeak,2,0.20752132245923263,0.2794878501036922,0.7253270243247738,0.07196652764445957
ES,20,BarIndexFallback,WeakPositive,2,0.35800650632865555,0.589213080662113,1.5367692394769152,0.23120657433345737
NQ,5,BarIndexFallback,FailedNegative,5,-0.14806357719941327,0.13982614351405404,1.4824081766658126,0.2878897207134673
NQ,5,BarIndexFallback,FailedPositive,3,0.12320010028435723,-0.11291092065837938,-1.569721384119094,-0.23611102094273662
NQ,5,BarIndexFallback,NegativeButWeak,1,-0.09643400923665549,-0.020787793816612738,-0.2955243859875503,0.07564621542004275
NQ,10,BarIndexFallback,FailedNegative,5,-0.17391715407966876,0.11216171193854163,0.9141381645776759,0.2860788660182104
NQ,10,BarIndexFallback,FailedPositive,3,0.21766249673970853,-0.17530168982162167,-1.1766579509292832,-0.3929641865613302
NQ,10,BarIndexFallback,WeakNegative,1,-0.4724906407872627,-0.3066981917258536,-1.1538030317016963,0.1657924490614091
NQ,20,BarIndexFallback,FailedNegative,2,-0.10275508094103583,0.15501037724907546,1.0827694593165036,0.2577654581901113
NQ,20,BarIndexFallback,FailedPositive,3,0.21862490595963316,-0.34266059575819874,-1.1070240999840444,-0.5612855017178319
NQ,20,BarIndexFallback,NegativeButWeak,4,-0.2563073568600677,-0.1628164550547741,-0.5274481835589332,0.09349090180529362
