Instrument,HorizonBars,ResolvedArchetype,DominantPressure,WalkForwardSplitMode,Count_Train,MeanSignedReturn_Train,MedianSignedReturn_Train,StdSignedReturn_Train,DirectionalHitRate_Train,MeanDirectionalMFE_Train,MeanDirectionalMAE_Train,Count_Validation,MeanSignedReturn_Validation,MedianSignedReturn_Validation,StdSignedReturn_Validation,DirectionalHitRate_Validation,MeanDirectionalMFE_Validation,MeanDirectionalMAE_Validation,Supported,ReturnSignAgreement,HitRateDelta,ReturnDelta,ValidationRetainsPositiveEdge,ValidationFlipsNegative,TrainTStat,ValidationTStat,GeneralizationClass
6E,5,Directional Continuation / Sponsor Release,DirectionalReleasePressure,BarIndexFallback,109,-0.004873818493138179,-0.1284403669724666,1.5467450072853697,0.41228070175438597,1.2074304313982802,-1.1494068311793526,32,0.3903178140738341,0.48184281842779275,1.9646937231578465,0.5625,1.3163881154532653,-0.8882878955434546,True,False,0.15021929824561403,0.39519163256697226,False,False,-0.0328975743884662,1.1238245224539527,FailedNegative
6E,5,Directional Continuation / Sponsor Release,RotationalPressure,BarIndexFallback,76,0.012554524940553483,-0.0744680851062,1.5990509963415864,0.4473684210526316,1.348059032157363,-1.0395908187898024,59,0.05883270142265713,0.1555555555559086,1.7195682038748605,0.5084745762711864,1.4085866960160351,-1.2962852854995268,True,True,0.061106155218554836,0.04627817648210365,True,False,0.06844547875613043,0.262800017673014,PositiveButWeak
6E,5,Pure Unresolved Compression Equilibrium,CompressionPressure,BarIndexFallback,1521,-0.005877861586452448,-0.0,1.926112189637442,0.4763469119579501,1.3334465448633268,-1.2701233309179565,1017,0.1479249110736923,0.1372549019610771,1.5135246645445355,0.5142576204523107,1.278848267533322,-1.0857069366125565,True,False,0.03791070849436062,0.15380277266014475,False,False,-0.11901518670872198,3.116824081335384,FailedNegative
6E,5,Pure Unresolved Compression Equilibrium,RotationalPressure,BarIndexFallback,52,0.3154430210985055,0.3013888888886218,1.6665639980809352,0.5384615384615384,1.403661141333451,-1.051106654744128,61,-0.27388245410456086,-0.3620689655175093,1.240091668989669,0.36065573770491804,0.9022204335811662,-1.147415094996016,True,False,-0.1778058007566204,-0.5893254752030663,False,True,1.364899263835767,-1.724945342266053,FailedPositive
6E,5,Sponsor Exhaustion Collapse,CompressionPressure,BarIndexFallback,79,0.21255010867307972,0.3181818181824926,1.4458270385125949,0.5569620253164557,1.3190742927738555,-1.1429650788532537,58,-0.09200958429221606,-0.21829875015138922,1.5665626101200278,0.3793103448275862,1.1752838352046573,-1.1858751438089032,True,False,-0.17765168048886948,-0.3045596929652958,False,True,1.3066477794269247,-0.44730042259893393,FailedPositive
6E,5,Sponsor Exhaustion Collapse,RotationalPressure,BarIndexFallback,405,-0.45436599684880674,-0.2314049586776562,2.1949830102473666,0.3897058823529412,1.0639722323596104,-1.5817044491618397,285,-0.23895303503424145,-0.1647058823525367,2.5605069567703778,0.43859649122807015,1.2971073546923815,-1.5264921481523575,True,True,0.04889060887512897,0.2154129618145653,False,False,-4.165836026008692,-1.5754659483794284,WeakNegative
6E,5,Stable Compression Basin,CompressionPressure,BarIndexFallback,740,-0.24147023557228695,-0.14738475177302873,2.0247433792649594,0.42416107382550333,1.1728287014546843,-1.39020562831839,498,-0.1723310373567331,0.0,2.0968860757873022,0.4678714859437751,1.2704131412793138,-1.3633997763042802,True,True,0.04371041211827176,0.06913919821555384,False,False,-3.244213880641186,-1.8340169193833034,WeakNegative
6E,5,Stable Compression Basin,RotationalPressure,BarIndexFallback,197,-0.17163789387503944,-0.2074074074078304,1.6552789863585744,0.4213197969543147,1.1670815076053909,-1.302195460122796,138,-0.2634135133261815,-0.26060606060574376,2.5601694048312154,0.3695652173913043,1.2259637530438485,-1.4278475264733967,True,True,-0.05175457956301038,-0.09177561945114207,False,False,-1.4553755952839897,-1.2086731950569745,WeakNegative
6E,5,Unstable Rotational Balance,RotationalPressure,BarIndexFallback,254,-0.18475456255447525,0.0,1.7736806044700333,0.4566929133858268,1.1770412308314726,-1.342852049774085,161,-0.4497376878465557,-0.5185185185184332,1.779774951773054,0.3167701863354037,1.02400237524331,-1.4952894221545077,True,True,-0.13992272705042308,-0.26498312529208046,False,False,-1.6601090363809854,-3.2063219675153434,ConfirmedNegative
6E,10,Directional Continuation / Sponsor Release,DirectionalReleasePressure,BarIndexFallback,109,-0.2137933476766692,-0.3211009174310239,2.361643428166779,0.38596491228070173,1.6054553316062365,-1.773063060027011,32,0.506234463516827,-0.0,2.9580494966175204,0.46875,2.0417230657696184,-1.4633207481906174,True,False,0.08278508771929827,0.7200278111934961,False,False,-0.945133398500867,0.9681023185917763,FailedNegative
