Instrument,HorizonBars,ResolvedArchetype,FutureArchetype,Count,Total,Probability
6E,5,Directional Continuation / Sponsor Release,Directional Continuation / Sponsor Release,34,297,0.11447811447811448
6E,5,Directional Continuation / Sponsor Release,Pure Unresolved Compression Equilibrium,44,297,0.14814814814814814
6E,5,Directional Continuation / Sponsor Release,Sponsor Exhaustion Collapse,98,297,0.32996632996632996
6E,5,Directional Continuation / Sponsor Release,Stable Compression Basin,95,297,0.31986531986531985
6E,5,Directional Continuation / Sponsor Release,Unstable Rotational Balance,26,297,0.08754208754208755
6E,5,Pure Unresolved Compression Equilibrium,Directional Continuation / Sponsor Release,191,2765,0.06907775768535263
6E,5,Pure Unresolved Compression Equilibrium,Pure Unresolved Compression Equilibrium,1646,2765,0.5952983725135624
6E,5,Pure Unresolved Compression Equilibrium,Sponsor Exhaustion Collapse,331,2765,0.11971066907775768
6E,5,Pure Unresolved Compression Equilibrium,Stable Compression Basin,472,2765,0.17070524412296564
6E,5,Pure Unresolved Compression Equilibrium,Unstable Rotational Balance,125,2765,0.045207956600361664
6E,5,Sponsor Exhaustion Collapse,Directional Continuation / Sponsor Release,14,900,0.015555555555555555
6E,5,Sponsor Exhaustion Collapse,Pure Unresolved Compression Equilibrium,248,900,0.27555555555555555
6E,5,Sponsor Exhaustion Collapse,Sponsor Exhaustion Collapse,200,900,0.2222222222222222
6E,5,Sponsor Exhaustion Collapse,Stable Compression Basin,363,900,0.4033333333333333
6E,5,Sponsor Exhaustion Collapse,Unstable Rotational Balance,75,900,0.08333333333333333
6E,5,Stable Compression Basin,Directional Continuation / Sponsor Release,40,1644,0.024330900243309004
6E,5,Stable Compression Basin,Pure Unresolved Compression Equilibrium,695,1644,0.42274939172749393
6E,5,Stable Compression Basin,Sponsor Exhaustion Collapse,217,1644,0.13199513381995134
6E,5,Stable Compression Basin,Stable Compression Basin,543,1644,0.3302919708029197
6E,5,Stable Compression Basin,Unstable Rotational Balance,149,1644,0.09063260340632603
6E,5,Unstable Rotational Balance,Directional Continuation / Sponsor Release,15,456,0.03289473684210526
6E,5,Unstable Rotational Balance,Pure Unresolved Compression Equilibrium,133,456,0.2916666666666667
6E,5,Unstable Rotational Balance,Sponsor Exhaustion Collapse,55,456,0.1206140350877193
6E,5,Unstable Rotational Balance,Stable Compression Basin,172,456,0.37719298245614036
6E,5,Unstable Rotational Balance,Unstable Rotational Balance,81,456,0.17763157894736842
6E,10,Directional Continuation / Sponsor Release,Directional Continuation / Sponsor Release,22,297,0.07407407407407407
6E,10,Directional Continuation / Sponsor Release,Pure Unresolved Compression Equilibrium,83,297,0.27946127946127947
6E,10,Directional Continuation / Sponsor Release,Sponsor Exhaustion Collapse,49,297,0.16498316498316498
6E,10,Directional Continuation / Sponsor Release,Stable Compression Basin,113,297,0.38047138047138046
6E,10,Directional Continuation / Sponsor Release,Unstable Rotational Balance,30,297,0.10101010101010101
6E,10,Pure Unresolved Compression Equilibrium,Directional Continuation / Sponsor Release,185,2761,0.06700470843897138
6E,10,Pure Unresolved Compression Equilibrium,Pure Unresolved Compression Equilibrium,1415,2761,0.5124954726548352
6E,10,Pure Unresolved Compression Equilibrium,Sponsor Exhaustion Collapse,409,2761,0.14813473379210432
6E,10,Pure Unresolved Compression Equilibrium,Stable Compression Basin,598,2761,0.21658819268381022
6E,10,Pure Unresolved Compression Equilibrium,Unstable Rotational Balance,154,2761,0.055776892430278883
6E,10,Sponsor Exhaustion Collapse,Directional Continuation / Sponsor Release,12,900,0.013333333333333334
6E,10,Sponsor Exhaustion Collapse,Pure Unresolved Compression Equilibrium,380,900,0.4222222222222222
6E,10,Sponsor Exhaustion Collapse,Sponsor Exhaustion Collapse,124,900,0.13777777777777778
6E,10,Sponsor Exhaustion Collapse,Stable Compression Basin,308,900,0.3422222222222222
6E,10,Sponsor Exhaustion Collapse,Unstable Rotational Balance,76,900,0.08444444444444445
6E,10,Stable Compression Basin,Directional Continuation / Sponsor Release,53,1643,0.03225806451612903
6E,10,Stable Compression Basin,Pure Unresolved Compression Equilibrium,702,1643,0.42726719415702985
6E,10,Stable Compression Basin,Sponsor Exhaustion Collapse,251,1643,0.15276932440657334
6E,10,Stable Compression Basin,Stable Compression Basin,482,1643,0.29336579427875836
6E,10,Stable Compression Basin,Unstable Rotational Balance,155,1643,0.09433962264150944
6E,10,Unstable Rotational Balance,Directional Continuation / Sponsor Release,20,456,0.043859649122807015
6E,10,Unstable Rotational Balance,Pure Unresolved Compression Equilibrium,186,456,0.40789473684210525
6E,10,Unstable Rotational Balance,Sponsor Exhaustion Collapse,65,456,0.1425438596491228
6E,10,Unstable Rotational Balance,Stable Compression Basin,144,456,0.3157894736842105
6E,10,Unstable Rotational Balance,Unstable Rotational Balance,41,456,0.08991228070175439
6E,20,Directional Continuation / Sponsor Release,Directional Continuation / Sponsor Release,20,295,0.06779661016949153
6E,20,Directional Continuation / Sponsor Release,Pure Unresolved Compression Equilibrium,128,295,0.43389830508474575
6E,20,Directional Continuation / Sponsor Release,Sponsor Exhaustion Collapse,40,295,0.13559322033898305
6E,20,Directional Continuation / Sponsor Release,Stable Compression Basin,84,295,0.2847457627118644
6E,20,Directional Continuation / Sponsor Release,Unstable Rotational Balance,23,295,0.07796610169491526
6E,20,Pure Unresolved Compression Equilibrium,Directional Continuation / Sponsor Release,158,2761,0.0572256428830134
6E,20,Pure Unresolved Compression Equilibrium,Pure Unresolved Compression Equilibrium,1304,2761,0.4722926475914524
