Instrument,HorizonBars,ResolvedArchetype,DominantPressure,Count,FutureDirectionalProbability,MeanDirectionalReleasePressure,MeanExhaustionPressure,MeanCompressionPressure,MeanRotationalPressure,BaselineFutureDirectionalProbability,DirectionalLift,DirectionalEdge,ForecastQuality
6E,5,Directional Continuation / Sponsor Release,DirectionalReleasePressure,158,0.1455696202531645,0.5530961984551518,0.2181126933895921,0.35911885378233,0.2287204393286518,0.048498845265588855,3.001506931886681,0.09707077498757564,StrongPositiveLift
6E,5,Directional Continuation / Sponsor Release,RotationalPressure,137,0.0802919708029197,0.2318150706290807,0.2532238442822384,0.1325780285217602,0.4901739804658098,0.048498845265588855,1.6555439694125842,0.03179312553733084,ModeratePositiveLift
6E,5,Pure Unresolved Compression Equilibrium,CompressionPressure,2645,0.0703213610586011,0.1762619235364215,0.022558286074354,0.8046121022348939,0.2323768608294155,0.048498845265588855,1.4499594923035386,0.02182251579301224,Neutral
6E,5,Pure Unresolved Compression Equilibrium,RotationalPressure,120,0.0416666666666666,0.038373587693417,0.0746527777777777,0.51979561580415,0.5702986780188083,0.048498845265588855,0.8591269841269839,-0.006832178598922253,Neutral
6E,5,Sponsor Exhaustion Collapse,CompressionPressure,139,0.0359712230215827,0.1982777187951547,0.1157873701039168,0.4012427127442461,0.1889158930849865,0.048498845265588855,0.7416923603973965,-0.012527622244006158,Neutral
6E,5,Unstable Rotational Balance,RotationalPressure,433,0.0346420323325635,0.0674572515455322,0.0611496022581472,0.1300857179931958,0.7513236719096239,0.048498845265588855,0.714285714285715,-0.013856812933025354,Neutral
6E,5,Stable Compression Basin,CompressionPressure,1300,0.0276923076923076,0.0919358484288916,0.0511965811965811,0.6334594818855066,0.4430574116913252,0.048498845265588855,0.5709890109890098,-0.020806537573281256,ModerateNegativeLift
6E,5,Sponsor Exhaustion Collapse,RotationalPressure,731,0.0123119015047879,0.0880987359130638,0.1552139654311336,0.1430851736766634,0.4811230165245875,0.048498845265588855,0.25385968340824605,-0.036186943760800956,StrongNegativeLift
6E,5,Stable Compression Basin,RotationalPressure,344,0.0116279069767441,0.0449663027855593,0.0802487080103358,0.51932583639012,0.5804781126862599,0.048498845265588855,0.2397563676633429,-0.03687093828884476,StrongNegativeLift
6E,5,Directional Continuation / Sponsor Release,CompressionPressure,2,0.0,0.2747519510494643,0.2138888888888889,0.294871143402319,0.2540621092029942,0.048498845265588855,0.0,-0.048498845265588855,Unsupported
6E,5,Sponsor Exhaustion Collapse,DirectionalReleasePressure,30,0.0,0.3897818706796255,0.1305555555555554,0.3237792395284377,0.3098282172060235,0.048498845265588855,0.0,-0.048498845265588855,Unsupported
6E,5,Unstable Rotational Balance,CompressionPressure,23,0.0,0.2306603707830584,0.0114734299516907,0.4684184038335526,0.3691708522830488,0.048498845265588855,0.0,-0.048498845265588855,Unsupported
