Instrument,HorizonBars,ResolvedArchetype,DominantPressure,Count,FutureDirectionalProbability,MeanDirectionalReleasePressure,MeanExhaustionPressure,MeanCompressionPressure,MeanRotationalPressure
6E,5,Directional Continuation / Sponsor Release,DirectionalReleasePressure,158,0.14556962025316456,0.5530961984551518,0.21811269338959213,0.35911885378233005,0.22872043932865185
6E,5,Directional Continuation / Sponsor Release,RotationalPressure,137,0.08029197080291971,0.2318150706290807,0.25322384428223843,0.13257802852176026,0.4901739804658098
6E,5,Pure Unresolved Compression Equilibrium,CompressionPressure,2645,0.07032136105860114,0.17626192353642156,0.022558286074354086,0.8046121022348939,0.23237686082941558
6E,5,Pure Unresolved Compression Equilibrium,RotationalPressure,120,0.041666666666666664,0.03837358769341707,0.07465277777777773,0.51979561580415,0.5702986780188083
6E,5,Sponsor Exhaustion Collapse,CompressionPressure,139,0.03597122302158273,0.19827771879515474,0.11578737010391688,0.4012427127442461,0.18891589308498657
6E,5,Unstable Rotational Balance,RotationalPressure,433,0.03464203233256351,0.06745725154553228,0.061149602258147244,0.13008571799319588,0.7513236719096239
6E,5,Stable Compression Basin,CompressionPressure,1300,0.027692307692307693,0.09193584842889169,0.051196581196581145,0.6334594818855066,0.4430574116913252
6E,5,Sponsor Exhaustion Collapse,RotationalPressure,731,0.012311901504787962,0.0880987359130638,0.15521396543113364,0.14308517367666343,0.4811230165245875
6E,5,Stable Compression Basin,RotationalPressure,344,0.011627906976744186,0.044966302785559305,0.08024870801033589,0.51932583639012,0.5804781126862599
6E,5,Directional Continuation / Sponsor Release,CompressionPressure,2,0.0,0.2747519510494643,0.2138888888888889,0.294871143402319,0.2540621092029942
6E,5,Sponsor Exhaustion Collapse,DirectionalReleasePressure,30,0.0,0.38978187067962555,0.13055555555555548,0.3237792395284377,0.3098282172060235
6E,5,Unstable Rotational Balance,CompressionPressure,23,0.0,0.23066037078305843,0.011473429951690747,0.4684184038335526,0.36917085228304886
6E,10,Directional Continuation / Sponsor Release,DirectionalReleasePressure,158,0.11392405063291139,0.5530961984551518,0.21811269338959213,0.35911885378233005,0.22872043932865185
6E,10,Unstable Rotational Balance,CompressionPressure,23,0.08695652173913043,0.23066037078305843,0.011473429951690747,0.4684184038335526,0.36917085228304886
6E,10,Pure Unresolved Compression Equilibrium,CompressionPressure,2641,0.0692919348731541,0.17641598369281353,0.02254512179729896,0.8049052965196303,0.23207101790513618
6E,10,Unstable Rotational Balance,RotationalPressure,433,0.04157043879907621,0.06745725154553228,0.061149602258147244,0.13008571799319588,0.7513236719096239
6E,10,Sponsor Exhaustion Collapse,DirectionalReleasePressure,30,0.03333333333333333,0.38978187067962555,0.13055555555555548,0.3237792395284377,0.3098282172060235
6E,10,Stable Compression Basin,CompressionPressure,1299,0.03233256351039261,0.09194218215875741,0.0512039175434094,0.6334788245710742,0.44303282155405904
6E,10,Stable Compression Basin,RotationalPressure,344,0.03197674418604651,0.044966302785559305,0.08024870801033589,0.51932583639012,0.5804781126862599
