Instrument,HorizonBars,DominantPressure,FutureArchetype,Count,Total,Probability
6E,5,CompressionPressure,Directional Continuation / Sponsor Release,227,4109,0.05524458505719153
6E,5,CompressionPressure,Pure Unresolved Compression Equilibrium,2201,4109,0.535653443660258
6E,5,CompressionPressure,Sponsor Exhaustion Collapse,525,4109,0.12776831345826234
6E,5,CompressionPressure,Stable Compression Basin,917,4109,0.2231686541737649
6E,5,CompressionPressure,Unstable Rotational Balance,239,4109,0.05816500365052324
6E,5,DirectionalReleasePressure,Directional Continuation / Sponsor Release,23,188,0.12234042553191489
6E,5,DirectionalReleasePressure,Pure Unresolved Compression Equilibrium,33,188,0.17553191489361702
6E,5,DirectionalReleasePressure,Sponsor Exhaustion Collapse,65,188,0.34574468085106386
6E,5,DirectionalReleasePressure,Stable Compression Basin,52,188,0.2765957446808511
6E,5,DirectionalReleasePressure,Unstable Rotational Balance,15,188,0.0797872340425532
6E,5,RotationalPressure,Directional Continuation / Sponsor Release,44,1765,0.024929178470254956
6E,5,RotationalPressure,Pure Unresolved Compression Equilibrium,532,1765,0.30141643059490086
6E,5,RotationalPressure,Sponsor Exhaustion Collapse,311,1765,0.17620396600566574
6E,5,RotationalPressure,Stable Compression Basin,676,1765,0.3830028328611898
6E,5,RotationalPressure,Unstable Rotational Balance,202,1765,0.11444759206798867
6E,10,CompressionPressure,Directional Continuation / Sponsor Release,228,4104,0.05555555555555555
6E,10,CompressionPressure,Pure Unresolved Compression Equilibrium,2018,4104,0.49171539961013644
6E,10,CompressionPressure,Sponsor Exhaustion Collapse,606,4104,0.1476608187134503
6E,10,CompressionPressure,Stable Compression Basin,986,4104,0.24025341130604289
6E,10,CompressionPressure,Unstable Rotational Balance,266,4104,0.06481481481481481
6E,10,DirectionalReleasePressure,Directional Continuation / Sponsor Release,19,188,0.10106382978723404
6E,10,DirectionalReleasePressure,Pure Unresolved Compression Equilibrium,46,188,0.24468085106382978
6E,10,DirectionalReleasePressure,Sponsor Exhaustion Collapse,35,188,0.18617021276595744
6E,10,DirectionalReleasePressure,Stable Compression Basin,69,188,0.3670212765957447
6E,10,DirectionalReleasePressure,Unstable Rotational Balance,19,188,0.10106382978723404
6E,10,RotationalPressure,Directional Continuation / Sponsor Release,45,1765,0.025495750708215296
6E,10,RotationalPressure,Pure Unresolved Compression Equilibrium,702,1765,0.39773371104815863
6E,10,RotationalPressure,Sponsor Exhaustion Collapse,257,1765,0.14560906515580738
6E,10,RotationalPressure,Stable Compression Basin,590,1765,0.3342776203966006
6E,10,RotationalPressure,Unstable Rotational Balance,171,1765,0.09688385269121813
6E,20,CompressionPressure,Directional Continuation / Sponsor Release,212,4102,0.051682106289614824
6E,20,CompressionPressure,Pure Unresolved Compression Equilibrium,1916,4102,0.46708922476840564
6E,20,CompressionPressure,Sponsor Exhaustion Collapse,607,4102,0.14797659678205755
6E,20,CompressionPressure,Stable Compression Basin,1069,4102,0.2606045831301804
6E,20,CompressionPressure,Unstable Rotational Balance,298,4102,0.0726474890297416
