Instrument,File,BarIndex,Time,MacroState,Quadruplet,ResolvedArchetype,ResolutionMethod,Similarity,RollingEntropy,RollingVelocity,RollingDominantFraction,RollingDirectionalPresence,CurrentDirectionalEmergence,DirectionalReleasePressure,ExhaustionPressure,CompressionPressure,RotationalPressure,DominantPressure,DominantPressureValue,Open,High,Low,Close,ActiveDirection,DirectionSign,PrevClose,TR,ATR14,HorizonBars,FutureClose,RawReturn,NormalizedReturn,SignedReturn,SignedNormalizedReturn,DirectionalMFE,DirectionalMAE,DirectionalNormalizedMFE,DirectionalNormalizedMAE,DirectionalHit,HasDirection
ES,xApvaV01StateLog_ES092020.csv,4,2020-07-17 06:55:00,Unknown,Unknown->Unknown->Unresolved->Unknown,Stable Compression Basin,Soft,0.5,-1.4428232973175175e-12,0.0,1.0,0.0,0.0,0.27999999999999997,0.0,0.9999999999999999,0.0,CompressionPressure,0.9999999999999999,3211.25,3214.75,3210.75,3212.0,Up,1,,,,5,3206.75,-5.25,,-5.25,,2.5,-5.75,,,0,1
ES,xApvaV01StateLog_ES092020.csv,5,2020-07-17 07:00:00,Unknown,Unknown->Unresolved->Unknown->Unknown,Stable Compression Basin,Soft,0.5,-1.4428232973175175e-12,0.0,1.0,0.0,0.0,0.27999999999999997,0.0,0.9999999999999999,0.0,CompressionPressure,0.9999999999999999,3212.0,3213.25,3209.5,3212.25,Up,1,3212.0,3.75,,5,3201.75,-10.5,,-10.5,,2.25,-11.5,,,0,1
ES,xApvaV01StateLog_ES092020.csv,6,2020-07-17 07:05:00,Unknown,Unresolved->Unknown->Unknown->Unknown,Stable Compression Basin,Exact,1.0,-1.4428232973175175e-12,0.0,1.0,0.0,0.0,0.27999999999999997,0.0,0.9999999999999999,0.0,CompressionPressure,0.9999999999999999,3212.25,3214.5,3206.25,3208.25,Up,1,3212.25,8.25,,5,3200.25,-8.0,,-8.0,,3.5,-11.0,,,0,1
ES,xApvaV01StateLog_ES092020.csv,7,2020-07-17 07:10:00,Unknown,Unknown->Unknown->Unknown->Unknown,Stable Compression Basin,Soft,0.36602540378443865,-1.4428232973175175e-12,0.0,1.0,0.0,0.0,0.27999999999999997,0.0,0.9999999999999999,0.0,CompressionPressure,0.9999999999999999,3208.25,3211.25,3208.0,3208.5,Up,1,3208.25,3.25,,5,3198.75,-9.75,,-9.75,,3.25,-12.0,,,0,1
ES,xApvaV01StateLog_ES092020.csv,8,2020-07-17 07:15:00,Unresolved,Unknown->Unknown->Unknown->Unresolved,Stable Compression Basin,Exact,1.0,-1.4428232973175175e-12,0.0,1.0,0.0,0.0,0.27999999999999997,0.0,0.9999999999999999,0.0,CompressionPressure,0.9999999999999999,3208.5,3210.5,3206.75,3209.25,Up,1,3208.5,3.75,,5,3202.0,-7.25,,-7.25,,2.5,-12.75,,,0,1
ES,xApvaV01StateLog_ES092020.csv,9,2020-07-17 07:20:00,Unresolved,Unknown->Unknown->Unresolved->Unresolved,Stable Compression Basin,Exact,1.0,-1.4428232973175175e-12,0.0,1.0,0.0,0.0,0.27999999999999997,0.0,0.9999999999999999,0.0,CompressionPressure,0.9999999999999999,3209.0,3211.75,3206.5,3206.75,Up,1,3209.25,5.25,,5,3201.0,-5.75,,-5.75,,1.25,-10.25,,,0,1
ES,xApvaV01StateLog_ES092020.csv,10,2020-07-17 07:25:00,Unresolved,Unknown->Unresolved->Unresolved->Unresolved,Stable Compression Basin,Exact,1.0,-1.4428232973175175e-12,0.0,1.0,0.0,0.0,0.27999999999999997,0.0,0.9999999999999999,0.0,CompressionPressure,0.9999999999999999,3206.75,3208.0,3200.75,3201.75,Down,-1,3206.75,7.25,,5,3204.5,2.75,,-2.75,,5.25,-3.25,,,0,1
ES,xApvaV01StateLog_ES092020.csv,11,2020-07-17 07:30:00,Unresolved,Unresolved->Unresolved->Unresolved->Unresolved,Pure Unresolved Compression Equilibrium,Exact,1.0,0.543564443196711,0.14285714285714285,0.875,0.0,0.0,0.20817501398441846,0.017857142857142856,0.8782296032525866,0.17247615052070908,CompressionPressure,0.8782296032525866,3201.5,3202.25,3197.25,3200.25,Down,-1,3201.75,5.0,,5,3206.5,6.25,,-6.25,,3.75,-7.0,,,0,1
ES,xApvaV01StateLog_ES092020.csv,12,2020-07-17 07:35:00,Unresolved,Unresolved->Unresolved->Unresolved->Unresolved,Pure Unresolved Compression Equilibrium,Exact,1.0,0.764204506505735,0.125,0.7777777777777778,0.0,0.0,0.18189279154472873,0.015625,0.8283946257507989,0.21404473579812952,CompressionPressure,0.8283946257507989,3200.0,3200.25,3196.5,3198.75,Down,-1,3200.25,3.75,,5,3209.25,10.5,,-10.5,,0.0,-11.0,,,0,1
ES,xApvaV01StateLog_ES092020.csv,13,2020-07-17 07:40:00,Unknown,Unresolved->Unresolved->Unresolved->Unknown,Stable Compression Basin,Exact,1.0,0.7219280948844771,0.2222222222222222,0.8,0.0,0.0,0.17708849134651833,0.027777777777777776,0.8159906051808313,0.24125510408931267,CompressionPressure,0.8159906051808313,3198.75,3203.5,3198.75,3202.0,Down,-1,3198.75,4.75,,5,3210.0,8.0,,-8.0,,2.25,-10.75,,,0,1
