Instrument,File,BarIndex,Time,MacroState,Quadruplet,ResolvedArchetype,ResolutionMethod,Similarity,RollingEntropy,RollingVelocity,RollingDominantFraction,RollingDirectionalPresence,CurrentDirectionalEmergence,DirectionalReleasePressure,ExhaustionPressure,CompressionPressure,RotationalPressure,DominantPressure,DominantPressureValue,Open,High,Low,Close,ActiveDirection,DirectionSign,PrevClose,TR,ATR14,HorizonBars,FutureClose,RawReturn,NormalizedReturn,SignedReturn,SignedNormalizedReturn,DirectionalMFE,DirectionalMAE,DirectionalNormalizedMFE,DirectionalNormalizedMAE,DirectionalHit,HasDirection
NQ,xApvaV01StateLog_NQ092024.csv,4,2024-07-17 06:55:00,Unknown,Unknown->Unknown->Unknown->Unknown,Stable Compression Basin,Soft,0.36602540378443865,-1.4428232973175175e-12,0.0,1.0,0.0,0.0,0.27999999999999997,0.0,0.9999999999999999,0.0,CompressionPressure,0.9999999999999999,20227.0,20249.25,20207.75,20234.75,Up,1,,,,5,20151.5,-83.25,,-83.25,,10.5,-137.0,,,0,1
NQ,xApvaV01StateLog_NQ092024.csv,5,2024-07-17 07:00:00,Unknown,Unknown->Unknown->Unknown->Unknown,Stable Compression Basin,Soft,0.36602540378443865,-1.4428232973175175e-12,0.0,1.0,0.0,0.0,0.27999999999999997,0.0,0.9999999999999999,0.0,CompressionPressure,0.9999999999999999,20235.0,20245.25,20209.0,20209.0,Up,1,20234.75,36.25,,5,20135.5,-73.5,,-73.5,,3.75,-111.25,,,0,1
NQ,xApvaV01StateLog_NQ092024.csv,6,2024-07-17 07:05:00,Unknown,Unknown->Unknown->Unknown->Unknown,Stable Compression Basin,Soft,0.36602540378443865,-1.4428232973175175e-12,0.0,1.0,0.0,0.0,0.27999999999999997,0.0,0.9999999999999999,0.0,CompressionPressure,0.9999999999999999,20209.0,20212.75,20148.5,20155.75,Down,-1,20209.0,64.25,,5,20130.75,-25.0,,25.0,,58.0,-20.25,,,1,1
NQ,xApvaV01StateLog_NQ092024.csv,7,2024-07-17 07:10:00,Unknown,Unknown->Unknown->Unknown->Unknown,Stable Compression Basin,Soft,0.36602540378443865,-1.4428232973175175e-12,0.0,1.0,0.0,0.0,0.27999999999999997,0.0,0.9999999999999999,0.0,CompressionPressure,0.9999999999999999,20155.25,20176.0,20108.25,20116.0,Down,-1,20155.75,67.75,,5,20153.5,37.5,,-37.5,,18.25,-49.25,,,0,1
NQ,xApvaV01StateLog_NQ092024.csv,8,2024-07-17 07:15:00,Unknown,Unknown->Unknown->Unknown->Unknown,Stable Compression Basin,Soft,0.36602540378443865,-1.4428232973175175e-12,0.0,1.0,0.0,0.0,0.27999999999999997,0.0,0.9999999999999999,0.0,CompressionPressure,0.9999999999999999,20116.25,20141.25,20097.75,20126.5,Down,-1,20116.0,43.5,,5,20150.75,24.25,,-24.25,,15.25,-46.5,,,0,1
NQ,xApvaV01StateLog_NQ092024.csv,9,2024-07-17 07:20:00,Unknown,Unknown->Unknown->Unknown->Unknown,Stable Compression Basin,Soft,0.36602540378443865,-1.4428232973175175e-12,0.0,1.0,0.0,0.0,0.27999999999999997,0.0,0.9999999999999999,0.0,CompressionPressure,0.9999999999999999,20126.75,20158.5,20117.25,20151.5,Up,1,20126.5,41.25,,5,20167.0,15.5,,15.5,,23.0,-40.25,,,1,1
NQ,xApvaV01StateLog_NQ092024.csv,10,2024-07-17 07:25:00,Unknown,Unknown->Unknown->Unknown->Unknown,Stable Compression Basin,Soft,0.36602540378443865,-1.4428232973175175e-12,0.0,1.0,0.0,0.0,0.27999999999999997,0.0,0.9999999999999999,0.0,CompressionPressure,0.9999999999999999,20151.75,20155.5,20130.5,20135.5,Up,1,20151.5,25.0,,5,20125.25,-10.25,,-10.25,,44.0,-24.25,,,0,1
NQ,xApvaV01StateLog_NQ092024.csv,11,2024-07-17 07:30:00,Unknown,Unknown->Unknown->Unknown->Unknown,Stable Compression Basin,Soft,0.36602540378443865,-1.4428232973175175e-12,0.0,1.0,0.0,0.0,0.27999999999999997,0.0,0.9999999999999999,0.0,CompressionPressure,0.9999999999999999,20135.25,20149.5,20111.25,20130.75,Down,-1,20135.5,38.25,,5,20110.25,-20.5,,20.5,,26.5,-48.75,,,1,1
NQ,xApvaV01StateLog_NQ092024.csv,12,2024-07-17 07:35:00,Unknown,Unknown->Unknown->Unknown->Unknown,Stable Compression Basin,Soft,0.36602540378443865,-1.4428232973175175e-12,0.0,1.0,0.0,0.0,0.27999999999999997,0.0,0.9999999999999999,0.0,CompressionPressure,0.9999999999999999,20130.75,20165.25,20124.75,20153.5,Down,-1,20130.75,40.5,,5,20123.25,-30.25,,30.25,,49.25,-26.0,,,1,1
NQ,xApvaV01StateLog_NQ092024.csv,13,2024-07-17 07:40:00,Unknown,Unknown->Unknown->Unknown->Unknown,Stable Compression Basin,Soft,0.36602540378443865,-1.4428232973175175e-12,0.0,1.0,0.0,0.0,0.27999999999999997,0.0,0.9999999999999999,0.0,CompressionPressure,0.9999999999999999,20154.0,20173.0,20138.0,20150.75,Down,-1,20153.5,35.0,,5,20105.5,-45.25,,45.25,,48.25,-28.75,,,1,1
