BarIndex,Time,ResolvedArchetype,Quadruplet,RollingEntropy,RollingVelocity,RollingDominantFraction,RollingDirectionalPresence,CurrentDirectionalEmergence,RollingMeanFailure,RollingMeanContinuation,RollingMeanMigrationProbability,DirectionalReleasePressure,ExhaustionPressure,CompressionPressure,RotationalPressure,DominantPressure,DominantPressureValue
3099,2026-05-22 09:50:00,Pure Unresolved Compression Equilibrium,Unresolved->Unresolved->Unresolved->Unresolved,1.3709505944503406,0.5555555555555556,0.6,0.0,0.0,10.526,0.0,0.6100064869410275,0.06760603955684023,0.1070373015873016,0.6087600322912982,0.5232659187264882,CompressionPressure,0.6087600322912982
3100,2026-05-22 09:55:00,Pure Unresolved Compression Equilibrium,Unresolved->Unresolved->Unresolved->Unresolved,1.2954618442339936,0.4444444444444444,0.6,0.0,0.0,10.526,0.0,0.6484463223957884,0.08553842477305709,0.0931484126984127,0.6412558569575977,0.46508608794999556,CompressionPressure,0.6412558569575977
3101,2026-05-22 10:00:00,Pure Unresolved Compression Equilibrium,Unresolved->Unresolved->Unresolved->Unresolved,1.360964047439353,0.4444444444444444,0.5,0.0,0.0,8.421,0.0,0.6840105244908008,0.0688567456734801,0.08563055555555554,0.595495302590596,0.4764075520440251,CompressionPressure,0.595495302590596
3102,2026-05-22 10:05:00,Pure Unresolved Compression Equilibrium,Unresolved->Unresolved->Unresolved->Unresolved,1.360964047439353,0.4444444444444444,0.5,0.0,0.0,8.421,0.0,0.7195747265858132,0.0688567456734801,0.08563055555555554,0.595495302590596,0.4764075520440251,CompressionPressure,0.595495302590596
3103,2026-05-22 10:10:00,Pure Unresolved Compression Equilibrium,Unresolved->Unresolved->Unresolved->Unresolved,1.2954618442339936,0.3333333333333333,0.6,0.0,0.0,8.421,0.0,0.7551389286808258,0.09769120255083487,0.07174166666666666,0.6690336347353755,0.42041227842618606,CompressionPressure,0.6690336347353755
3104,2026-05-22 10:15:00,Pure Unresolved Compression Equilibrium,Unresolved->Unresolved->Unresolved->Unresolved,1.2954618442339936,0.2222222222222222,0.6,0.0,0.0,8.421,0.0,0.7551389286808258,0.10984398032861264,0.057852777777777774,0.6968114125131533,0.3787456117595194,CompressionPressure,0.6968114125131533
3105,2026-05-22 10:20:00,Pure Unresolved Compression Equilibrium,Unresolved->Unresolved->Unresolved->Unresolved,0.8812908992278072,0.1111111111111111,0.7,0.0,0.0,2.105,0.0,0.7935787641355866,0.1653733877500932,0.02140674603174603,0.7921415410204843,0.2374561937298923,CompressionPressure,0.7921415410204843
3106,2026-05-22 10:25:00,Pure Unresolved Compression Equilibrium,Unresolved->Unresolved->Unresolved->Unresolved,0.7219280948844771,0.1111111111111111,0.8,0.0,0.0,0.0,0.0,0.829142966230599,0.18924126912429612,0.013888888888888888,0.8437683829586091,0.199588437422646,CompressionPressure,0.8437683829586091
3107,2026-05-22 10:30:00,Pure Unresolved Compression Equilibrium,Unresolved->Unresolved->Unresolved->Unresolved,0.4689955935863958,0.1111111111111111,0.9,0.0,0.0,0.0,0.0,0.8647071683256116,0.2202730804215971,0.013888888888888888,0.9012433309564057,0.14425945276369073,CompressionPressure,0.9012433309564057
3108,2026-05-22 10:35:00,Pure Unresolved Compression Equilibrium,Unresolved->Unresolved->Unresolved->Unresolved,-1.4428232973175175e-12,0.0,1.0,0.0,0.0,0.0,0.0,0.9002713704206242,0.27999999999999997,0.0,0.9999999999999999,0.0,CompressionPressure,0.9999999999999999
