BarIndex,Time,Quadruplet,TrajectoryCluster,Archetype,ExpectancyFamily,Count,ConditionalProbability,FinalTransition,MeanNextRunLength,ImmediateFailurePct,DirectionalContinuationPct,DominantNextArchetype,RegimeMigrationProbability,IsSelfLoopDominant,Implication,ActionBias,SoftArchetype,SoftVoteSimilarity,SoftMeanDistance,NearestNeighbor,NearestNeighborArchetype,Implication_Soft,ActionBias_Soft,ResolvedArchetype,ResolvedActionBias,ResolvedImplication
3124,2026-05-22 11:55:00,Balance->Unresolved->Degrading->Balance,-1,Unknown,Unknown,0,0.0,Degrading->Balance,0.0,0.0,0.0,Unknown,0.4854771784232365,1,No inference rule available.,No action bias.,Fragile Rotational Churn,1.5771800284536948,2.207692972875413,Degrading->Degrading->Unresolved->Balance,Fragile Rotational Churn,,,Fragile Rotational Churn,,
3125,2026-05-22 12:00:00,Unresolved->Degrading->Balance->Unresolved,-1,Unknown,Unknown,0,0.0,Balance->Unresolved,0.0,0.0,0.0,Unknown,0.4854771784232365,1,No inference rule available.,No action bias.,Persistent Non-Directional Compression,2.1322801005473866,2.028491639348219,Degrading->Unresolved->Balance->Unresolved,Persistent Non-Directional Compression,,,Persistent Non-Directional Compression,,
3126,2026-05-22 12:05:00,Degrading->Balance->Unresolved->Balance,1,Unstable Rotational Balance,ImmediateFailure,1,50.0,Unresolved->Balance,1.63,63.16,0.0,Stable Compression Basin,0.5158730158730159,0,Auction is rotating unstably. Balance is present but fragile. Expect churn and false resolution attempts.,Avoid directional commitment; wait for cleaner incubation or release.,,,,,,,,Unstable Rotational Balance,Avoid directional commitment; wait for cleaner incubation or release.,Auction is rotating unstably. Balance is present but fragile. Expect churn and false resolution attempts.
3127,2026-05-22 12:10:00,Balance->Unresolved->Balance->Balance,1,Unstable Rotational Balance,RotationalChurn,2,66.67,Balance->Balance,0.0,0.0,0.0,Stable Compression Basin,0.5158730158730159,0,Auction is rotating unstably. Balance is present but fragile. Expect churn and false resolution attempts.,Avoid directional commitment; wait for cleaner incubation or release.,,,,,,,,Unstable Rotational Balance,Avoid directional commitment; wait for cleaner incubation or release.,Auction is rotating unstably. Balance is present but fragile. Expect churn and false resolution attempts.
3128,2026-05-22 12:15:00,Unresolved->Balance->Balance->Balance,1,Unstable Rotational Balance,RotationalChurn,2,28.57,Balance->Balance,0.0,0.0,0.0,Stable Compression Basin,0.5158730158730159,0,Auction is rotating unstably. Balance is present but fragile. Expect churn and false resolution attempts.,Avoid directional commitment; wait for cleaner incubation or release.,,,,,,,,Unstable Rotational Balance,Avoid directional commitment; wait for cleaner incubation or release.,Auction is rotating unstably. Balance is present but fragile. Expect churn and false resolution attempts.
3129,2026-05-22 12:20:00,Balance->Balance->Balance->Unresolved,1,Unstable Rotational Balance,PersistentNonDirectional,1,20.0,Balance->Unresolved,7.26,21.05,0.0,Stable Compression Basin,0.5158730158730159,0,Auction is rotating unstably. Balance is present but fragile. Expect churn and false resolution attempts.,Avoid directional commitment; wait for cleaner incubation or release.,,,,,,,,Unstable Rotational Balance,Avoid directional commitment; wait for cleaner incubation or release.,Auction is rotating unstably. Balance is present but fragile. Expect churn and false resolution attempts.
3130,2026-05-22 12:25:00,Balance->Balance->Unresolved->Unresolved,2,Stable Compression Basin,RotationalChurn,5,83.33,Unresolved->Unresolved,0.0,0.0,0.0,Stable Compression Basin,0.5446293494704992,1,Auction is in a stable compression basin. Non-directional persistence is likely. This may mature into later directional release.,Monitor compression quality; prepare but do not anticipate prematurely.,,,,,,,,Stable Compression Basin,Monitor compression quality; prepare but do not anticipate prematurely.,Auction is in a stable compression basin. Non-directional persistence is likely. This may mature into later directional release.
3131,2026-05-22 12:30:00,Balance->Unresolved->Unresolved->Balance,1,Unstable Rotational Balance,ImmediateFailure,2,12.5,Unresolved->Balance,1.63,63.16,0.0,Stable Compression Basin,0.5158730158730159,0,Auction is rotating unstably. Balance is present but fragile. Expect churn and false resolution attempts.,Avoid directional commitment; wait for cleaner incubation or release.,,,,,,,,Unstable Rotational Balance,Avoid directional commitment; wait for cleaner incubation or release.,Auction is rotating unstably. Balance is present but fragile. Expect churn and false resolution attempts.
3132,2026-05-22 12:35:00,Unresolved->Unresolved->Balance->Unresolved,2,Stable Compression Basin,PersistentNonDirectional,10,66.67,Balance->Unresolved,7.26,21.05,0.0,Stable Compression Basin,0.5446293494704992,1,Auction is in a stable compression basin. Non-directional persistence is likely. This may mature into later directional release.,Monitor compression quality; prepare but do not anticipate prematurely.,,,,,,,,Stable Compression Basin,Monitor compression quality; prepare but do not anticipate prematurely.,Auction is in a stable compression basin. Non-directional persistence is likely. This may mature into later directional release.
3133,2026-05-22 12:40:00,Unresolved->Balance->Unresolved->Unresolved,2,Stable Compression Basin,RotationalChurn,10,83.33,Unresolved->Unresolved,0.0,0.0,0.0,Stable Compression Basin,0.5446293494704992,1,Auction is in a stable compression basin. Non-directional persistence is likely. This may mature into later directional release.,Monitor compression quality; prepare but do not anticipate prematurely.,,,,,,,,Stable Compression Basin,Monitor compression quality; prepare but do not anticipate prematurely.,Auction is in a stable compression basin. Non-directional persistence is likely. This may mature into later directional release.
