CurrentQuadruplet,NextState,Count,TotalCount,Probability
Balance->Balance->Balance->Balance,Balance,1,3,0.3333333333333333
Balance->Balance->Balance->Balance,Degrading,1,3,0.3333333333333333
Balance->Balance->Balance->Balance,Unresolved,1,3,0.3333333333333333
Balance->Balance->Balance->Degrading,Balance,1,1,1.0
Balance->Balance->Balance->Unresolved,Unresolved,3,3,1.0
Balance->Balance->Degrading->Balance,Degrading,1,1,1.0
Balance->Balance->Unresolved->Degrading,Balance,1,2,0.5
Balance->Balance->Unresolved->Degrading,Degrading,1,2,0.5
Balance->Balance->Unresolved->Directional,Directional,1,1,1.0
Balance->Balance->Unresolved->Unresolved,Balance,3,7,0.42857142857142855
Balance->Balance->Unresolved->Unresolved,Unresolved,4,7,0.5714285714285714
Balance->Degrading->Balance->Degrading,Unresolved,1,1,1.0
Balance->Degrading->Balance->Unresolved,Balance,1,1,1.0
Balance->Degrading->Degrading->Unresolved,Unresolved,2,2,1.0
Balance->Degrading->Unresolved->Unresolved,Degrading,1,1,1.0
Balance->Unresolved->Balance->Balance,Balance,2,4,0.5
Balance->Unresolved->Balance->Balance,Unresolved,2,4,0.5
Balance->Unresolved->Balance->Unresolved,Unresolved,1,1,1.0
Balance->Unresolved->Degrading->Balance,Unresolved,1,1,1.0
Balance->Unresolved->Degrading->Degrading,Degrading,1,1,1.0
Balance->Unresolved->Directional->Directional,Balance,1,1,1.0
Balance->Unresolved->Unresolved->Balance,Balance,2,5,0.4
Balance->Unresolved->Unresolved->Balance,Unresolved,3,5,0.6
Balance->Unresolved->Unresolved->Unresolved,Balance,4,15,0.26666666666666666
Balance->Unresolved->Unresolved->Unresolved,Degrading,1,15,0.06666666666666667
Balance->Unresolved->Unresolved->Unresolved,Unresolved,10,15,0.6666666666666666
Degrading->Balance->Degrading->Balance,Unresolved,1,1,1.0
Degrading->Balance->Degrading->Degrading,Unresolved,2,2,1.0
Degrading->Balance->Degrading->Unresolved,Unresolved,1,1,1.0
Degrading->Balance->Unresolved->Balance,Balance,3,3,1.0
Degrading->Balance->Unresolved->Unresolved,Unresolved,1,1,1.0
Degrading->Degrading->Balance->Degrading,Degrading,1,1,1.0
Degrading->Degrading->Balance->Unresolved,Balance,1,1,1.0
Degrading->Degrading->Degrading->Balance,Unresolved,1,1,1.0
Degrading->Degrading->Degrading->Degrading,Degrading,6,9,0.6666666666666666
Degrading->Degrading->Degrading->Degrading,Unresolved,3,9,0.3333333333333333
Degrading->Degrading->Degrading->Directional,Directional,1,1,1.0
Degrading->Degrading->Degrading->Unresolved,Balance,1,3,0.3333333333333333
Degrading->Degrading->Degrading->Unresolved,Degrading,1,3,0.3333333333333333
Degrading->Degrading->Degrading->Unresolved,Unresolved,1,3,0.3333333333333333
Degrading->Degrading->Directional->Directional,Directional,1,1,1.0
Degrading->Degrading->Unresolved->Balance,Unresolved,1,1,1.0
Degrading->Degrading->Unresolved->Degrading,Unresolved,1,1,1.0
Degrading->Degrading->Unresolved->Unresolved,Balance,1,4,0.25
Degrading->Degrading->Unresolved->Unresolved,Degrading,1,4,0.25
Degrading->Degrading->Unresolved->Unresolved,Unresolved,2,4,0.5
Degrading->Directional->Degrading->Balance,Unresolved,1,1,1.0
Degrading->Directional->Degrading->Unresolved,Degrading,1,1,1.0
Degrading->Directional->Directional->Directional,Degrading,1,1,1.0
Degrading->Unresolved->Balance->Unresolved,Balance,1,1,1.0
Degrading->Unresolved->Degrading->Degrading,Degrading,1,1,1.0
Degrading->Unresolved->Degrading->Unresolved,Unresolved,2,2,1.0
