Instrument,HorizonBars,NonOverlapRobustnessClass,Rows,MeanOffsetReturn,MeanOffsetTStat,MeanPositiveOffsetFraction,MeanTotalSupport
6E,5,NotRobust,6,0.012539334967336774,0.12619191229497748,0.5166666666666667,563.6666666666666
6E,5,WeakRobustNegative,3,-0.2842650106581759,-1.6388935452875522,0.06666666666666667,781.0
6E,10,NotRobust,3,-0.06679201139919737,-0.17949346229985244,0.4666666666666666,1368.6666666666667
6E,10,WeakRobustNegative,2,-0.42933522812370295,-1.1364318818084624,0.1,552.5
6E,20,NotRobust,5,-0.36276075654058026,-0.5549594425896895,0.28047619047619043,975.6
ES,5,NotRobust,5,0.06741805095940628,0.13778341041150477,0.6,467.0
ES,5,WeakRobustPositive,1,0.33408454463284465,1.219108583853801,0.8,542.0
ES,10,NotRobust,5,0.26184645331195877,0.4578144155457219,0.74,525.8
ES,20,NotRobust,2,0.2957336933637257,0.36990536339439495,0.6144736842105263,962.5
ES,20,Unsupported,2,0.7262377075690681,0.8773872239589953,0.75,30.5
NQ,5,NotRobust,9,-0.01541298149025762,-0.08796813678715398,0.5333333333333333,1064.2222222222222
NQ,10,NotRobust,8,-0.013185974461607033,-0.09528326949598928,0.425,1169.0
NQ,10,Unsupported,1,0.09545879052934758,0.1845304581090074,1.0,22.0
NQ,20,NotRobust,6,-0.07106184601796732,-0.06557252663021891,0.3958333333333333,1468.8333333333333
