Instrument,HorizonBars,ResolvedArchetype,DominantPressure,OffsetCount,TotalSupport,MeanOfOffsetReturns,MedianOfOffsetReturns,StdOfOffsetReturns,MeanOffsetTStat,MaxOffsetTStat,MinOffsetTStat,MeanDirectionalHitRate,MeanDirectionalMFE,MeanDirectionalMAE,PositiveOffsetFraction,NegativeOffsetFraction,NonOverlapRobustnessClass
6E,5,Directional Continuation / Sponsor Release,DirectionalReleasePressure,5,141,0.08522665209457948,-0.0446785138109428,0.2949692099999657,0.4336045634336534,2.353796216413618,-0.6602259300542703,0.44651988393923875,1.2319846952429512,-1.0898851025809915,0.4,0.6,NotRobust
6E,5,Directional Continuation / Sponsor Release,RotationalPressure,5,135,0.0336620490746483,0.039700010081584435,0.41067868576657923,0.13139512633841638,1.6503343754462314,-1.6863817058727426,0.47529780564263324,1.359272209194137,-1.1503474039441393,0.6,0.4,NotRobust
6E,5,Pure Unresolved Compression Equilibrium,CompressionPressure,5,2538,0.05584124358144096,0.04832618548599216,0.06040203017025404,0.6793767264173859,1.6111639658372665,-0.23595222234790073,0.4915356277882674,1.3116903642741233,-1.1959621568518963,0.8,0.2,NotRobust
6E,5,Pure Unresolved Compression Equilibrium,RotationalPressure,4,96,0.010495497053899499,0.026942192703026627,0.15583595261552302,0.07034235191382855,0.6664469695044432,-0.6129394211235393,0.436007326007326,1.1031497816625733,-1.0645529304663612,0.5,0.5,NotRobust
6E,5,Sponsor Exhaustion Collapse,CompressionPressure,5,137,0.08003539772459703,0.06742142703020705,0.1429151151862005,0.285148152423608,1.2499703516297294,-0.23879249593507604,0.4851834784092849,1.2683533098329949,-1.1748138670985366,0.6,0.4,NotRobust
6E,5,Sponsor Exhaustion Collapse,RotationalPressure,5,690,-0.36471010076229016,-0.3209583426421301,0.11602114993352056,-1.8651180603071222,-1.3918191509479978,-2.7028355369522346,0.4083135830067285,1.1598356731716113,-1.558164229842815,0.0,1.0,WeakRobustNegative
6E,5,Stable Compression Basin,CompressionPressure,5,1238,-0.21159588265122373,-0.20030918620462942,0.10843876800963766,-1.6461518699599207,-0.8300442864571796,-3.1896827784677715,0.44120970477857807,1.2121036720208316,-1.3780989981839704,0.0,1.0,WeakRobustNegative
6E,5,Stable Compression Basin,RotationalPressure,5,335,-0.19002482972514462,-0.1539163560233509,0.25484730852682647,-0.8427154467570274,0.4799841262122663,-2.0454800575524863,0.3999969530095092,1.2020445414925212,-1.3421600723088485,0.2,0.8,NotRobust
6E,5,Unstable Rotational Balance,RotationalPressure,5,415,-0.27648904856101375,-0.2737245787589129,0.2131189145643409,-1.4054107055956133,0.20746383340361918,-2.606643170194121,0.40385815807164127,1.1200710719155875,-1.3916274774848674,0.2,0.8,WeakRobustNegative
6E,10,Pure Unresolved Compression Equilibrium,CompressionPressure,10,2533,0.06439176104303149,0.08444504779613497,0.12201164464102877,0.41306854123390113,1.5645250084643003,-0.922315950822082,0.4981977956926378,1.8944850683980263,-1.7725935876740775,0.7,0.3,NotRobust
6E,10,Sponsor Exhaustion Collapse,RotationalPressure,10,690,-0.4395593228075974,-0.5653456056360103,0.27302092114219156,-1.17234260973104,0.09186503012037883,-2.3202396961616776,0.46262952037346183,1.7324856037449572,-2.240365524440812,0.1,0.9,WeakRobustNegative
6E,10,Stable Compression Basin,CompressionPressure,10,1238,-0.23928627781992953,-0.26485102327409166,0.32725540845462703,-0.8663817594697714,1.2500787921284668,-2.165918621131003,0.4497511688760058,1.8098809176673576,-2.0553653019307974,0.3,0.7,NotRobust
6E,10,Stable Compression Basin,RotationalPressure,10,335,-0.02548151742069408,-0.09541764050705934,0.46644428943525984,-0.08516716866368709,0.9399017863491322,-1.6872222876502454,0.4715425965904568,1.7934404990241657,-1.94204386436864,0.4,0.6,NotRobust
6E,10,Unstable Rotational Balance,RotationalPressure,10,415,-0.41911113343980844,-0.4508742180619312,0.41143027008218325,-1.1005211538858848,0.6086228906499511,-2.116979776678149,0.40610119292472235,1.5260893994139113,-2.06813309881903,0.1,0.9,WeakRobustNegative
6E,20,Pure Unresolved Compression Equilibrium,CompressionPressure,20,2524,-0.010840770504071246,-0.03071013839584611,0.32577675095405817,-0.061240269104496314,1.8764465237185048,-1.721917737830521,0.4814563474354051,2.78629826317329,-2.6565261664941366,0.45,0.55,NotRobust
6E,20,Sponsor Exhaustion Collapse,RotationalPressure,20,690,-0.49780418332718135,-0.5161618437626874,0.6279679265691338,-0.6242454455732613,0.9000878977732435,-1.924104216587269,0.4685694234621147,2.6288297911199616,-3.3493159662884233,0.25,0.75,NotRobust
6E,20,Stable Compression Basin,CompressionPressure,20,1238,-0.3861466212291026,-0.4663430470000386,0.43100463052300547,-0.7523944203091169,1.0613723011089082,-2.389433030049234,0.43949155244033145,2.622828733746357,-3.037154574436785,0.25,0.75,NotRobust
6E,20,Stable Compression Basin,RotationalPressure,7,150,-0.24306858311009522,-0.3314862916772182,0.4323421003284677,-0.34992354352630006,0.2861294532701758,-1.0862777782963349,0.45816326530612245,2.7238706695373978,-2.712034967630701,0.2857142857142857,0.7142857142857143,NotRobust
6E,20,Unstable Rotational Balance,RotationalPressure,12,276,-0.6759436245324509,-0.5922919366455315,0.6829948626730264,-0.9869935344352729,0.3588238649070291,-2.8649391606957035,0.4140019065743703,2.091284888124538,-3.0035616264590637,0.16666666666666666,0.8333333333333334,NotRobust
ES,5,Directional Continuation / Sponsor Release,DirectionalReleasePressure,5,127,0.21444904760550712,0.27055572597248195,0.22416871769771782,0.6626270549395057,1.1247659670149521,-0.2805231062567412,0.525957671957672,1.3140157192164716,-1.1004661705376761,0.8,0.2,NotRobust
ES,5,Pure Unresolved Compression Equilibrium,CompressionPressure,5,1408,0.02331872400939554,0.0069631575591302,0.08996618005882277,0.13957693535361698,1.102682711009207,-0.48880887793949224,0.4736346840079535,1.3062134681024193,-1.2414368864303555,0.6,0.4,NotRobust
ES,5,Sponsor Exhaustion Collapse,RotationalPressure,5,297,-0.021249630575253475,-0.015236431476869785,0.1454345825021455,-0.1148551626338085,1.089983048755415,-1.2724086338025182,0.513455377014699,1.107381809938242,-1.1591580784166264,0.4,0.6,NotRobust
ES,5,Stable Compression Basin,CompressionPressure,5,542,0.33408454463284465,0.37240034354169355,0.23258059997534503,1.219108583853801,1.9202223601376047,-0.23277689469305143,0.5192294284037404,1.516286157334564,-1.1079547404262409,0.8,0.2,WeakRobustPositive
ES,5,Stable Compression Basin,RotationalPressure,5,181,0.09340995452582188,0.11343111822883142,0.16709205685350034,0.19020316773027385,0.9139370093960577,-0.41622901179927896,0.4593299052122582,1.2924359013661215,-1.0047220569026112,0.6,0.4,NotRobust
ES,5,Unstable Rotational Balance,RotationalPressure,5,322,0.027162159231560335,0.21496773419248377,0.34423228096175484,-0.18863494333206418,0.6856733678010544,-2.6898690075594573,0.4537453105583646,1.3770860025520977,-1.301286776432011,0.6,0.4,NotRobust
