Quadruplet,TrajectoryCluster,Archetype,ExpectancyFamily,Count,ConditionalProbability,FinalTransition,MeanNextRunLength,ImmediateFailurePct,DirectionalContinuationPct,UnresolvedCount,DirectionalCount,DegradingCount,BalanceCount,StateChanges,EndsDirectional,EndsDegrading,EndsBalance,EndsUnresolved,PersistentUnresolved,PersistentDirectional,PersistentDegrading,PersistentBalance,UnresolvedToDirectional,DirectionalToDegrading,BalanceUnresolvedLoop,DegradingUnresolvedLoop
Unresolved->Unresolved->Unresolved->Unresolved,4,Pure Unresolved Compression Equilibrium,Mixed,186,89.42,Unresolved->Unresolved,0.0,0.0,0.0,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Balance->Unresolved->Unresolved->Unresolved,2,Stable Compression Basin,RotationalChurn,14,87.5,Unresolved->Unresolved,0.0,0.0,0.0,3,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0
Unresolved->Balance->Unresolved->Unresolved,2,Stable Compression Basin,RotationalChurn,10,83.33,Unresolved->Unresolved,0.0,0.0,0.0,3,0,0,1,2,0,0,0,1,0,0,0,0,0,0,1,0
Unresolved->Unresolved->Balance->Unresolved,2,Stable Compression Basin,PersistentNonDirectional,10,66.67,Balance->Unresolved,7.26,21.05,0.0,3,0,0,1,2,0,0,0,1,0,0,0,0,0,0,1,0
Unresolved->Unresolved->Unresolved->Balance,1,Unstable Rotational Balance,ImmediateFailure,10,4.81,Unresolved->Balance,1.63,63.16,0.0,3,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0
Degrading->Degrading->Degrading->Degrading,0,Sponsor Exhaustion Collapse,DegradationCycle,9,64.29,Degrading->Degrading,0.0,0.0,0.0,0,0,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Directional->Directional->Directional->Directional,3,Directional Continuation / Sponsor Release,Mixed,8,66.67,Directional->Directional,0.0,0.0,0.0,0,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Degrading->Unresolved->Unresolved->Unresolved,2,Stable Compression Basin,DegradationCycle,7,58.33,Unresolved->Unresolved,0.0,0.0,0.0,3,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
Unresolved->Unresolved->Unresolved->Directional,3,Directional Continuation / Sponsor Release,DirectionalContinuation,6,2.88,Unresolved->Directional,3.13,25.0,75.0,3,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
Unresolved->Degrading->Unresolved->Unresolved,2,Stable Compression Basin,DegradationCycle,5,83.33,Unresolved->Unresolved,0.0,0.0,0.0,3,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,1
