BarIndex,Time,Quadruplet,TrajectoryCluster,Archetype,ExpectancyFamily,Count,ConditionalProbability,FinalTransition,MeanNextRunLength,ImmediateFailurePct,DirectionalContinuationPct,DominantNextArchetype,RegimeMigrationProbability,IsSelfLoopDominant,Implication,ActionBias,SoftArchetype,SoftVoteSimilarity,SoftMeanDistance,NearestNeighbor,NearestNeighborArchetype,Implication_Soft,ActionBias_Soft,ResolvedArchetype,ResolvedActionBias,ResolvedImplication
4,2026-04-06 06:55:00,Unknown->Unknown->Unknown->Unknown,-1,Unknown,Unknown,0,0.0,Unknown->Unknown,0.0,0.0,0.0,Unknown,0.4854771784232365,1,No inference rule available.,No action bias.,Persistent Non-Directional Compression,1.0373748055566194,4.166727563925361,Unresolved->Unknown->Unknown->Unknown,Persistent Non-Directional Compression,,,Persistent Non-Directional Compression,,
5,2026-04-06 07:00:00,Unknown->Unknown->Unknown->Unknown,-1,Unknown,Unknown,0,0.0,Unknown->Unknown,0.0,0.0,0.0,Unknown,0.4854771784232365,1,No inference rule available.,No action bias.,Persistent Non-Directional Compression,1.0373748055566194,4.166727563925361,Unresolved->Unknown->Unknown->Unknown,Persistent Non-Directional Compression,,,Persistent Non-Directional Compression,,
6,2026-04-06 07:05:00,Unknown->Unknown->Unknown->Unknown,-1,Unknown,Unknown,0,0.0,Unknown->Unknown,0.0,0.0,0.0,Unknown,0.4854771784232365,1,No inference rule available.,No action bias.,Persistent Non-Directional Compression,1.0373748055566194,4.166727563925361,Unresolved->Unknown->Unknown->Unknown,Persistent Non-Directional Compression,,,Persistent Non-Directional Compression,,
7,2026-04-06 07:10:00,Unknown->Unknown->Unknown->Unknown,-1,Unknown,Unknown,0,0.0,Unknown->Unknown,0.0,0.0,0.0,Unknown,0.4854771784232365,1,No inference rule available.,No action bias.,Persistent Non-Directional Compression,1.0373748055566194,4.166727563925361,Unresolved->Unknown->Unknown->Unknown,Persistent Non-Directional Compression,,,Persistent Non-Directional Compression,,
8,2026-04-06 07:15:00,Unknown->Unknown->Unknown->Unresolved,2,Stable Compression Basin,PersistentNonDirectional,2,100.0,Unknown->Unresolved,20.5,0.0,0.0,Stable Compression Basin,0.5446293494704992,1,Auction is in a stable compression basin. Non-directional persistence is likely. This may mature into later directional release.,Monitor compression quality; prepare but do not anticipate prematurely.,,,,,,,,Stable Compression Basin,Monitor compression quality; prepare but do not anticipate prematurely.,Auction is in a stable compression basin. Non-directional persistence is likely. This may mature into later directional release.
9,2026-04-06 07:20:00,Unknown->Unknown->Unresolved->Unresolved,2,Stable Compression Basin,Mixed,2,100.0,Unresolved->Unresolved,0.0,0.0,0.0,Stable Compression Basin,0.5446293494704992,1,Auction is in a stable compression basin. Non-directional persistence is likely. This may mature into later directional release.,Monitor compression quality; prepare but do not anticipate prematurely.,,,,,,,,Stable Compression Basin,Monitor compression quality; prepare but do not anticipate prematurely.,Auction is in a stable compression basin. Non-directional persistence is likely. This may mature into later directional release.
10,2026-04-06 07:25:00,Unknown->Unresolved->Unresolved->Unresolved,2,Stable Compression Basin,Mixed,2,100.0,Unresolved->Unresolved,0.0,0.0,0.0,Stable Compression Basin,0.5446293494704992,1,Auction is in a stable compression basin. Non-directional persistence is likely. This may mature into later directional release.,Monitor compression quality; prepare but do not anticipate prematurely.,,,,,,,,Stable Compression Basin,Monitor compression quality; prepare but do not anticipate prematurely.,Auction is in a stable compression basin. Non-directional persistence is likely. This may mature into later directional release.
11,2026-04-06 07:30:00,Unresolved->Unresolved->Unresolved->Directional,3,Directional Continuation / Sponsor Release,DirectionalContinuation,6,2.88,Unresolved->Directional,3.13,25.0,75.0,Directional Continuation / Sponsor Release,0.5235294117647059,1,"Auction shows directional continuation structure. Sponsor release is active, but degradation must be monitored.",Continuation favored while degradation remains contained.,,,,,,,,Directional Continuation / Sponsor Release,Continuation favored while degradation remains contained.,"Auction shows directional continuation structure. Sponsor release is active, but degradation must be monitored."
12,2026-04-06 07:35:00,Unresolved->Unresolved->Directional->Unresolved,-1,Unknown,Unknown,0,0.0,Directional->Unresolved,0.0,0.0,0.0,Unknown,0.4854771784232365,1,No inference rule available.,No action bias.,Persistent Non-Directional Compression,0.6347147641673787,3.730201544127926,Directional->Directional->Unresolved->Unresolved,Persistent Non-Directional Compression,,,Persistent Non-Directional Compression,,
13,2026-04-06 07:40:00,Unresolved->Directional->Unresolved->Unresolved,-1,Unknown,Unknown,0,0.0,Unresolved->Unresolved,0.0,0.0,0.0,Unknown,0.4854771784232365,1,No inference rule available.,No action bias.,Persistent Non-Directional Compression,0.6347147641673787,3.730201544127926,Directional->Directional->Unresolved->Unresolved,Persistent Non-Directional Compression,,,Persistent Non-Directional Compression,,
14,2026-04-06 07:45:00,Directional->Unresolved->Unresolved->Directional,3,Directional Continuation / Sponsor Release,DirectionalContinuation,1,100.0,Unresolved->Directional,3.13,25.0,75.0,Directional Continuation / Sponsor Release,0.5235294117647059,1,"Auction shows directional continuation structure. Sponsor release is active, but degradation must be monitored.",Continuation favored while degradation remains contained.,,,,,,,,Directional Continuation / Sponsor Release,Continuation favored while degradation remains contained.,"Auction shows directional continuation structure. Sponsor release is active, but degradation must be monitored."
15,2026-04-06 07:50:00,Unresolved->Unresolved->Directional->Degrading,0,Sponsor Exhaustion Collapse,ImmediateFailure,2,28.57,Directional->Degrading,2.2,70.0,0.0,Sponsor Exhaustion Collapse,0.4884393063583815,1,Sponsor structure is deteriorating. Expect degradation persistence or exhaustion behavior. Avoid treating directional movement as durable.,Avoid continuation entries; monitor for failed breakout or exhaustion.,,,,,,,,Sponsor Exhaustion Collapse,Avoid continuation entries; monitor for failed breakout or exhaustion.,Sponsor structure is deteriorating. Expect degradation persistence or exhaustion behavior. Avoid treating directional movement as durable.
16,2026-04-06 07:55:00,Unresolved->Directional->Degrading->Degrading,0,Sponsor Exhaustion Collapse,DegradationCycle,1,50.0,Degrading->Degrading,0.0,0.0,0.0,Sponsor Exhaustion Collapse,0.4884393063583815,1,Sponsor structure is deteriorating. Expect degradation persistence or exhaustion behavior. Avoid treating directional movement as durable.,Avoid continuation entries; monitor for failed breakout or exhaustion.,,,,,,,,Sponsor Exhaustion Collapse,Avoid continuation entries; monitor for failed breakout or exhaustion.,Sponsor structure is deteriorating. Expect degradation persistence or exhaustion behavior. Avoid treating directional movement as durable.
17,2026-04-06 08:00:00,Directional->Degrading->Degrading->Degrading,0,Sponsor Exhaustion Collapse,DegradationCycle,3,100.0,Degrading->Degrading,0.0,0.0,0.0,Sponsor Exhaustion Collapse,0.4884393063583815,1,Sponsor structure is deteriorating. Expect degradation persistence or exhaustion behavior. Avoid treating directional movement as durable.,Avoid continuation entries; monitor for failed breakout or exhaustion.,,,,,,,,Sponsor Exhaustion Collapse,Avoid continuation entries; monitor for failed breakout or exhaustion.,Sponsor structure is deteriorating. Expect degradation persistence or exhaustion behavior. Avoid treating directional movement as durable.
18,2026-04-06 08:05:00,Degrading->Degrading->Degrading->Balance,1,Unstable Rotational Balance,ImmediateFailure,1,7.14,Degrading->Balance,1.0,100.0,0.0,Stable Compression Basin,0.5158730158730159,0,Auction is rotating unstably. Balance is present but fragile. Expect churn and false resolution attempts.,Avoid directional commitment; wait for cleaner incubation or release.,,,,,,,,Unstable Rotational Balance,Avoid directional commitment; wait for cleaner incubation or release.,Auction is rotating unstably. Balance is present but fragile. Expect churn and false resolution attempts.
19,2026-04-06 08:10:00,Degrading->Degrading->Balance->Degrading,0,Sponsor Exhaustion Collapse,DegradationCycle,1,50.0,Balance->Degrading,1.5,50.0,0.0,Sponsor Exhaustion Collapse,0.4884393063583815,1,Sponsor structure is deteriorating. Expect degradation persistence or exhaustion behavior. Avoid treating directional movement as durable.,Avoid continuation entries; monitor for failed breakout or exhaustion.,,,,,,,,Sponsor Exhaustion Collapse,Avoid continuation entries; monitor for failed breakout or exhaustion.,Sponsor structure is deteriorating. Expect degradation persistence or exhaustion behavior. Avoid treating directional movement as durable.
20,2026-04-06 08:15:00,Degrading->Balance->Degrading->Unresolved,2,Stable Compression Basin,PersistentNonDirectional,1,33.33,Degrading->Unresolved,5.53,29.41,0.0,Stable Compression Basin,0.5446293494704992,1,Auction is in a stable compression basin. Non-directional persistence is likely. This may mature into later directional release.,Monitor compression quality; prepare but do not anticipate prematurely.,,,,,,,,Stable Compression Basin,Monitor compression quality; prepare but do not anticipate prematurely.,Auction is in a stable compression basin. Non-directional persistence is likely. This may mature into later directional release.
21,2026-04-06 08:20:00,Balance->Degrading->Unresolved->Unresolved,2,Stable Compression Basin,DegradationCycle,1,100.0,Unresolved->Unresolved,0.0,0.0,0.0,Stable Compression Basin,0.5446293494704992,1,Auction is in a stable compression basin. Non-directional persistence is likely. This may mature into later directional release.,Monitor compression quality; prepare but do not anticipate prematurely.,,,,,,,,Stable Compression Basin,Monitor compression quality; prepare but do not anticipate prematurely.,Auction is in a stable compression basin. Non-directional persistence is likely. This may mature into later directional release.
