BarIndex,Time,Quadruplet,TrajectoryCluster,Archetype,ExpectancyFamily,Count,ConditionalProbability,FinalTransition,MeanNextRunLength,ImmediateFailurePct,DirectionalContinuationPct,DominantNextArchetype,RegimeMigrationProbability,IsSelfLoopDominant,Implication,ActionBias
4,2026-04-06 06:55:00,Unknown->Unknown->Unknown->Unknown,-1,Unknown,Unknown,0,0.0,Unknown->Unknown,0.0,0.0,0.0,Unknown,0.4854771784232365,1,No inference rule available.,No action bias.
5,2026-04-06 07:00:00,Unknown->Unknown->Unknown->Unknown,-1,Unknown,Unknown,0,0.0,Unknown->Unknown,0.0,0.0,0.0,Unknown,0.4854771784232365,1,No inference rule available.,No action bias.
6,2026-04-06 07:05:00,Unknown->Unknown->Unknown->Unknown,-1,Unknown,Unknown,0,0.0,Unknown->Unknown,0.0,0.0,0.0,Unknown,0.4854771784232365,1,No inference rule available.,No action bias.
7,2026-04-06 07:10:00,Unknown->Unknown->Unknown->Unknown,-1,Unknown,Unknown,0,0.0,Unknown->Unknown,0.0,0.0,0.0,Unknown,0.4854771784232365,1,No inference rule available.,No action bias.
8,2026-04-06 07:15:00,Unknown->Unknown->Unknown->Unresolved,2,Stable Compression Basin,PersistentNonDirectional,2,100.0,Unknown->Unresolved,20.5,0.0,0.0,Stable Compression Basin,0.5446293494704992,1,Auction is in a stable compression basin. Non-directional persistence is likely. This may mature into later directional release.,Monitor compression quality; prepare but do not anticipate prematurely.
9,2026-04-06 07:20:00,Unknown->Unknown->Unresolved->Unresolved,2,Stable Compression Basin,Mixed,2,100.0,Unresolved->Unresolved,0.0,0.0,0.0,Stable Compression Basin,0.5446293494704992,1,Auction is in a stable compression basin. Non-directional persistence is likely. This may mature into later directional release.,Monitor compression quality; prepare but do not anticipate prematurely.
10,2026-04-06 07:25:00,Unknown->Unresolved->Unresolved->Unresolved,2,Stable Compression Basin,Mixed,2,100.0,Unresolved->Unresolved,0.0,0.0,0.0,Stable Compression Basin,0.5446293494704992,1,Auction is in a stable compression basin. Non-directional persistence is likely. This may mature into later directional release.,Monitor compression quality; prepare but do not anticipate prematurely.
11,2026-04-06 07:30:00,Unresolved->Unresolved->Unresolved->Directional,3,Directional Continuation / Sponsor Release,DirectionalContinuation,6,2.88,Unresolved->Directional,3.13,25.0,75.0,Directional Continuation / Sponsor Release,0.5235294117647059,1,"Auction shows directional continuation structure. Sponsor release is active, but degradation must be monitored.",Continuation favored while degradation remains contained.
12,2026-04-06 07:35:00,Unresolved->Unresolved->Directional->Unresolved,-1,Unknown,Unknown,0,0.0,Directional->Unresolved,0.0,0.0,0.0,Unknown,0.4854771784232365,1,No inference rule available.,No action bias.
13,2026-04-06 07:40:00,Unresolved->Directional->Unresolved->Unresolved,-1,Unknown,Unknown,0,0.0,Unresolved->Unresolved,0.0,0.0,0.0,Unknown,0.4854771784232365,1,No inference rule available.,No action bias.
14,2026-04-06 07:45:00,Directional->Unresolved->Unresolved->Directional,3,Directional Continuation / Sponsor Release,DirectionalContinuation,1,100.0,Unresolved->Directional,3.13,25.0,75.0,Directional Continuation / Sponsor Release,0.5235294117647059,1,"Auction shows directional continuation structure. Sponsor release is active, but degradation must be monitored.",Continuation favored while degradation remains contained.
15,2026-04-06 07:50:00,Unresolved->Unresolved->Directional->Degrading,0,Sponsor Exhaustion Collapse,ImmediateFailure,2,28.57,Directional->Degrading,2.2,70.0,0.0,Sponsor Exhaustion Collapse,0.4884393063583815,1,Sponsor structure is deteriorating. Expect degradation persistence or exhaustion behavior. Avoid treating directional movement as durable.,Avoid continuation entries; monitor for failed breakout or exhaustion.
16,2026-04-06 07:55:00,Unresolved->Directional->Degrading->Degrading,0,Sponsor Exhaustion Collapse,DegradationCycle,1,50.0,Degrading->Degrading,0.0,0.0,0.0,Sponsor Exhaustion Collapse,0.4884393063583815,1,Sponsor structure is deteriorating. Expect degradation persistence or exhaustion behavior. Avoid treating directional movement as durable.,Avoid continuation entries; monitor for failed breakout or exhaustion.
