BarIndex,Time,ResolvedArchetype,Quadruplet,RollingEntropy,RollingVelocity,RollingDominantFraction,RollingMeanFailure,RollingMeanContinuation,RollingMeanMigrationProbability,DirectionalReleasePressure,ExhaustionPressure,CompressionPressure,RotationalPressure,DominantPressure,DominantPressureValue
4,2026-04-06 06:55:00,Stable Compression Basin,Unknown->Unknown->Unknown->Unknown,-1.4428232973175175e-12,0.0,1.0,0.0,0.0,0.4854771784232365,0.9999999999999999,0.0,0.9999999999999999,0.0,DirectionalReleasePressure,0.9999999999999999
5,2026-04-06 07:00:00,Stable Compression Basin,Unknown->Unknown->Unknown->Unknown,-1.4428232973175175e-12,0.0,1.0,0.0,0.0,0.4854771784232365,0.9999999999999999,0.0,0.9999999999999999,0.0,DirectionalReleasePressure,0.9999999999999999
6,2026-04-06 07:05:00,Stable Compression Basin,Unknown->Unknown->Unknown->Unknown,-1.4428232973175175e-12,0.0,1.0,0.0,0.0,0.4854771784232365,0.9999999999999999,0.0,0.9999999999999999,0.0,DirectionalReleasePressure,0.9999999999999999
7,2026-04-06 07:10:00,Stable Compression Basin,Unknown->Unknown->Unknown->Unknown,-1.4428232973175175e-12,0.0,1.0,0.0,0.0,0.4854771784232365,0.9999999999999999,0.0,0.9999999999999999,0.0,DirectionalReleasePressure,0.9999999999999999
8,2026-04-06 07:15:00,Stable Compression Basin,Unknown->Unknown->Unknown->Unresolved,-1.4428232973175175e-12,0.0,1.0,0.0,0.0,0.4973076126326891,0.9999999999999999,0.0,0.9999999999999999,0.0,DirectionalReleasePressure,0.9999999999999999
9,2026-04-06 07:20:00,Stable Compression Basin,Unknown->Unknown->Unresolved->Unresolved,-1.4428232973175175e-12,0.0,1.0,0.0,0.0,0.5051945687723242,0.9999999999999999,0.0,0.9999999999999999,0.0,DirectionalReleasePressure,0.9999999999999999
10,2026-04-06 07:25:00,Stable Compression Basin,Unknown->Unresolved->Unresolved->Unresolved,-1.4428232973175175e-12,0.0,1.0,0.0,0.0,0.5108281088720634,0.9999999999999999,0.0,0.9999999999999999,0.0,DirectionalReleasePressure,0.9999999999999999
11,2026-04-06 07:30:00,Directional Continuation / Sponsor Release,Unresolved->Unresolved->Unresolved->Directional,0.543564443196711,0.14285714285714285,0.875,3.125,9.375,0.5124157717336437,0.6754405161459576,0.2879464285714286,0.4282296032525866,0.1769404362349948,DirectionalReleasePressure,0.6754405161459576
12,2026-04-06 07:35:00,Stable Compression Basin,Unresolved->Unresolved->Directional->Unresolved,0.5032583347727604,0.25,0.8888888888888888,2.7777777777777777,8.333333333333334,0.5094225946991541,0.7498659429721624,0.10124007936507937,0.8597500577804061,0.20780601469979526,CompressionPressure,0.8597500577804061
13,2026-04-06 07:40:00,Stable Compression Basin,Unresolved->Directional->Unresolved->Unresolved,0.4689955935863958,0.2222222222222222,0.9,2.5,7.5,0.5070280530715623,0.7724072139029758,0.09059523809523809,0.8734655531786281,0.18949754800178595,CompressionPressure,0.8734655531786281
14,2026-04-06 07:45:00,Directional Continuation / Sponsor Release,Directional->Unresolved->Unresolved->Directional,0.7219280948844771,0.3333333333333333,0.8,5.0,15.0,0.5108332764057092,0.5337448959106874,0.3603571428571429,0.3382128274030536,0.29006462789883647,DirectionalReleasePressure,0.5337448959106874
15,2026-04-06 07:50:00,Sponsor Exhaustion Collapse,Unresolved->Unresolved->Directional->Degrading,1.1567796494427114,0.4444444444444444,0.7,12.0,15.0,0.5111294891992237,0.3552877850177403,0.2061904761904762,0.24159016079871942,0.4368550721251169,RotationalPressure,0.4368550721251169
16,2026-04-06 07:55:00,Sponsor Exhaustion Collapse,Unresolved->Directional->Degrading->Degrading,1.3709505944503406,0.4444444444444444,0.6,12.0,15.0,0.5114257019927383,0.2667712241306547,0.2061904761904762,0.18653781006907594,0.4837049663455357,RotationalPressure,0.4837049663455357
17,2026-04-06 08:00:00,Sponsor Exhaustion Collapse,Directional->Degrading->Degrading->Degrading,1.4854752972230063,0.4444444444444444,0.5,12.0,15.0,0.5117219147862528,0.20005227873246742,0.2061904761904762,0.13771334947911767,0.5087572450770564,RotationalPressure,0.5087572450770564
18,2026-04-06 08:05:00,Unstable Rotational Balance,Degrading->Degrading->Degrading->Balance,1.8464393446652445,0.5555555555555556,0.4,22.0,15.0,0.5088462814265043,0.09166666666666667,0.2627380952380952,0.061111111111111116,0.8397619047619048,RotationalPressure,0.8397619047619048
19,2026-04-06 08:10:00,Sponsor Exhaustion Collapse,Degrading->Degrading->Balance->Degrading,1.8464393446652445,0.6666666666666666,0.4,27.0,15.0,0.5032272771152926,0.05000000000000003,0.30142857142857143,0.033333333333333354,0.6385714285714286,RotationalPressure,0.6385714285714286
20,2026-04-06 08:15:00,Stable Compression Basin,Degrading->Balance->Degrading->Unresolved,1.8464393446652445,0.6666666666666666,0.4,29.941000000000003,15.0,0.5032272771152926,0.15000000000000002,0.3119321428571429,0.4833333333333334,0.6427728571428571,RotationalPressure,0.6427728571428571
21,2026-04-06 08:20:00,Stable Compression Basin,Balance->Degrading->Unresolved->Unresolved,1.7219280948815914,0.5555555555555556,0.4,27.441000000000003,7.5,0.5053372708858719,0.19166666666666668,0.2421702380952381,0.5111111111111111,0.597534761904762,RotationalPressure,0.597534761904762
22,2026-04-06 08:25:00,Unstable Rotational Balance,Degrading->Unresolved->Unresolved->Balance,1.8464393446652445,0.6666666666666666,0.4,33.75699999999999,7.5,0.5083768546308498,0.05000000000000003,0.2855607142857143,0.033333333333333354,0.8982242857142857,RotationalPressure,0.8982242857142857
23,2026-04-06 08:30:00,Unstable Rotational Balance,Unresolved->Unresolved->Balance->Balance,1.8464393446652445,0.5555555555555556,0.4,33.75699999999999,7.5,0.5114164383758278,0.09166666666666667,0.2647273809523809,0.061111111111111116,0.8565576190476191,RotationalPressure,0.8565576190476191
24,2026-04-06 08:35:00,Stable Compression Basin,Unresolved->Balance->Balance->Unresolved,1.5709505944503404,0.5555555555555556,0.4,33.362,0.0,0.513526432146407,0.19802122413065476,0.22331666666666666,0.5129266989579648,0.5996387758693453,RotationalPressure,0.5996387758693453
25,2026-04-06 08:40:00,Unstable Rotational Balance,Balance->Balance->Unresolved->Balance,1.5709505944503404,0.6666666666666666,0.4,26.362000000000002,0.0,0.5132302193528926,0.0563545574639881,0.21915,0.03514892118018709,0.881305442536012,RotationalPressure,0.881305442536012
26,2026-04-06 08:45:00,Unstable Rotational Balance,Balance->Unresolved->Balance->Balance,1.4854752972230063,0.6666666666666666,0.5,26.362000000000002,0.0,0.5159735903043561,0.11671894539913408,0.21915,0.08215779392356212,0.8626077212675326,RotationalPressure,0.8626077212675326
27,2026-04-06 08:50:00,Stable Compression Basin,Unresolved->Balance->Balance->Unresolved,1.360964047439353,0.6666666666666666,0.5,28.467000000000002,0.0,0.5215925946155678,0.24395578128930825,0.22666785714285714,0.5399397470350404,0.5883780282345014,RotationalPressure,0.5883780282345014
28,2026-04-06 08:55:00,Stable Compression Basin,Balance->Balance->Unresolved->Unresolved,1.360964047439353,0.5555555555555556,0.5,18.467000000000002,0.0,0.5244682279753162,0.2856224479559749,0.17012023809523807,0.5677175248128182,0.5324256472821203,CompressionPressure,0.5677175248128182
29,2026-04-06 09:00:00,Directional Continuation / Sponsor Release,Balance->Unresolved->Unresolved->Directional,1.360964047439353,0.5555555555555556,0.5,13.466999999999999,0.0,0.5241720151818017,0.1856224479559749,0.35226309523809524,0.11771752481281822,0.5252827901392632,RotationalPressure,0.5252827901392632
30,2026-04-06 09:05:00,Unstable Rotational Balance,Unresolved->Unresolved->Directional->Balance,1.360964047439353,0.6666666666666666,0.5,10.526,0.0,0.5182567980770754,0.14395578128930825,0.16259285714285712,0.08993974703504046,0.8127480282345013,RotationalPressure,0.8127480282345013
31,2026-04-06 09:10:00,Stable Compression Basin,Unresolved->Directional->Balance->Unresolved,1.360964047439353,0.6666666666666666,0.5,10.526,0.0,0.5123415809723492,0.24395578128930825,0.16259285714285712,0.5399397470350404,0.5627480282345013,RotationalPressure,0.5627480282345013
32,2026-04-06 09:15:00,Unstable Rotational Balance,Directional->Balance->Unresolved->Balance,1.360964047439353,0.7777777777777778,0.5,4.21,0.0,0.5093019972273712,0.10228911462264156,0.1608690476190476,0.06216196925726267,0.8453918377583108,RotationalPressure,0.8453918377583108
33,2026-04-06 09:20:00,Stable Compression Basin,Balance->Unresolved->Balance->Unresolved,1.360964047439353,0.7777777777777778,0.5,6.315,0.0,0.5121776305871195,0.20228911462264157,0.16838690476190474,0.5121619692572627,0.5983989806154537,RotationalPressure,0.5983989806154537
34,2026-04-06 09:25:00,Unstable Rotational Balance,Unresolved->Balance->Unresolved->Balance,1.360964047439353,0.7777777777777778,0.5,10.526,0.0,0.5093019972273712,0.10228911462264156,0.18342619047619046,0.06216196925726267,0.854414694901168,RotationalPressure,0.854414694901168
35,2026-04-06 09:30:00,Unstable Rotational Balance,Balance->Unresolved->Balance->Balance,1.360964047439353,0.7777777777777778,0.5,10.526,0.0,0.5123415809723492,0.10228911462264156,0.18342619047619046,0.06216196925726267,0.854414694901168,RotationalPressure,0.854414694901168
36,2026-04-06 09:35:00,Stable Compression Basin,Unresolved->Balance->Balance->Unresolved,1.360964047439353,0.7777777777777778,0.5,12.630999999999998,0.0,0.5152172143320974,0.20228911462264157,0.1909440476190476,0.5121619692572627,0.6074218377583108,RotationalPressure,0.6074218377583108
37,2026-04-06 09:40:00,Stable Compression Basin,Balance->Balance->Unresolved->Unresolved,1.360964047439353,0.7777777777777778,0.5,10.526,0.0,0.5152172143320974,0.20228911462264157,0.18342619047619046,0.5121619692572627,0.604414694901168,RotationalPressure,0.604414694901168
38,2026-04-06 09:45:00,Stable Compression Basin,Balance->Unresolved->Unresolved->Unresolved,1.360964047439353,0.6666666666666666,0.5,10.526,0.0,0.5152172143320974,0.24395578128930825,0.16259285714285712,0.5399397470350404,0.5627480282345013,RotationalPressure,0.5627480282345013
39,2026-04-06 09:50:00,Pure Unresolved Compression Equilibrium,Unresolved->Unresolved->Unresolved->Unresolved,1.360964047439353,0.6666666666666666,0.5,10.526,0.0,0.5566966335318362,0.24395578128930825,0.16259285714285712,0.5399397470350404,0.5627480282345013,RotationalPressure,0.5627480282345013
40,2026-04-06 09:55:00,Sponsor Exhaustion Collapse,Unresolved->Unresolved->Unresolved->Degrading,1.6854752972215634,0.6666666666666666,0.5,16.889999999999997,0.0,0.5569928463253507,0.09166666666666669,0.18532142857142855,0.07500000000000001,0.6241285714285714,RotationalPressure,0.6241285714285714
41,2026-04-06 10:00:00,Unstable Rotational Balance,Unresolved->Unresolved->Degrading->Balance,1.7219280948815914,0.6666666666666666,0.4,16.889999999999997,0.0,0.5569928463253507,0.05000000000000003,0.18532142857142855,0.033333333333333354,0.8741285714285714,RotationalPressure,0.8741285714285714
42,2026-04-06 10:05:00,Stable Compression Basin,Unresolved->Degrading->Balance->Unresolved,1.6854752972215634,0.6666666666666666,0.5,16.889999999999997,0.0,0.5569928463253507,0.1916666666666667,0.18532142857142855,0.525,0.6241285714285714,RotationalPressure,0.6241285714285714
43,2026-04-06 10:10:00,Stable Compression Basin,Degrading->Balance->Unresolved->Unresolved,1.6854752972215634,0.5555555555555556,0.5,14.785,0.0,0.5569928463253507,0.23333333333333334,0.15697023809523808,0.5527777777777778,0.579454761904762,RotationalPressure,0.579454761904762
44,2026-04-06 10:15:00,Stable Compression Basin,Balance->Unresolved->Unresolved->Unresolved,1.5709505944488977,0.5555555555555556,0.6,8.469,0.0,0.5598684796850991,0.2813545574643036,0.13441309523809522,0.5962600322913884,0.5640773472976011,CompressionPressure,0.5962600322913884
45,2026-04-06 10:20:00,Sponsor Exhaustion Collapse,Unresolved->Unresolved->Unresolved->Degrading,1.5709505944488977,0.5555555555555556,0.6,14.832999999999998,0.0,0.5571251087336357,0.18135455746430362,0.15714166666666665,0.14626003229138834,0.5731687758690297,RotationalPressure,0.5731687758690297
46,2026-04-06 10:25:00,Stable Compression Basin,Unresolved->Unresolved->Degrading->Unresolved,1.5709505944488977,0.6666666666666666,0.6,15.669,0.0,0.5571251087336357,0.239687890797637,0.18096071428571428,0.5684822545136106,0.616029728249982,RotationalPressure,0.616029728249982
47,2026-04-06 10:30:00,Stable Compression Basin,Unresolved->Degrading->Unresolved->Unresolved,1.5709505944488977,0.6666666666666666,0.6,15.669,0.0,0.5571251087336356,0.239687890797637,0.18096071428571428,0.5684822545136106,0.616029728249982,RotationalPressure,0.616029728249982
48,2026-04-06 10:35:00,Sponsor Exhaustion Collapse,Degrading->Unresolved->Unresolved->Degrading,1.6854752972215634,0.6666666666666666,0.5,22.032999999999998,0.0,0.5515061044224239,0.09166666666666669,0.20368928571428568,0.07500000000000001,0.6314757142857143,RotationalPressure,0.6314757142857143
49,2026-04-06 10:40:00,Stable Compression Basin,Unresolved->Unresolved->Degrading->Unresolved,1.2954618442339936,0.6666666666666666,0.6,24.973999999999997,0.0,0.5159419023274114,0.29995105490714724,0.21419285714285713,0.5857003014020421,0.5690594212833289,CompressionPressure,0.5857003014020421
50,2026-04-06 10:45:00,Stable Compression Basin,Unresolved->Degrading->Unresolved->Unresolved,1.1567796494427114,0.5555555555555556,0.7,18.61,0.0,0.5215609066386231,0.4136211183510735,0.17063095238095238,0.6638123830209416,0.4879645959346407,CompressionPressure,0.6638123830209416
51,2026-04-06 10:50:00,Stable Compression Basin,Degrading->Unresolved->Unresolved->Unresolved,0.7219280948844771,0.4444444444444444,0.8,18.61,0.0,0.5274761237433494,0.5920782292440206,0.149797619047619,0.7604350496252757,0.35117415170836025,CompressionPressure,0.7604350496252757
52,2026-04-06 10:55:00,Pure Unresolved Compression Equilibrium,Unresolved->Unresolved->Unresolved->Unresolved,1.1567796494427114,0.5555555555555556,0.7,18.61,0.0,0.5689555429430881,0.4136211183510735,0.17063095238095238,0.6638123830209416,0.4879645959346407,CompressionPressure,0.6638123830209416
53,2026-04-06 11:00:00,Pure Unresolved Compression Equilibrium,Unresolved->Unresolved->Unresolved->Unresolved,1.3709505944503406,0.5555555555555556,0.6,18.61,0.0,0.6045197450381006,0.32510455746398803,0.17063095238095238,0.6087600322912982,0.5348144901550597,CompressionPressure,0.6087600322912982
54,2026-04-06 11:05:00,Pure Unresolved Compression Equilibrium,Unresolved->Unresolved->Unresolved->Unresolved,1.4854752972230063,0.4444444444444444,0.5,18.61,0.0,0.6400839471331131,0.3000522787324674,0.149797619047619,0.5877133494791177,0.5182001022199135,CompressionPressure,0.5877133494791177
55,2026-04-06 11:10:00,Pure Unresolved Compression Equilibrium,Unresolved->Unresolved->Unresolved->Unresolved,1.360964047439353,0.3333333333333333,0.5,12.245999999999999,0.0,0.6812671535393374,0.36895578128930817,0.10623571428571427,0.6232730803683738,0.44020517109164414,CompressionPressure,0.6232730803683738
56,2026-04-06 11:15:00,Pure Unresolved Compression Equilibrium,Unresolved->Unresolved->Unresolved->Unresolved,1.360964047439353,0.3333333333333333,0.5,9.305,0.0,0.7168313556343499,0.36895578128930817,0.09573214285714285,0.6232730803683738,0.4360037425202156,CompressionPressure,0.6232730803683738
57,2026-04-06 11:20:00,Pure Unresolved Compression Equilibrium,Unresolved->Unresolved->Unresolved->Unresolved,1.2954618442339936,0.2222222222222222,0.6,9.305,0.0,0.7523955577293624,0.46661772157381387,0.0748988095238095,0.6968114125131533,0.38000846890237655,CompressionPressure,0.6968114125131533
58,2026-04-06 11:25:00,Pure Unresolved Compression Equilibrium,Unresolved->Unresolved->Unresolved->Unresolved,0.8812908992278072,0.1111111111111111,0.7,2.941,0.0,0.7935787641355866,0.6405509491272504,0.03133690476190476,0.7921415410204843,0.23865047944417803,CompressionPressure,0.7921415410204843
59,2026-04-06 11:30:00,Pure Unresolved Compression Equilibrium,Unresolved->Unresolved->Unresolved->Unresolved,0.7219280948844771,0.1111111111111111,0.8,0.0,0.0,0.829142966230599,0.7170782292440206,0.02083333333333333,0.8437683829586091,0.199588437422646,CompressionPressure,0.8437683829586091
60,2026-04-06 11:35:00,Pure Unresolved Compression Equilibrium,Unresolved->Unresolved->Unresolved->Unresolved,0.4689955935863958,0.1111111111111111,0.9,0.0,0.0,0.8647071683256116,0.8140738805696426,0.02083333333333333,0.9012433309564057,0.14425945276369073,CompressionPressure,0.9012433309564057
61,2026-04-06 11:40:00,Pure Unresolved Compression Equilibrium,Unresolved->Unresolved->Unresolved->Unresolved,-1.4428232973175175e-12,0.0,1.0,0.0,0.0,0.9002713704206242,0.9999999999999999,0.0,0.9999999999999999,0.0,DirectionalReleasePressure,0.9999999999999999
62,2026-04-06 11:45:00,Pure Unresolved Compression Equilibrium,Unresolved->Unresolved->Unresolved->Unresolved,-1.4428232973175175e-12,0.0,1.0,0.0,0.0,0.9002713704206242,0.9999999999999999,0.0,0.9999999999999999,0.0,DirectionalReleasePressure,0.9999999999999999
63,2026-04-06 11:50:00,Pure Unresolved Compression Equilibrium,Unresolved->Unresolved->Unresolved->Unresolved,-1.4428232973175175e-12,0.0,1.0,0.0,0.0,0.9002713704206242,0.9999999999999999,0.0,0.9999999999999999,0.0,DirectionalReleasePressure,0.9999999999999999
64,2026-04-06 11:55:00,Pure Unresolved Compression Equilibrium,Unresolved->Unresolved->Unresolved->Unresolved,-1.4428232973175175e-12,0.0,1.0,0.0,0.0,0.9002713704206242,0.9999999999999999,0.0,0.9999999999999999,0.0,DirectionalReleasePressure,0.9999999999999999
65,2026-04-06 12:00:00,Pure Unresolved Compression Equilibrium,Unresolved->Unresolved->Unresolved->Unresolved,-1.4428232973175175e-12,0.0,1.0,0.0,0.0,0.9002713704206242,0.9999999999999999,0.0,0.9999999999999999,0.0,DirectionalReleasePressure,0.9999999999999999
66,2026-04-06 12:05:00,Pure Unresolved Compression Equilibrium,Unresolved->Unresolved->Unresolved->Unresolved,-1.4428232973175175e-12,0.0,1.0,0.0,0.0,0.9002713704206242,0.9999999999999999,0.0,0.9999999999999999,0.0,DirectionalReleasePressure,0.9999999999999999
67,2026-04-06 12:10:00,Pure Unresolved Compression Equilibrium,Unresolved->Unresolved->Unresolved->Unresolved,-1.4428232973175175e-12,0.0,1.0,0.0,0.0,0.9002713704206242,0.9999999999999999,0.0,0.9999999999999999,0.0,DirectionalReleasePressure,0.9999999999999999
68,2026-04-06 12:15:00,Pure Unresolved Compression Equilibrium,Unresolved->Unresolved->Unresolved->Unresolved,-1.4428232973175175e-12,0.0,1.0,0.0,0.0,0.9002713704206242,0.9999999999999999,0.0,0.9999999999999999,0.0,DirectionalReleasePressure,0.9999999999999999
69,2026-04-06 12:20:00,Pure Unresolved Compression Equilibrium,Unresolved->Unresolved->Unresolved->Unresolved,-1.4428232973175175e-12,0.0,1.0,0.0,0.0,0.9002713704206242,0.9999999999999999,0.0,0.9999999999999999,0.0,DirectionalReleasePressure,0.9999999999999999
70,2026-04-06 12:25:00,Pure Unresolved Compression Equilibrium,Unresolved->Unresolved->Unresolved->Unresolved,-1.4428232973175175e-12,0.0,1.0,0.0,0.0,0.9002713704206242,0.9999999999999999,0.0,0.9999999999999999,0.0,DirectionalReleasePressure,0.9999999999999999
71,2026-04-06 12:30:00,Pure Unresolved Compression Equilibrium,Unresolved->Unresolved->Unresolved->Unresolved,-1.4428232973175175e-12,0.0,1.0,0.0,0.0,0.9002713704206242,0.9999999999999999,0.0,0.9999999999999999,0.0,DirectionalReleasePressure,0.9999999999999999
72,2026-04-06 12:35:00,Pure Unresolved Compression Equilibrium,Unresolved->Unresolved->Unresolved->Unresolved,-1.4428232973175175e-12,0.0,1.0,0.0,0.0,0.9002713704206242,0.9999999999999999,0.0,0.9999999999999999,0.0,DirectionalReleasePressure,0.9999999999999999
73,2026-04-06 12:40:00,Pure Unresolved Compression Equilibrium,Unresolved->Unresolved->Unresolved->Unresolved,-1.4428232973175175e-12,0.0,1.0,0.0,0.0,0.9002713704206242,0.9999999999999999,0.0,0.9999999999999999,0.0,DirectionalReleasePressure,0.9999999999999999
74,2026-04-06 12:45:00,Pure Unresolved Compression Equilibrium,Unresolved->Unresolved->Unresolved->Unresolved,-1.4428232973175175e-12,0.0,1.0,0.0,0.0,0.9002713704206242,0.9999999999999999,0.0,0.9999999999999999,0.0,DirectionalReleasePressure,0.9999999999999999
75,2026-04-06 12:50:00,Pure Unresolved Compression Equilibrium,Unresolved->Unresolved->Unresolved->Unresolved,-1.4428232973175175e-12,0.0,1.0,0.0,0.0,0.9002713704206242,0.9999999999999999,0.0,0.9999999999999999,0.0,DirectionalReleasePressure,0.9999999999999999
76,2026-04-06 12:55:00,Pure Unresolved Compression Equilibrium,Unresolved->Unresolved->Unresolved->Unresolved,-1.4428232973175175e-12,0.0,1.0,0.0,0.0,0.9002713704206242,0.9999999999999999,0.0,0.9999999999999999,0.0,DirectionalReleasePressure,0.9999999999999999
77,2026-04-06 13:00:00,Pure Unresolved Compression Equilibrium,Unresolved->Unresolved->Unresolved->Unresolved,-1.4428232973175175e-12,0.0,1.0,0.0,0.0,0.9002713704206242,0.9999999999999999,0.0,0.9999999999999999,0.0,DirectionalReleasePressure,0.9999999999999999
78,2026-04-06 13:05:00,Sponsor Exhaustion Collapse,Unresolved->Unresolved->Unresolved->Degrading,0.4689955935863958,0.1111111111111111,0.9,6.364,0.0,0.8590881640143999,0.7140738805696426,0.04356190476190476,0.4512433309564058,0.15335088133511932,DirectionalReleasePressure,0.7140738805696426
79,2026-04-06 13:10:00,Sponsor Exhaustion Collapse,Unresolved->Unresolved->Degrading->Degrading,0.7219280948844771,0.1111111111111111,0.8,6.364,0.0,0.8179049576081756,0.6170782292440207,0.04356190476190476,0.3937683829586091,0.2086798659940746,DirectionalReleasePressure,0.6170782292440207
80,2026-04-06 13:15:00,Stable Compression Basin,Unresolved->Degrading->Degrading->Unresolved,1.1567796494427114,0.2222222222222222,0.7,9.305,0.0,0.7823407555131631,0.5386211183510735,0.0748988095238095,0.747145716354275,0.3496717387917836,CompressionPressure,0.747145716354275
81,2026-04-06 13:20:00,Unstable Rotational Balance,Degrading->Degrading->Unresolved->Balance,1.5709505944488977,0.3333333333333333,0.6,15.620999999999999,0.0,0.7439009200584022,0.264687890797637,0.11828928571428571,0.20181558784694392,0.7409611568214106,RotationalPressure,0.7409611568214106
82,2026-04-06 13:25:00,Unstable Rotational Balance,Degrading->Unresolved->Balance->Balance,1.7609640474379105,0.3333333333333333,0.5,15.620999999999999,0.0,0.7024215008586635,0.21666666666666667,0.11828928571428571,0.15833333333333333,0.7473157142857143,RotationalPressure,0.7473157142857143
