BarIndex,Time,ResolvedArchetype,Quadruplet,RollingEntropy,RollingVelocity,RollingDominantFraction,RollingDirectionalPresence,CurrentDirectionalEmergence,RollingMeanFailure,RollingMeanContinuation,RollingMeanMigrationProbability,DirectionalReleasePressure,ExhaustionPressure,CompressionPressure,RotationalPressure,DominantPressure,DominantPressureValue
4,2026-04-06 06:55:00,Stable Compression Basin,Unknown->Unknown->Unknown->Unknown,-1.4428232973175175e-12,0.0,1.0,0.0,0.0,0.0,0.0,0.4854771784232365,0.27999999999999997,0.0,0.9999999999999999,0.0,CompressionPressure,0.9999999999999999
5,2026-04-06 07:00:00,Stable Compression Basin,Unknown->Unknown->Unknown->Unknown,-1.4428232973175175e-12,0.0,1.0,0.0,0.0,0.0,0.0,0.4854771784232365,0.27999999999999997,0.0,0.9999999999999999,0.0,CompressionPressure,0.9999999999999999
6,2026-04-06 07:05:00,Stable Compression Basin,Unknown->Unknown->Unknown->Unknown,-1.4428232973175175e-12,0.0,1.0,0.0,0.0,0.0,0.0,0.4854771784232365,0.27999999999999997,0.0,0.9999999999999999,0.0,CompressionPressure,0.9999999999999999
7,2026-04-06 07:10:00,Stable Compression Basin,Unknown->Unknown->Unknown->Unknown,-1.4428232973175175e-12,0.0,1.0,0.0,0.0,0.0,0.0,0.4854771784232365,0.27999999999999997,0.0,0.9999999999999999,0.0,CompressionPressure,0.9999999999999999
8,2026-04-06 07:15:00,Stable Compression Basin,Unknown->Unknown->Unknown->Unresolved,-1.4428232973175175e-12,0.0,1.0,0.0,0.0,0.0,0.0,0.4973076126326891,0.27999999999999997,0.0,0.9999999999999999,0.0,CompressionPressure,0.9999999999999999
9,2026-04-06 07:20:00,Stable Compression Basin,Unknown->Unknown->Unresolved->Unresolved,-1.4428232973175175e-12,0.0,1.0,0.0,0.0,0.0,0.0,0.5051945687723242,0.27999999999999997,0.0,0.9999999999999999,0.0,CompressionPressure,0.9999999999999999
10,2026-04-06 07:25:00,Stable Compression Basin,Unknown->Unresolved->Unresolved->Unresolved,-1.4428232973175175e-12,0.0,1.0,0.0,0.0,0.0,0.0,0.5108281088720634,0.27999999999999997,0.0,0.9999999999999999,0.0,CompressionPressure,0.9999999999999999
11,2026-04-06 07:30:00,Directional Continuation / Sponsor Release,Unresolved->Unresolved->Unresolved->Directional,0.543564443196711,0.14285714285714285,0.875,0.125,1.0,3.125,9.375,0.5124157717336437,0.6197857542411956,0.2727678571428572,0.4282296032525866,0.1769404362349948,DirectionalReleasePressure,0.6197857542411956
12,2026-04-06 07:35:00,Stable Compression Basin,Unresolved->Unresolved->Directional->Unresolved,0.5032583347727604,0.25,0.8888888888888888,0.2222222222222222,1.0,2.7777777777777777,8.333333333333334,0.5094225946991541,0.49535571734069284,0.0800595238095238,0.8597500577804061,0.20780601469979526,CompressionPressure,0.8597500577804061
13,2026-04-06 07:40:00,Stable Compression Basin,Unresolved->Directional->Unresolved->Unresolved,0.4689955935863958,0.2222222222222222,0.9,0.3,1.0,2.5,7.5,0.5070280530715623,0.5237035489001585,0.0717063492063492,0.8734655531786281,0.18949754800178595,CompressionPressure,0.8734655531786281
14,2026-04-06 07:45:00,Directional Continuation / Sponsor Release,Directional->Unresolved->Unresolved->Directional,0.7219280948844771,0.3333333333333333,0.8,0.4,1.0,5.0,15.0,0.5108332764057092,0.5512448959106874,0.32952380952380955,0.3382128274030536,0.29006462789883647,DirectionalReleasePressure,0.5512448959106874
15,2026-04-06 07:50:00,Sponsor Exhaustion Collapse,Unresolved->Unresolved->Directional->Degrading,1.1567796494427114,0.4444444444444444,0.7,0.5,1.0,12.0,15.0,0.5111294891992237,0.3264524502364144,0.26841269841269844,0.24159016079871942,0.4368550721251169,RotationalPressure,0.4368550721251169
16,2026-04-06 07:55:00,Sponsor Exhaustion Collapse,Unresolved->Directional->Degrading->Degrading,1.3709505944503406,0.4444444444444444,0.6,0.6,1.0,12.0,15.0,0.5114257019927383,0.2783058681934127,0.26841269841269844,0.18653781006907594,0.4837049663455357,RotationalPressure,0.4837049663455357
17,2026-04-06 08:00:00,Sponsor Exhaustion Collapse,Directional->Degrading->Degrading->Degrading,1.4854752972230063,0.4444444444444444,0.5,0.7,0.0,12.0,15.0,0.5117219147862528,0.10832385311191912,0.26841269841269844,0.13771334947911767,0.5087572450770564,RotationalPressure,0.5087572450770564
18,2026-04-06 08:05:00,Unstable Rotational Balance,Degrading->Degrading->Degrading->Balance,1.8464393446652445,0.5555555555555556,0.4,0.7,0.0,22.0,15.0,0.5088462814265043,0.0757361111111111,0.21801587301587302,0.061111111111111116,0.8397619047619048,RotationalPressure,0.8397619047619048
19,2026-04-06 08:10:00,Sponsor Exhaustion Collapse,Degrading->Degrading->Balance->Degrading,1.8464393446652445,0.6666666666666666,0.4,0.7,0.0,27.0,15.0,0.5032272771152926,0.06358333333333333,0.3497619047619047,0.033333333333333354,0.6385714285714286,RotationalPressure,0.6385714285714286
20,2026-04-06 08:15:00,Stable Compression Basin,Degrading->Balance->Degrading->Unresolved,1.8464393446652445,0.6666666666666666,0.4,0.7,0.0,29.941000000000003,15.0,0.5032272771152926,0.06358333333333333,0.2602654761904762,0.4833333333333334,0.6427728571428571,RotationalPressure,0.6427728571428571
21,2026-04-06 08:20:00,Stable Compression Basin,Balance->Degrading->Unresolved->Unresolved,1.7219280948815914,0.5555555555555556,0.4,0.6,0.0,27.441000000000003,7.5,0.5053372708858719,0.06873611111111111,0.2024480158730159,0.5111111111111111,0.597534761904762,RotationalPressure,0.597534761904762
22,2026-04-06 08:25:00,Unstable Rotational Balance,Degrading->Unresolved->Unresolved->Balance,1.8464393446652445,0.6666666666666666,0.4,0.5,0.0,33.75699999999999,7.5,0.5083768546308498,0.04958333333333334,0.2388940476190476,0.033333333333333354,0.8982242857142857,RotationalPressure,0.8982242857142857
23,2026-04-06 08:30:00,Unstable Rotational Balance,Unresolved->Unresolved->Balance->Balance,1.8464393446652445,0.5555555555555556,0.4,0.4,0.0,33.75699999999999,7.5,0.5114164383758278,0.05473611111111112,0.2250051587301587,0.061111111111111116,0.8565576190476191,RotationalPressure,0.8565576190476191
24,2026-04-06 08:35:00,Stable Compression Basin,Unresolved->Balance->Balance->Unresolved,1.5709505944503404,0.5555555555555556,0.4,0.3,0.0,33.362,0.0,0.513526432146407,0.04996020622350693,0.18859444444444445,0.5129266989579648,0.5996387758693453,RotationalPressure,0.5996387758693453
25,2026-04-06 08:40:00,Unstable Rotational Balance,Balance->Balance->Unresolved->Balance,1.5709505944503404,0.6666666666666666,0.4,0.2,0.0,26.362000000000002,0.0,0.5132302193528926,0.03080742844572917,0.17748333333333333,0.03514892118018709,0.881305442536012,RotationalPressure,0.881305442536012
26,2026-04-06 08:45:00,Unstable Rotational Balance,Balance->Unresolved->Balance->Balance,1.4854752972230063,0.6666666666666666,0.5,0.1,0.0,26.362000000000002,0.0,0.5159735903043561,0.0420182975563636,0.17748333333333333,0.08215779392356212,0.8626077212675326,RotationalPressure,0.8626077212675326
27,2026-04-06 08:50:00,Stable Compression Basin,Unresolved->Balance->Balance->Unresolved,1.360964047439353,0.6666666666666666,0.5,0.0,0.0,28.467000000000002,0.0,0.5215925946155678,0.04455119011792455,0.18500119047619049,0.5399397470350404,0.5883780282345014,RotationalPressure,0.5883780282345014
