BarIndex,Time,Transition,FromArchetype,ToArchetype,Quadruplet,PreEntropy_5,PreVelocity_5,PreDominantFraction_5,PreMeanFailure_5,PreMeanContinuation_5,PreMeanMigrationProb_5,PreUniqueArchetypes_5,PreEntropy_10,PreVelocity_10,PreDominantFraction_10,PreMeanFailure_10,PreMeanContinuation_10,PreMeanMigrationProb_10,PreUniqueArchetypes_10,PreEntropy_20,PreVelocity_20,PreDominantFraction_20,PreMeanFailure_20,PreMeanContinuation_20,PreMeanMigrationProb_20,PreUniqueArchetypes_20
11,2026-04-06 07:30:00,Stable Compression Basin->Directional Continuation / Sponsor Release,Stable Compression Basin,Directional Continuation / Sponsor Release,Unresolved->Unresolved->Unresolved->Directional,-1.4428232973175175e-12,0.0,1.0,0.0,0.0,0.5209684810515942,1,-1.4428232973175175e-12,0.0,1.0,0.0,0.0,0.5108281088720634,1,-1.4428232973175175e-12,0.0,1.0,0.0,0.0,0.5108281088720634,1
12,2026-04-06 07:35:00,Directional Continuation / Sponsor Release->Stable Compression Basin,Directional Continuation / Sponsor Release,Stable Compression Basin,Unresolved->Unresolved->Directional->Unresolved,0.7219280948844771,0.25,0.8,5.0,15.0,0.528578927719888,2,0.543564443196711,0.14285714285714285,0.875,3.125,9.375,0.5124157717336437,2,0.543564443196711,0.14285714285714285,0.875,3.125,9.375,0.5124157717336437,2
14,2026-04-06 07:45:00,Stable Compression Basin->Directional Continuation / Sponsor Release,Stable Compression Basin,Directional Continuation / Sponsor Release,Directional->Unresolved->Unresolved->Directional,0.7219280948844771,0.5,0.8,5.0,15.0,0.5167484935104355,2,0.4689955935863958,0.2222222222222222,0.9,2.5,7.5,0.5070280530715623,2,0.4689955935863958,0.2222222222222222,0.9,2.5,7.5,0.5070280530715623,2
15,2026-04-06 07:50:00,Directional Continuation / Sponsor Release->Sponsor Exhaustion Collapse,Directional Continuation / Sponsor Release,Sponsor Exhaustion Collapse,Unresolved->Unresolved->Directional->Degrading,0.9709505944517833,0.75,0.6,10.0,30.0,0.5125285059692768,2,0.7219280948844771,0.3333333333333333,0.8,5.0,15.0,0.5108332764057092,2,0.6840384356361563,0.3,0.8181818181818182,4.545454545454546,13.636363636363637,0.5085281765891208,2
18,2026-04-06 08:05:00,Sponsor Exhaustion Collapse->Unstable Rotational Balance,Sponsor Exhaustion Collapse,Unstable Rotational Balance,Degrading->Degrading->Degrading->Balance,1.3709505944503406,0.5,0.6,19.0,15.0,0.49486490185261733,3,1.4854752972230063,0.4444444444444444,0.5,12.0,15.0,0.5117219147862528,3,1.2870540281143987,0.3076923076923077,0.6428571428571429,8.571428571428571,10.714285714285714,0.5042234186825338,3
19,2026-04-06 08:10:00,Unstable Rotational Balance->Sponsor Exhaustion Collapse,Unstable Rotational Balance,Sponsor Exhaustion Collapse,Degrading->Degrading->Balance->Degrading,1.3709505944503406,0.5,0.6,39.0,15.0,0.5009440693425733,3,1.8464393446652445,0.5555555555555556,0.4,22.0,15.0,0.5088462814265043,4,1.5546097612597958,0.35714285714285715,0.6,14.666666666666666,10.0,0.5050000584952327,4
20,2026-04-06 08:15:00,Sponsor Exhaustion Collapse->Stable Compression Basin,Sponsor Exhaustion Collapse,Stable Compression Basin,Degrading->Balance->Degrading->Unresolved,0.7219280948844771,0.5,0.8,44.0,0.0,0.49392604826130837,2,1.8464393446652445,0.6666666666666666,0.4,27.0,15.0,0.5032272771152926,4,1.5919171866829287,0.4,0.5625,16.875,9.375,0.5039650114866794,4
22,2026-04-06 08:25:00,Stable Compression Basin->Unstable Rotational Balance,Stable Compression Basin,Unstable Rotational Balance,Degrading->Unresolved->Unresolved->Balance,1.5219280948830343,0.75,0.4,35.882,0.0,0.5164020655061555,3,1.7219280948815914,0.5555555555555556,0.4,27.441000000000003,7.5,0.5053372708858719,4,1.500272345602638,0.4117647058823529,0.6111111111111112,16.63388888888889,8.333333333333334,0.5084832712626594,4
24,2026-04-06 08:35:00,Unstable Rotational Balance->Stable Compression Basin,Unstable Rotational Balance,Stable Compression Basin,Unresolved->Balance->Balance->Unresolved,1.5219280948830343,0.5,0.4,28.514,0.0,0.5218888074090823,3,1.8464393446652445,0.5555555555555556,0.4,33.75699999999999,7.5,0.5114164383758278,4,1.6814963295229046,0.42105263157894735,0.55,18.128500000000003,7.5,0.509222245723695,4
25,2026-04-06 08:40:00,Stable Compression Basin->Unstable Rotational Balance,Stable Compression Basin,Unstable Rotational Balance,Balance->Balance->Unresolved->Balance,0.9709505944517833,0.5,0.6,22.723999999999997,0.0,0.5331268160315059,2,1.5709505944503404,0.5555555555555556,0.4,33.362,0.0,0.513526432146407,3,1.6814963295229046,0.47368421052631576,0.55,19.180999999999997,7.5,0.5121798542760582,4
27,2026-04-06 08:50:00,Unstable Rotational Balance->Stable Compression Basin,Unstable Rotational Balance,Stable Compression Basin,Unresolved->Balance->Balance->Unresolved,0.7219280948844771,0.5,0.8,16.842,0.0,0.5155451151025566,2,1.4854752972230063,0.6666666666666666,0.5,26.362000000000002,0.0,0.5159735903043561,3,1.8149798205107104,0.5263157894736842,0.45,19.181,7.5,0.5136996461485471,4
29,2026-04-06 09:00:00,Stable Compression Basin->Directional Continuation / Sponsor Release,Stable Compression Basin,Directional Continuation / Sponsor Release,Balance->Unresolved->Unresolved->Directional,0.9709505944517833,0.5,0.6,8.42,0.0,0.5270476485415501,2,1.360964047439353,0.5555555555555556,0.5,18.467000000000002,0.0,0.5244682279753162,3,1.8149798205107104,0.5789473684210527,0.45,20.2335,7.5,0.5166572547009103,4
30,2026-04-06 09:05:00,Directional Continuation / Sponsor Release->Unstable Rotational Balance,Directional Continuation / Sponsor Release,Unstable Rotational Balance,Unresolved->Unresolved->Directional->Balance,1.5219280948830343,0.5,0.4,4.21,0.0,0.5152172143320974,3,1.360964047439353,0.5555555555555556,0.5,13.466999999999999,0.0,0.5241720151818017,3,1.9037016960515776,0.631578947368421,0.4,20.2335,7.5,0.5136996461485471,4
31,2026-04-06 09:10:00,Unstable Rotational Balance->Stable Compression Basin,Unstable Rotational Balance,Stable Compression Basin,Unresolved->Directional->Balance->Unresolved,1.5219280948830343,0.75,0.4,4.21,0.0,0.5152172143320974,3,1.360964047439353,0.6666666666666666,0.5,10.526,0.0,0.5182567980770754,3,1.92612074683691,0.631578947368421,0.35,20.2335,7.5,0.5107420375961841,4
32,2026-04-06 09:15:00,Stable Compression Basin->Unstable Rotational Balance,Stable Compression Basin,Unstable Rotational Balance,Directional->Balance->Unresolved->Balance,1.3709505944503406,0.75,0.6,4.21,0.0,0.5091380468421416,3,1.360964047439353,0.6666666666666666,0.5,10.526,0.0,0.5123415809723492,3,1.8464393446652445,0.631578947368421,0.4,18.9835,3.75,0.5088394259291105,4
33,2026-04-06 09:20:00,Unstable Rotational Balance->Stable Compression Basin,Unstable Rotational Balance,Stable Compression Basin,Balance->Unresolved->Balance->Unresolved,1.5219280948830343,1.0,0.4,0.0,0.0,0.4973076126326891,3,1.360964047439353,0.7777777777777778,0.5,4.21,0.0,0.5093019972273712,3,1.8567796494412687,0.6842105263157895,0.35,18.9835,3.75,0.5088394259291105,4
34,2026-04-06 09:25:00,Stable Compression Basin->Unstable Rotational Balance,Stable Compression Basin,Unstable Rotational Balance,Unresolved->Balance->Unresolved->Balance,1.5219280948830343,1.0,0.4,4.21,0.0,0.4973076126326891,3,1.360964047439353,0.7777777777777778,0.5,6.315,0.0,0.5121776305871195,3,1.8567796494412687,0.6842105263157895,0.35,20.036,3.75,0.5117970344814736,4
36,2026-04-06 09:35:00,Unstable Rotational Balance->Stable Compression Basin,Unstable Rotational Balance,Stable Compression Basin,Unresolved->Balance->Balance->Unresolved,0.9709505944517833,0.75,0.6,16.842,0.0,0.5094659476126008,2,1.360964047439353,0.7777777777777778,0.5,10.526,0.0,0.5123415809723492,3,1.6751432464042162,0.6842105263157895,0.45,18.444,0.0,0.5127859001626209,4
39,2026-04-06 09:50:00,Stable Compression Basin->Pure Unresolved Compression Equilibrium,Stable Compression Basin,Pure Unresolved Compression Equilibrium,Unresolved->Unresolved->Unresolved->Unresolved,0.9709505944517833,0.25,0.6,16.842,0.0,0.5331268160315059,2,1.360964047439353,0.6666666666666666,0.5,10.526,0.0,0.5152172143320974,3,1.4609640474379104,0.631578947368421,0.5,14.496500000000001,0.0,0.5198427211537069,4
40,2026-04-06 09:55:00,Pure Unresolved Compression Equilibrium->Sponsor Exhaustion Collapse,Pure Unresolved Compression Equilibrium,Sponsor Exhaustion Collapse,Unresolved->Unresolved->Unresolved->Degrading,1.3709505944503406,0.5,0.6,4.21,0.0,0.6100064869410275,3,1.360964047439353,0.6666666666666666,0.5,10.526,0.0,0.5566966335318362,3,1.4609640474379104,0.631578947368421,0.5,11.996500000000001,0.0,0.5404343243568189,4
41,2026-04-06 10:00:00,Sponsor Exhaustion Collapse->Unstable Rotational Balance,Sponsor Exhaustion Collapse,Unstable Rotational Balance,Unresolved->Unresolved->Degrading->Balance,1.3709505944503406,0.5,0.6,16.938,0.0,0.6045197450381006,3,1.6854752972215634,0.6666666666666666,0.5,16.889999999999997,0.0,0.5569928463253507,4,1.6954618442311082,0.6842105263157895,0.45,13.707999999999998,0.0,0.5376248222012131,5
42,2026-04-06 10:05:00,Unstable Rotational Balance->Stable Compression Basin,Unstable Rotational Balance,Stable Compression Basin,Unresolved->Degrading->Balance->Unresolved,1.9219280948815916,0.75,0.4,12.728,0.0,0.5926893108286481,4,1.7219280948815914,0.6666666666666666,0.4,16.889999999999997,0.0,0.5569928463253507,4,1.6954618442311082,0.6842105263157895,0.45,13.707999999999998,0.0,0.53466721364885,5
45,2026-04-06 10:20:00,Stable Compression Basin->Sponsor Exhaustion Collapse,Stable Compression Basin,Sponsor Exhaustion Collapse,Unresolved->Unresolved->Unresolved->Degrading,1.3709505944503406,0.5,0.6,12.728,0.0,0.5097304724291706,3,1.5709505944488977,0.5555555555555556,0.6,8.469,0.0,0.5598684796850991,4,1.6783898247163065,0.631578947368421,0.5,9.497499999999999,0.0,0.5345852384562352,5
46,2026-04-06 10:25:00,Sponsor Exhaustion Collapse->Stable Compression Basin,Sponsor Exhaustion Collapse,Stable Compression Basin,Unresolved->Unresolved->Degrading->Unresolved,1.3709505944503406,0.5,0.6,12.728,0.0,0.5097304724291706,3,1.5709505944488977,0.5555555555555556,0.6,14.832999999999998,0.0,0.5571251087336357,4,1.7854752972201209,0.6842105263157895,0.5,12.679499999999999,0.0,0.5347333448529924,5
48,2026-04-06 10:35:00,Stable Compression Basin->Sponsor Exhaustion Collapse,Stable Compression Basin,Sponsor Exhaustion Collapse,Degrading->Unresolved->Unresolved->Degrading,0.7219280948844771,0.5,0.8,18.61,0.0,0.5333913408480757,2,1.5709505944488977,0.6666666666666666,0.6,15.669,0.0,0.5571251087336356,4,1.7387586809077948,0.6842105263157895,0.55,13.097500000000002,0.0,0.5361711615328666,5
49,2026-04-06 10:40:00,Sponsor Exhaustion Collapse->Stable Compression Basin,Sponsor Exhaustion Collapse,Stable Compression Basin,Unresolved->Unresolved->Degrading->Unresolved,0.9709505944517833,0.75,0.6,31.338,0.0,0.5221533322256521,2,1.6854752972215634,0.6666666666666666,0.5,22.032999999999998,0.0,0.5515061044224239,4,1.8427376486064537,0.6842105263157895,0.5,16.2795,0.0,0.5333616593772608,5
52,2026-04-06 10:55:00,Stable Compression Basin->Pure Unresolved Compression Equilibrium,Stable Compression Basin,Pure Unresolved Compression Equilibrium,Unresolved->Unresolved->Unresolved->Unresolved,0.7219280948844771,0.5,0.8,18.61,0.0,0.5333913408480757,2,0.7219280948844771,0.4444444444444444,0.8,18.61,0.0,0.5274761237433494,2,1.5332062193407245,0.5789473684210527,0.6,17.75,0.0,0.5422344850343501,4
78,2026-04-06 13:05:00,Pure Unresolved Compression Equilibrium->Sponsor Exhaustion Collapse,Pure Unresolved Compression Equilibrium,Sponsor Exhaustion Collapse,Unresolved->Unresolved->Unresolved->Degrading,-1.4428232973175175e-12,0.0,1.0,0.0,0.0,0.9002713704206242,1,-1.4428232973175175e-12,0.0,1.0,0.0,0.0,0.9002713704206242,1,-1.4428232973175175e-12,0.0,1.0,0.0,0.0,0.9002713704206243,1
80,2026-04-06 13:15:00,Sponsor Exhaustion Collapse->Stable Compression Basin,Sponsor Exhaustion Collapse,Stable Compression Basin,Unresolved->Degrading->Degrading->Unresolved,0.9709505944517833,0.25,0.6,12.728,0.0,0.735538544795727,2,0.7219280948844771,0.1111111111111111,0.8,6.364,0.0,0.8179049576081756,2,0.4689955935863958,0.05263157894736842,0.9,3.182,0.0,0.8590881640143998,2
81,2026-04-06 13:20:00,Stable Compression Basin->Unstable Rotational Balance,Stable Compression Basin,Unstable Rotational Balance,Degrading->Degrading->Unresolved->Balance,1.5219280948830343,0.5,0.4,18.61,0.0,0.6644101406057021,3,1.1567796494427114,0.2222222222222222,0.7,9.305,0.0,0.7823407555131631,3,0.7475846798202459,0.10526315789473684,0.85,4.6525,0.0,0.8413060629668937,3
83,2026-04-06 13:30:00,Unstable Rotational Balance->Stable Compression Basin,Unstable Rotational Balance,Stable Compression Basin,Unresolved->Balance->Balance->Unresolved,1.5219280948830343,0.5,0.4,31.241999999999997,0.0,0.504571631296703,3,1.7609640474379105,0.3333333333333333,0.5,15.620999999999999,0.0,0.7024215008586635,4,1.1917601481752027,0.15789473684210525,0.75,7.810499999999999,0.0,0.8013464356396437,4
85,2026-04-06 13:40:00,Stable Compression Basin->Unstable Rotational Balance,Stable Compression Basin,Unstable Rotational Balance,Balance->Unresolved->Unresolved->Balance,0.9709505944517833,0.5,0.6,22.723999999999997,0.0,0.5270476485415501,2,1.9709505944488979,0.4444444444444444,0.3,17.726,0.0,0.6312930966686385,4,1.4788979029817082,0.21052631578947367,0.65,8.863,0.0,0.7657822335446313,4
86,2026-04-06 13:45:00,Unstable Rotational Balance->Stable Compression Basin,Unstable Rotational Balance,Stable Compression Basin,Unresolved->Unresolved->Balance->Unresolved,0.9709505944517833,0.5,0.6,29.474,0.0,0.5212963818220533,2,1.9709505944488979,0.5555555555555556,0.3,24.041999999999998,0.0,0.5928532612138777,4,1.595461844232551,0.2631578947368421,0.6,12.020999999999999,0.0,0.746562315817251,4
87,2026-04-06 13:50:00,Stable Compression Basin->Directional Continuation / Sponsor Release,Stable Compression Basin,Directional Continuation / Sponsor Release,Unresolved->Balance->Unresolved->Directional,0.9709505944517833,0.75,0.6,21.052,0.0,0.5270476485415501,2,1.8464393446652445,0.6666666666666666,0.4,26.147,0.0,0.5572890591188652,4,1.6814963295229046,0.3157894736842105,0.55,13.0735,0.0,0.7287802147697446,4
88,2026-04-06 13:55:00,Directional Continuation / Sponsor Release->Stable Compression Basin,Directional Continuation / Sponsor Release,Stable Compression Basin,Balance->Unresolved->Directional->Unresolved,1.3709505944503406,0.75,0.6,21.052,0.0,0.5270476485415501,3,1.8464393446652445,0.6666666666666666,0.4,26.147,0.0,0.5158096399191264,4,1.9232196723282944,0.3684210526315789,0.5,13.0735,0.0,0.7080405051698753,5
91,2026-04-07 06:40:00,Stable Compression Basin->Pure Unresolved Compression Equilibrium,Stable Compression Basin,Pure Unresolved Compression Equilibrium,Unresolved->Unresolved->Unresolved->Unresolved,0.7219280948844771,0.5,0.8,4.21,0.0,0.4973076126326891,2,1.2954618442339936,0.5555555555555556,0.6,16.842,0.0,0.5093019972273712,3,2.0190352743316526,0.42105263157894735,0.35,13.073500000000001,0.0,0.6458213763702672,5
96,2026-04-07 07:05:00,Pure Unresolved Compression Equilibrium->Directional Continuation / Sponsor Release,Pure Unresolved Compression Equilibrium,Directional Continuation / Sponsor Release,Unresolved->Unresolved->Unresolved->Directional,-1.4428232973175175e-12,0.0,1.0,0.0,0.0,0.9002713704206242,1,1.360964047439353,0.3333333333333333,0.5,2.105,0.0,0.6987894915266566,3,2.0190352743316526,0.47368421052631576,0.35,13.0735,0.0,0.6458213763702672,5
98,2026-04-07 07:15:00,Directional Continuation / Sponsor Release->Sponsor Exhaustion Collapse,Directional Continuation / Sponsor Release,Sponsor Exhaustion Collapse,Unresolved->Directional->Directional->Degrading,0.9709505944517833,0.25,0.6,5.0,15.0,0.7495745869582568,2,1.4854752972230063,0.2222222222222222,0.5,2.5,7.5,0.7004847210902241,3,2.1833830982218,0.47368421052631576,0.35,14.3235,3.75,0.6081471805046753,5
99,2026-04-07 07:20:00,Sponsor Exhaustion Collapse->Stable Compression Basin,Sponsor Exhaustion Collapse,Stable Compression Basin,Directional->Directional->Degrading->Unresolved,1.5219280948830343,0.5,0.4,19.0,15.0,0.6672081741458082,3,1.7609640474379105,0.3333333333333333,0.5,9.5,7.5,0.7007809338837386,4,2.1833830982218,0.5263157894736842,0.35,14.641499999999999,3.75,0.6081471805046753,5
100,2026-04-07 07:25:00,Stable Compression Basin->Directional Continuation / Sponsor Release,Stable Compression Basin,Directional Continuation / Sponsor Release,Directional->Degrading->Unresolved->Directional,1.9219280948815916,0.75,0.4,24.881999999999998,15.0,0.5960797699557834,4,1.7609640474379105,0.4444444444444444,0.5,12.440999999999999,7.5,0.7066961509884649,4,2.0659573209419615,0.5263157894736842,0.4,16.112000000000002,3.75,0.6109566826602812,5
