CurrentArchetype,NextArchetype,Count,Total,Probability,IsSelfLoop
Directional Continuation / Sponsor Release,Directional Continuation / Sponsor Release,89,170,0.5235294117647059,1
Directional Continuation / Sponsor Release,Sponsor Exhaustion Collapse,52,170,0.3058823529411765,0
Directional Continuation / Sponsor Release,Stable Compression Basin,4,170,0.023529411764705882,0
Directional Continuation / Sponsor Release,Unknown,25,170,0.14705882352941177,0
Pure Unresolved Compression Equilibrium,Directional Continuation / Sponsor Release,53,1474,0.03595658073270014,0
Pure Unresolved Compression Equilibrium,Pure Unresolved Compression Equilibrium,1327,1474,0.9002713704206241,1
Pure Unresolved Compression Equilibrium,Sponsor Exhaustion Collapse,48,1474,0.032564450474898234,0
Pure Unresolved Compression Equilibrium,Unstable Rotational Balance,46,1474,0.031207598371777476,0
Sponsor Exhaustion Collapse,Directional Continuation / Sponsor Release,10,346,0.028901734104046242,0
Sponsor Exhaustion Collapse,Sponsor Exhaustion Collapse,169,346,0.4884393063583815,1
Sponsor Exhaustion Collapse,Stable Compression Basin,111,346,0.3208092485549133,0
Sponsor Exhaustion Collapse,Unknown,40,346,0.11560693641618497,0
Sponsor Exhaustion Collapse,Unstable Rotational Balance,16,346,0.046242774566473986,0
Stable Compression Basin,Directional Continuation / Sponsor Release,7,661,0.01059001512859304,0
Stable Compression Basin,Pure Unresolved Compression Equilibrium,136,661,0.20574886535552195,0
Stable Compression Basin,Sponsor Exhaustion Collapse,44,661,0.06656580937972768,0
Stable Compression Basin,Stable Compression Basin,360,661,0.5446293494704992,1
Stable Compression Basin,Unknown,36,661,0.05446293494704992,0
Stable Compression Basin,Unstable Rotational Balance,78,661,0.11800302571860817,0
Unknown,Directional Continuation / Sponsor Release,11,241,0.04564315352697095,0
Unknown,Pure Unresolved Compression Equilibrium,11,241,0.04564315352697095,0
Unknown,Sponsor Exhaustion Collapse,22,241,0.0912863070539419,0
Unknown,Stable Compression Basin,56,241,0.23236514522821577,0
Unknown,Unknown,117,241,0.4854771784232365,1
Unknown,Unstable Rotational Balance,24,241,0.0995850622406639,0
Unstable Rotational Balance,Sponsor Exhaustion Collapse,11,252,0.04365079365079365,0
Unstable Rotational Balance,Stable Compression Basin,130,252,0.5158730158730159,0
Unstable Rotational Balance,Unknown,23,252,0.09126984126984126,0
Unstable Rotational Balance,Unstable Rotational Balance,88,252,0.3492063492063492,1
