Instrument,HorizonBars,ResolvedArchetype,DominantPressure,Count,FutureDirectionalProbability,MeanDirectionalReleasePressure,MeanExhaustionPressure,MeanCompressionPressure,MeanRotationalPressure,BaselineFutureDirectionalProbability,DirectionalLift,DirectionalEdge,ForecastQuality,ObservedSuccesses,ExpectedSuccesses,ZScore,PValue,WilsonCILow,WilsonCIHigh,SignificanceClass
NQ,5,Sponsor Exhaustion Collapse,CompressionPressure,144,0.0,0.2041412948240749,0.1178433641975308,0.4000586533711269,0.1911238027072285,0.062239397945693,0.0,-0.062239397945693,StrongNegativeLift,0,8.962473304179792,-3.091490712400135,0.0019915421239746767,0.0,0.025984567266588023,SignificantNegative
6E,10,Sponsor Exhaustion Collapse,CompressionPressure,139,0.0071942446043165,0.1982777187951547,0.1157873701039168,0.4012427127442461,0.1889158930849865,0.0482086841670794,0.1492312998915926,-0.0410144395627629,StrongNegativeLift,1,6.701007099224037,-2.2574111915365527,0.023982393053162188,0.0012710589909932825,0.039624590455666506,SignificantNegative
NQ,5,Sponsor Exhaustion Collapse,RotationalPressure,1223,0.0098119378577269,0.0883275093606374,0.1564004724266375,0.1418429300305204,0.4833205725483068,0.062239397945693,0.1576483414297854,-0.0524274600879661,StrongNegativeLift,12,76.11878368758254,-7.589153968988177,3.219646771412954e-14,0.005621602720948896,0.017072117478953028,SignificantNegative
6E,5,Stable Compression Basin,RotationalPressure,344,0.0116279069767441,0.0449663027855593,0.0802487080103358,0.51932583639012,0.5804781126862599,0.0484988452655888,0.2397563676633429,-0.0368709382888447,StrongNegativeLift,4,16.683602771362548,-3.1834134869835826,0.0014554960089510072,0.0045308288500372045,0.029512252828519932,SignificantNegative
ES,5,Sponsor Exhaustion Collapse,RotationalPressure,300,0.0166666666666666,0.0970404624061355,0.1558888888888888,0.1409341442703903,0.4843554950536338,0.0681528662420381,0.2445482866043605,-0.0514861995753715,StrongNegativeLift,5,20.445859872611432,-3.538645551274645,0.0004021854886155918,0.0071393720427721935,0.038415943621705605,SignificantNegative
6E,5,Sponsor Exhaustion Collapse,RotationalPressure,731,0.0123119015047879,0.0880987359130638,0.1552139654311336,0.1430851736766634,0.4811230165245875,0.0484988452655888,0.253859683408246,-0.0361869437608009,StrongNegativeLift,9,35.45265588914541,-4.55449505536289,5.251155988483802e-06,0.006490547122200123,0.023232321044218324,SignificantNegative
6E,10,Sponsor Exhaustion Collapse,RotationalPressure,731,0.0136798905608755,0.0880987359130638,0.1552139654311336,0.1430851736766634,0.4811230165245875,0.0482086841670794,0.2837640312576127,-0.0345287936062039,StrongNegativeLift,10,35.24054812613504,-4.358194271338266,1.3113995285918278e-05,0.007447249328146105,0.02499729382237776,SignificantNegative
NQ,10,Sponsor Exhaustion Collapse,RotationalPressure,1223,0.0196238757154538,0.0883275093606374,0.1564004724266375,0.1418429300305204,0.4833205725483068,0.0622710622710622,0.3151363570775818,-0.0426471865556084,StrongNegativeLift,24,76.15750915750907,-6.171941743807556,6.745635161564678e-10,0.01322207246527631,0.02903407535364342,SignificantNegative
ES,20,Directional Continuation / Sponsor Release,DirectionalReleasePressure,131,0.0229007633587786,0.5777225704857408,0.2196576245001817,0.3639332991195866,0.2280887127849888,0.0671999999999999,0.3407851690294436,-0.0442992366412213,StrongNegativeLift,3,8.803199999999986,-2.0251303631799638,0.042853979847681245,0.007818301484185438,0.06516807660684877,SignificantNegative
ES,5,Unstable Rotational Balance,RotationalPressure,322,0.0248447204968944,0.0779289854803223,0.0596100759144236,0.1393624018470506,0.7372876666892221,0.0681528662420381,0.3645440297207872,-0.0433081457451437,StrongNegativeLift,8,21.94522292993627,-3.083778143324753,0.002043899521784409,0.012641682389443479,0.04825170875521085,SignificantNegative
