Instrument,HorizonBars,ResolvedArchetype,DominantPressure,Count,MeanSignedReturn,MedianSignedReturn,MeanDirectionalMFE,MeanDirectionalMAE,DirectionalHitRate,StdSignedReturn,BaselineMeanSignedReturn,BaselineDirectionalHitRate,SignedReturnEdge,DirectionalHitLift,SignedReturnTStat,SignedReturnSignificance
6E,20,Unstable Rotational Balance,RotationalPressure,415,-0.5071231018795005,-0.25688073394495936,2.2182197610826755,-2.8919707751936414,0.42650602409638555,3.342075340956633,-0.18198148449675652,0.4665170866413531,-0.32514161738274394,0.91423451854031,-3.091158025249931,SignificantNegativeSignedReturn
6E,20,Sponsor Exhaustion Collapse,RotationalPressure,690,-0.47718484673465106,-0.16281271129102198,2.6489635771587383,-3.3381266732139196,0.4704184704184704,4.636905176046856,-0.18198148449675652,0.4665170866413531,-0.29520336223789456,1.0083627886069617,-2.7032298510501764,SignificantNegativeSignedReturn
6E,10,Sponsor Exhaustion Collapse,RotationalPressure,690,-0.4447476045411229,-0.11296934990563386,1.7326974159253927,-2.2458940661473785,0.46176046176046176,3.209559941753924,-0.09266427729912766,0.4751895244658856,-0.3520833272419952,0.9717395649230313,-3.639926984766709,SignificantNegativeSignedReturn
6E,10,Unstable Rotational Balance,RotationalPressure,415,-0.4278279599429005,-0.24561403508827423,1.523770072438765,-2.078996033548618,0.4072289156626506,2.416942650276815,-0.09266427729912766,0.4751895244658856,-0.33516368264377283,0.856982098080502,-3.6060095003162442,SignificantNegativeSignedReturn
6E,20,Stable Compression Basin,CompressionPressure,1238,-0.3931955269683888,-0.2901632302401927,2.622014165478183,-3.047029740137807,0.44086886564762673,4.1188644495075275,-0.18198148449675652,0.4665170866413531,-0.21121404247163225,0.9450219043885865,-3.3588560461792323,SignificantNegativeSignedReturn
NQ,10,Sponsor Exhaustion Collapse,CompressionPressure,144,-0.3861404069011121,-0.4174237278864431,1.6222021577879064,-1.9059009810536702,0.4236111111111111,2.104596238096487,-0.0334670194942625,0.5031030202730657,-0.3526733874068496,0.8419967562134504,-2.2016977883626296,SignificantNegativeSignedReturn
6E,5,Sponsor Exhaustion Collapse,RotationalPressure,690,-0.3653910778384428,-0.2043904518330798,1.1602671741927113,-1.5588993683100971,0.4098124098124098,2.3534472657625636,-0.0926879020375817,0.4570494060939921,-0.2727031758008611,0.8966479429756266,-4.078289136000573,SignificantNegativeSignedReturn
6E,5,Unstable Rotational Balance,RotationalPressure,415,-0.28755524489670403,-0.19718309859194394,1.1176695302298,-1.401990403878297,0.40240963855421685,1.778602314708089,-0.0926879020375817,0.4570494060939921,-0.19486734285912233,0.8804510698159871,-3.293566893544502,SignificantNegativeSignedReturn
6E,10,Stable Compression Basin,CompressionPressure,1238,-0.2490548561489496,-0.13930693069305713,1.8076194739076021,-2.062373106523399,0.4481094127111826,2.984857657677699,-0.09266427729912766,0.4751895244658856,-0.15639057884982194,0.9430119765684205,-2.9358354566977725,SignificantNegativeSignedReturn
6E,5,Stable Compression Basin,CompressionPressure,1238,-0.21365818330140987,-0.13025791933500214,1.2120831853259812,-1.3794226603837967,0.4416733708769107,2.053506501375587,-0.0926879020375817,0.4570494060939921,-0.12097028126382817,0.966358045734077,-3.6608654856966023,SignificantNegativeSignedReturn
