Instrument,HorizonBars,ResolvedArchetype,DominantPressure,Count,FutureDirectionalProbability,MeanDirectionalReleasePressure,MeanExhaustionPressure,MeanCompressionPressure,MeanRotationalPressure,BaselineFutureDirectionalProbability,DirectionalLift,DirectionalEdge,ForecastQuality,ObservedSuccesses,ExpectedSuccesses,ZScore,PValue,WilsonCILow,WilsonCIHigh,SignificanceClass
6E,5,Directional Continuation / Sponsor Release,DirectionalReleasePressure,158,0.1455696202531645,0.5530961984551518,0.2181126933895921,0.35911885378233,0.2287204393286518,0.0484988452655888,3.001506931886681,0.0970707749875756,StrongPositiveLift,23,7.66281755196303,5.679978363544933,1.3471178172963505e-08,0.09899957225581027,0.20896574692047074,SignificantPositive
ES,5,Directional Continuation / Sponsor Release,RotationalPressure,81,0.1975308641975308,0.2422630639520636,0.251954732510288,0.1314755138628471,0.4882410512742737,0.0681528662420381,2.898350063459098,0.1293779979554926,StrongPositiveLift,16,5.520382165605087,4.6204953377490146,3.828249471427014e-06,0.12540720482500983,0.29704593137232727,SignificantPositive
NQ,5,Directional Continuation / Sponsor Release,DirectionalReleasePressure,367,0.1580381471389645,0.5630372549423475,0.2165758401453224,0.3628537252345985,0.2223371206253175,0.062239397945693,2.539197877152678,0.0957987491932714,StrongPositiveLift,58,22.84185904606933,7.596511294878095,3.042011087472929e-14,0.12428503346012341,0.19887612213838546,SignificantPositive
ES,10,Directional Continuation / Sponsor Release,RotationalPressure,81,0.1604938271604938,0.2422630639520636,0.251954732510288,0.1314755138628471,0.4882410512742737,0.0673046251993619,2.3845883798490446,0.0931892019611318,StrongPositiveLift,13,5.451674641148314,3.347462614854441,0.0008155498712851816,0.09626063301383893,0.2554724790443966,SignificantPositive
6E,10,Directional Continuation / Sponsor Release,DirectionalReleasePressure,158,0.1139240506329113,0.5530961984551518,0.2181126933895921,0.35911885378233,0.2287204393286518,0.0482086841670794,2.363143748916246,0.0657153664658319,StrongPositiveLift,18,7.616972098398545,3.8562214826229826,0.0001151531620136037,0.07328763748268796,0.172888870905761,SignificantPositive
ES,5,Directional Continuation / Sponsor Release,DirectionalReleasePressure,131,0.1526717557251908,0.5777225704857408,0.2196576245001817,0.3639332991195866,0.2280887127849888,0.0681528662420381,2.2401369765285017,0.0845188894831526,StrongPositiveLift,20,8.928025477706992,3.838619193010789,0.0001237281489265829,0.10105740445609404,0.22407667879417884,SignificantPositive
6E,20,Directional Continuation / Sponsor Release,DirectionalReleasePressure,156,0.0897435897435897,0.555293120146759,0.2181668447293447,0.3602212747776716,0.2283548117824228,0.0482884074747808,1.858491394450299,0.0414551822688088,ModeratePositiveLift,14,7.532991566065805,2.4152773411080095,0.01572323243416074,0.05421051562673034,0.14499669951626118,SignificantPositive
ES,10,Directional Continuation / Sponsor Release,DirectionalReleasePressure,131,0.1145038167938931,0.5777225704857408,0.2196576245001817,0.3639332991195866,0.2280887127849888,0.0673046251993619,1.7012770883831996,0.0471991915945311,ModeratePositiveLift,15,8.816905901116408,2.156144393612841,0.03107239195853939,0.07062969120142457,0.18034330229613102,SignificantPositive
NQ,10,Pure Unresolved Compression Equilibrium,CompressionPressure,3864,0.1037784679089026,0.1850962336696797,0.0205421842650103,0.8190999275150299,0.2143646688112668,0.0622710622710622,1.6665601023017904,0.0415074056378403,ModeratePositiveLift,401,240.61538461538436,10.677322288252011,0.0,0.09455262786602692,0.11379137463914288,SignificantPositive
NQ,5,Pure Unresolved Compression Equilibrium,CompressionPressure,3869,0.1013181700697854,0.1851063785518912,0.0205335860543924,0.8191357158401458,0.2143318926956716,0.062239397945693,1.6278783763009816,0.0390787721240923,ModeratePositiveLift,392,240.8042306518862,10.061473586906425,0.0,0.09220181772027398,0.11122545387275991,SignificantPositive
6E,5,Pure Unresolved Compression Equilibrium,CompressionPressure,2645,0.0703213610586011,0.1762619235364215,0.022558286074354,0.8046121022348939,0.2323768608294155,0.0484988452655888,1.4499594923035386,0.0218225157930122,Neutral,186,128.27944572748237,5.2245308218631665,1.7459724466206694e-07,0.061187310900718314,0.08070173221911188,SignificantPositive
6E,10,Pure Unresolved Compression Equilibrium,CompressionPressure,2641,0.0692919348731541,0.1764159836928135,0.0225451217972989,0.8049052965196303,0.2320710179051361,0.0482086841670794,1.437333046324296,0.0210832507060746,Neutral,183,127.3191348852567,5.058109953345847,4.234322772411758e-07,0.060218918481041675,0.07961614763407086,SignificantPositive
