Instrument,HorizonBars,ResolvedArchetype,DominantPressure,Count,MeanReturn,MedianReturn,MeanMFE,MeanMAE,DirectionalHitRate,StdReturn,BaselineMeanReturn,BaselineDirectionalHitRate,ReturnEdge,DirectionalHitLift,ReturnTStat,ReturnSignificance
ES,20,Pure Unresolved Compression Equilibrium,CompressionPressure,1408,1.3673719397520543,0.8484333611237165,3.4129904085434473,-2.3556609449586094,0.6463068181818182,5.007143317321034,0.8352748540480714,0.61376,0.5320970857039828,1.053028574983411,10.247029077146207,SignificantPositiveReturn
NQ,20,Directional Continuation / Sponsor Release,RotationalPressure,240,1.3059238299922202,1.440755543646209,3.199104675619088,-2.0180450164706376,0.7208333333333333,2.7976029380042062,0.4408611531903962,0.5939117829778422,0.865062676801824,1.2137043816829383,7.23164989036435,SignificantPositiveReturn
NQ,20,Pure Unresolved Compression Equilibrium,RotationalPressure,193,0.7684608993330402,0.8443694643610291,2.792335837507371,-2.319497505310638,0.6010362694300518,3.445012380846258,0.4408611531903962,0.5939117829778422,0.327599746142644,1.0119958664845607,3.0989148432157463,SignificantPositiveReturn
NQ,10,Directional Continuation / Sponsor Release,RotationalPressure,240,0.7123403465999278,0.5970758986753868,2.1267941787188125,-1.4697294262254132,0.6333333333333333,2.189592161513818,0.21766743470053243,0.5688870500620604,0.49467291189939544,1.1132848484848483,5.039993013686589,SignificantPositiveReturn
ES,10,Pure Unresolved Compression Equilibrium,CompressionPressure,1408,0.680086234821389,0.49317490848172735,2.1680249514957457,-1.5808239779889812,0.6036931818181818,3.2830187152198964,0.39739176553098887,0.5821371610845295,0.2826944692904001,1.037029109589041,7.773058810921977,SignificantPositiveReturn
NQ,20,Pure Unresolved Compression Equilibrium,CompressionPressure,3791,0.5578312292321245,0.6258648217136774,2.828832975268953,-2.486590440633977,0.6020569620253164,3.7185295976305555,0.4408611531903962,0.5939117829778422,0.11697007604172827,1.0137144594212877,9.23652209490725,SignificantPositiveReturn
NQ,10,Pure Unresolved Compression Equilibrium,RotationalPressure,193,0.4232461913088135,0.21138211382113822,1.8683483872344626,-1.497657199067907,0.5751295336787565,2.116822148159511,0.21766743470053243,0.5688870500620604,0.2055787566082811,1.0109731512011306,2.7777128142853185,SignificantPositiveReturn
NQ,5,Directional Continuation / Sponsor Release,RotationalPressure,240,0.40557648391463924,0.39821387907050426,1.418550228015529,-1.012010420754304,0.6333333333333333,1.4264785497318435,0.10549030148186284,0.545952651710948,0.3000861824327764,1.16005175787414,4.404667614833866,SignificantPositiveReturn
ES,5,Pure Unresolved Compression Equilibrium,CompressionPressure,1408,0.3417611273309826,0.24322106633216067,1.4153264267470602,-1.1316603800112726,0.5710227272727273,2.2805113562376502,0.19033451177486038,0.5678343949044586,0.1514266155561222,1.0056148982817519,5.623306451314035,SignificantPositiveReturn
ES,5,Directional Continuation / Sponsor Release,DirectionalReleasePressure,127,0.3235494063275356,0.21158690176322417,1.3504656844409995,-1.0689735082218093,0.5572519083969466,1.6773370131190732,0.19033451177486038,0.5678343949044586,0.1332148945526752,0.9813634281359574,2.1738127780087155,SignificantPositiveReturn
ES,5,Sponsor Exhaustion Collapse,RotationalPressure,297,0.3234269184286073,0.27184466019417475,1.264421455101836,-1.0015652931492145,0.6033333333333334,1.3070483878867578,0.19033451177486038,0.5678343949044586,0.13309240665374694,1.062516358197794,4.264447005272275,SignificantPositiveReturn
NQ,5,Pure Unresolved Compression Equilibrium,RotationalPressure,193,0.2850418867070804,0.19060166886253843,1.2769973333255036,-1.171126559534783,0.5544041450777202,1.4264885738716562,0.10549030148186284,0.545952651710948,0.17955158522521758,1.015480268005451,2.775997311340184,SignificantPositiveReturn
NQ,10,Sponsor Exhaustion Collapse,RotationalPressure,1211,0.27704142385127284,0.3526717557251908,1.7811547312747664,-1.7209482447846913,0.5821635012386458,2.2677326832007516,0.21766743470053243,0.5688870500620604,0.05937398915074041,1.023337587268223,4.251331032497612,SignificantPositiveReturn
NQ,5,Pure Unresolved Compression Equilibrium,CompressionPressure,3806,0.1276865402790323,0.1594609603663394,1.2830950686294555,-1.2124952757820242,0.5447859206724455,1.7741581399089814,0.10549030148186284,0.545952651710948,0.022196238797169476,0.9978629446439244,4.440043076373953,SignificantPositiveReturn
NQ,5,Sponsor Exhaustion Collapse,RotationalPressure,1211,0.11611932975925093,0.10526315789473684,1.2226918017410389,-1.1818172685039292,0.5342691990090834,1.5548057479012696,0.10549030148186284,0.545952651710948,0.010629028277388097,0.9785998791923621,2.5989651410013144,SignificantPositiveReturn
