TrajectoryCluster,Quadruplet,PC1,PC2,PC3,Count,ConditionalProbability,UnresolvedCount,DirectionalCount,DegradingCount,BalanceCount,StateChanges,EndsDirectional,EndsDegrading,EndsBalance,EndsUnresolved,PersistentUnresolved,PersistentDirectional,PersistentDegrading,PersistentBalance,UnresolvedToDirectional,DirectionalToDegrading,BalanceUnresolvedLoop,DegradingUnresolvedLoop,FinalTransition,Occurrences,MeanNextRunLength,ImmediateFailurePct,DirectionalContinuationPct,ExpectancyFamily
1,Balance->Balance->Degrading->Balance,-1.31271522485883,-1.6925679129882114,-1.7659396364096995,1,100.0,0,0,1,3,2,0,0,1,0,0,0,0,0,0,0,0,0,Degrading->Balance,5.0,1.0,100.0,0.0,ImmediateFailure
1,Degrading->Directional->Degrading->Balance,0.8628678910575883,-1.820626659415208,-0.9346282619264932,1,50.0,0,1,2,1,3,0,0,1,0,0,0,0,0,0,1,0,0,Degrading->Balance,5.0,1.0,100.0,0.0,ImmediateFailure
1,Unresolved->Degrading->Degrading->Balance,-0.4237194439171901,-1.6701138074732702,0.0353025889919115,1,25.0,1,0,2,1,2,0,0,1,0,0,0,0,0,0,0,0,1,Degrading->Balance,5.0,1.0,100.0,0.0,ImmediateFailure
1,Directional->Directional->Degrading->Balance,0.919698568734135,-1.236382649831398,-1.805802750577717,1,16.67,0,2,1,1,2,0,0,1,0,0,0,0,0,0,1,0,0,Degrading->Balance,5.0,1.0,100.0,0.0,ImmediateFailure
1,Degrading->Degrading->Degrading->Balance,-0.0794859059627488,-1.832532069507805,-0.9785970427011236,1,7.14,0,0,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,Degrading->Balance,5.0,1.0,100.0,0.0,ImmediateFailure
0,Unresolved->Directional->Directional->Degrading,2.7814719839768016,0.4397314959457676,-0.4266949216962373,3,50.0,1,2,1,0,2,0,1,0,0,0,0,0,0,1,1,0,0,Directional->Degrading,10.0,2.2,70.0,0.0,ImmediateFailure
0,Directional->Directional->Directional->Degrading,2.695086522260906,-0.0716398242499007,-0.7743774499417952,3,25.0,0,3,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,Directional->Degrading,10.0,2.2,70.0,0.0,ImmediateFailure
0,Unresolved->Unresolved->Directional->Degrading,2.1590293393847824,0.3307619311516396,0.0517659361019868,2,28.57,2,1,1,0,2,0,1,0,0,0,0,0,0,1,1,0,0,Directional->Degrading,10.0,2.2,70.0,0.0,ImmediateFailure
0,Unresolved->Degrading->Directional->Degrading,2.1837910513963665,-0.8743015681623668,1.7176165214265573,1,100.0,1,1,2,0,3,0,1,0,0,0,0,0,0,0,1,0,1,Directional->Degrading,10.0,2.2,70.0,0.0,ImmediateFailure
0,Directional->Degrading->Directional->Degrading,2.6917661428669617,-0.7445842125973469,0.378971832912559,1,100.0,0,2,2,0,3,0,1,0,0,0,0,0,0,0,1,0,0,Directional->Degrading,10.0,2.2,70.0,0.0,ImmediateFailure
3,Directional->Directional->Degrading->Directional,2.8913250976115616,0.8064248721885652,-1.9335988776506563,1,16.67,0,3,1,0,2,1,0,0,0,0,0,0,0,0,1,0,0,Degrading->Directional,3.0,1.67,66.67,33.33,ImmediateFailure
3,Unresolved->Unresolved->Degrading->Directional,1.0067114052835555,0.8302909248882229,-0.1792502519773476,1,14.29,2,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,1,Degrading->Directional,3.0,1.67,66.67,33.33,ImmediateFailure
3,Degrading->Degrading->Degrading->Directional,1.8921406229146784,0.2102754525121584,-1.1063931697740623,1,7.14,0,1,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Degrading->Directional,3.0,1.67,66.67,33.33,ImmediateFailure
0,Unresolved->Unresolved->Unresolved->Degrading,0.1602174317467088,-0.0926562315904646,1.4805702940197385,5,2.4,3,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,Unresolved->Degrading,11.0,1.82,63.64,0.0,ImmediateFailure
0,Degrading->Unresolved->Unresolved->Degrading,0.8054865904490965,-0.8838503186351836,1.7891441200604832,2,16.67,2,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,1,Unresolved->Degrading,11.0,1.82,63.64,0.0,ImmediateFailure
0,Directional->Degrading->Unresolved->Degrading,2.26592293919371,-1.3189194887763729,1.6122407353015682,1,25.0,1,1,2,0,3,0,1,0,0,0,0,0,0,0,1,0,1,Unresolved->Degrading,11.0,1.82,63.64,0.0,ImmediateFailure
0,Balance->Balance->Unresolved->Degrading,-0.6689171020123442,-1.903868140848977,0.4332255193679842,1,16.67,1,0,1,2,2,0,1,0,0,0,0,0,0,0,0,1,1,Unresolved->Degrading,11.0,1.82,63.64,0.0,ImmediateFailure
0,Degrading->Degrading->Unresolved->Degrading,1.3672399345269202,-1.4239102799186154,1.85404043909576,1,16.67,1,0,3,0,2,0,1,0,0,0,0,0,0,0,0,0,1,Unresolved->Degrading,11.0,1.82,63.64,0.0,ImmediateFailure
0,Unresolved->Degrading->Unresolved->Degrading,0.8958001347682223,-1.2006091022137402,2.0195848600949646,1,16.67,2,0,2,0,3,0,1,0,0,0,0,0,0,0,0,0,1,Unresolved->Degrading,11.0,1.82,63.64,0.0,ImmediateFailure
1,Unresolved->Unresolved->Unresolved->Balance,-2.638303391316624,-0.4795503321626536,-1.4014328586696383,10,4.81,3,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,Unresolved->Balance,19.0,1.63,63.16,0.0,ImmediateFailure
1,Degrading->Unresolved->Unresolved->Balance,-1.8174356509779184,-1.4782957553523512,-0.2885305774957411,3,25.0,2,0,1,1,2,0,0,1,0,0,0,0,0,0,0,1,1,Unresolved->Balance,19.0,1.63,63.16,0.0,ImmediateFailure
1,Unresolved->Balance->Unresolved->Balance,-2.4712762958625194,-1.734047826092694,-1.4705879681013094,2,16.67,2,0,0,2,3,0,0,1,0,0,0,0,0,0,0,1,0,Unresolved->Balance,19.0,1.63,63.16,0.0,ImmediateFailure
1,Balance->Unresolved->Unresolved->Balance,-2.548194076396433,-1.4609811107784991,-1.713700334446735,2,12.5,2,0,0,2,2,0,0,1,0,0,0,0,0,0,0,1,0,Unresolved->Balance,19.0,1.63,63.16,0.0,ImmediateFailure
1,Degrading->Balance->Unresolved->Balance,-1.946022362721836,-2.076519583455262,-1.358862649712088,1,50.0,1,0,1,2,3,0,0,1,0,0,0,0,0,0,0,1,0,Unresolved->Balance,19.0,1.63,63.16,0.0,ImmediateFailure
1,Degrading->Degrading->Unresolved->Balance,-1.2377309610717222,-2.0867092588968674,-0.2421507283751411,1,16.67,1,0,2,1,2,0,0,1,0,0,0,0,0,0,0,1,1,Unresolved->Balance,19.0,1.63,63.16,0.0,ImmediateFailure
0,Balance->Degrading->Balance->Degrading,0.550606352076033,-1.6947696267510282,0.3017554236433064,1,100.0,0,0,2,2,3,0,1,0,0,0,0,0,0,0,0,0,0,Balance->Degrading,4.0,1.5,50.0,0.0,DegradationCycle
0,Directional->Degrading->Balance->Degrading,2.038193452306986,-1.5814132214225043,0.3182806556531342,1,50.0,0,1,2,1,3,0,1,0,0,0,0,0,0,0,1,0,0,Balance->Degrading,4.0,1.5,50.0,0.0,DegradationCycle
0,Degrading->Degrading->Balance->Degrading,1.130388332635505,-1.637021782181885,0.5717840967596068,1,50.0,0,0,3,1,2,0,1,0,0,0,0,0,0,0,0,0,0,Balance->Degrading,4.0,1.5,50.0,0.0,DegradationCycle
0,Balance->Balance->Balance->Degrading,-0.1312666301210422,-1.62982611861678,-0.8626850300002699,1,20.0,0,0,1,3,1,0,1,0,0,0,0,0,0,0,0,0,0,Balance->Degrading,4.0,1.5,50.0,0.0,DegradationCycle
2,Unresolved->Unresolved->Degrading->Unresolved,-0.9207692550098274,0.792024258613106,1.907715460919704,4,57.14,3,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,1,Degrading->Unresolved,17.0,5.53,29.41,0.0,PersistentNonDirectional
2,Degrading->Degrading->Degrading->Unresolved,0.1515296183366026,-0.1830342929768833,1.7568944346554634,3,21.43,1,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,1,Degrading->Unresolved,17.0,5.53,29.41,0.0,PersistentNonDirectional
2,Balance->Degrading->Degrading->Unresolved,-0.4507099051907901,-0.0903836628650205,1.5201941783979804,2,100.0,1,0,2,1,2,0,0,0,1,0,0,0,0,0,0,0,1,Degrading->Unresolved,17.0,5.53,29.41,0.0,PersistentNonDirectional
2,Degrading->Unresolved->Degrading->Unresolved,-0.2791385918223283,-0.0082983691361958,2.2164422698797424,2,66.67,2,0,2,0,3,0,0,0,1,0,0,0,0,0,0,0,1,Degrading->Unresolved,17.0,5.53,29.41,0.0,PersistentNonDirectional
2,Directional->Directional->Degrading->Unresolved,1.1569479562027705,0.408193741112704,0.9262058690180246,2,33.33,1,2,1,0,2,0,0,0,1,0,0,0,0,0,1,0,1,Degrading->Unresolved,17.0,5.53,29.41,0.0,PersistentNonDirectional
2,Unresolved->Directional->Degrading->Unresolved,1.2612847637470377,0.8512115190472874,1.2553719273489063,1,50.0,2,1,1,0,3,0,0,0,1,0,0,0,0,1,1,0,1,Degrading->Unresolved,17.0,5.53,29.41,0.0,PersistentNonDirectional
2,Degrading->Directional->Degrading->Unresolved,1.127190739359289,-0.2937860411150525,1.7671601504422902,1,50.0,1,1,2,0,3,0,0,0,1,0,0,0,0,0,1,0,1,Degrading->Unresolved,17.0,5.53,29.41,0.0,PersistentNonDirectional
2,Degrading->Balance->Degrading->Unresolved,-0.2873865880790126,-0.8023781366747204,1.6569628696197558,1,33.33,1,0,2,1,3,0,0,0,1,0,0,0,0,0,0,0,1,Degrading->Unresolved,17.0,5.53,29.41,0.0,PersistentNonDirectional
2,Unresolved->Degrading->Degrading->Unresolved,-0.3061611976338871,0.0234880739927744,1.9138292778694292,1,25.0,2,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0,1,Degrading->Unresolved,17.0,5.53,29.41,0.0,PersistentNonDirectional
3,Unresolved->Unresolved->Unresolved->Directional,0.8809053579026263,2.4670525729851525,-1.7335211777827155,6,2.88,3,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,Unresolved->Directional,8.0,3.13,25.0,75.0,DirectionalContinuation
3,Directional->Unresolved->Unresolved->Directional,1.5549201997670954,2.6131152002932683,-1.909259715201092,1,100.0,2,2,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,Unresolved->Directional,8.0,3.13,25.0,75.0,DirectionalContinuation
3,Directional->Degrading->Unresolved->Directional,3.14273034227361,1.0522111860632042,-0.7860761506432139,1,25.0,1,2,1,0,3,1,0,0,0,0,0,0,0,1,1,0,1,Unresolved->Directional,8.0,3.13,25.0,75.0,DirectionalContinuation
2,Unresolved->Unresolved->Balance->Unresolved,-2.5605908015290035,0.7055239691754659,0.2954376330418141,10,66.67,3,0,0,1,2,0,0,0,1,0,0,0,0,0,0,1,0,Balance->Unresolved,19.0,7.26,21.05,0.0,PersistentNonDirectional
2,Unresolved->Balance->Balance->Unresolved,-2.5752448734920157,0.0614248577959677,-0.2377617982762578,5,71.43,2,0,0,2,2,0,0,0,1,0,0,0,0,0,0,1,0,Balance->Unresolved,19.0,7.26,21.05,0.0,PersistentNonDirectional
2,Degrading->Unresolved->Balance->Unresolved,-1.7364541062850314,-0.2532670180791029,1.4131762867400208,1,100.0,2,0,1,1,3,0,0,0,1,0,0,0,0,0,0,1,1,Balance->Unresolved,19.0,7.26,21.05,0.0,PersistentNonDirectional
2,Degrading->Degrading->Balance->Unresolved,-1.3570243166798348,-0.6062188796940925,0.3541196181662244,1,50.0,1,0,2,1,2,0,0,0,1,0,0,0,0,0,0,1,0,Balance->Unresolved,19.0,7.26,21.05,0.0,PersistentNonDirectional
2,Directional->Degrading->Balance->Unresolved,-0.4492191970083534,-0.550610318934712,0.1006161770597516,1,50.0,1,1,1,1,3,0,0,0,1,0,0,0,0,0,1,1,0,Balance->Unresolved,19.0,7.26,21.05,0.0,PersistentNonDirectional
2,Balance->Unresolved->Balance->Unresolved,-2.4167206377007973,-0.5381137650891706,-0.0812901554004537,1,33.33,2,0,0,2,3,0,0,0,1,0,0,0,0,0,0,1,0,Balance->Unresolved,19.0,7.26,21.05,0.0,PersistentNonDirectional
1,Balance->Balance->Balance->Unresolved,-2.6186792794363822,-0.5990232161289873,-1.0803495085936532,1,20.0,1,0,0,3,1,0,0,0,1,0,0,0,0,0,0,1,0,Balance->Unresolved,19.0,7.26,21.05,0.0,PersistentNonDirectional
4,Unresolved->Unresolved->Unresolved->Unresolved,-4.902106476528713,9.087884200318186,3.1591355884924304,186,89.42,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,Unresolved->Unresolved,0.0,0.0,0.0,0.0,Mixed
2,Balance->Unresolved->Unresolved->Unresolved,-2.700202801290088,1.2026819055405522,0.1147014591476291,14,87.5,3,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,Unresolved->Unresolved,0.0,0.0,0.0,0.0,RotationalChurn
2,Unresolved->Balance->Unresolved->Unresolved,-2.578835031538388,0.8042884299411903,0.3188451076663785,10,83.33,3,0,0,1,2,0,0,0,1,0,0,0,0,0,0,1,0,Unresolved->Unresolved,0.0,0.0,0.0,0.0,RotationalChurn
0,Degrading->Degrading->Degrading->Degrading,2.128797171766996,-1.1894371611284222,1.298278535279204,9,64.29,0,0,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,Degrading->Degrading,0.0,0.0,0.0,0.0,DegradationCycle
3,Directional->Directional->Directional->Directional,2.846375406487148,3.8863083489096817,-5.151598020463879,8,66.67,0,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,Directional->Directional,0.0,0.0,0.0,0.0,Mixed
2,Degrading->Unresolved->Unresolved->Unresolved,-1.0300444202626982,1.1537802702885158,1.6925721485631935,7,58.33,3,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,Unresolved->Unresolved,0.0,0.0,0.0,0.0,DegradationCycle
2,Unresolved->Degrading->Unresolved->Unresolved,-0.9582789410523408,0.9662561483697388,1.951325418036944,5,83.33,3,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,1,Unresolved->Unresolved,0.0,0.0,0.0,0.0,DegradationCycle
2,Balance->Balance->Unresolved->Unresolved,-2.669760779851305,0.4297583729003908,-0.4582956461813026,5,83.33,2,0,0,2,1,0,0,0,1,0,0,0,0,0,0,1,0,Unresolved->Unresolved,0.0,0.0,0.0,0.0,RotationalChurn
3,Unresolved->Unresolved->Directional->Directional,1.4694057367685274,2.8174181329472625,-2.1594034068896018,5,71.43,2,2,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,Directional->Directional,0.0,0.0,0.0,0.0,Mixed
1,Unresolved->Unresolved->Balance->Balance,-2.6789768453338345,-0.982794486291635,-1.9012492409433144,5,33.33,2,0,0,2,1,0,0,1,0,0,0,0,0,0,0,1,0,Balance->Balance,0.0,0.0,0.0,0.0,RotationalChurn
2,Degrading->Degrading->Unresolved->Unresolved,-0.4597656804605783,0.6252191980209171,1.7555607898107797,4,66.67,2,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,1,Unresolved->Unresolved,0.0,0.0,0.0,0.0,DegradationCycle
0,Directional->Degrading->Degrading->Degrading,2.409323473993861,-0.5951113872445742,0.5051823695039995,3,100.0,0,1,3,0,1,0,1,0,0,0,0,0,0,0,1,0,0,Degrading->Degrading,0.0,0.0,0.0,0.0,DegradationCycle
1,Balance->Balance->Balance->Balance,-2.942169180627715,-2.1490762291477448,-4.955763598022182,3,60.0,0,0,0,4,0,0,0,1,0,0,0,0,1,0,0,0,0,Balance->Balance,0.0,0.0,0.0,0.0,RotationalChurn
3,Unresolved->Directional->Directional->Directional,2.165271709978178,2.615389441073173,-2.7185212117392377,3,50.0,1,3,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,Directional->Directional,0.0,0.0,0.0,0.0,Mixed
2,Unknown->Unknown->Unknown->Unresolved,-0.864848673542756,1.189083184136572,0.1541639961763046,2,100.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,Unknown->Unresolved,2.0,20.5,0.0,0.0,PersistentNonDirectional
2,Unknown->Unknown->Unresolved->Unresolved,-1.1536389351208494,1.4573232361449275,0.3768041631819796,2,100.0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,Unresolved->Unresolved,0.0,0.0,0.0,0.0,Mixed
2,Unknown->Unresolved->Unresolved->Unresolved,-1.4424291966989458,1.7255632881532876,0.5994443301876554,2,100.0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,Unresolved->Unresolved,0.0,0.0,0.0,0.0,Mixed
0,Degrading->Balance->Degrading->Degrading,1.1033039208840671,-1.519226727148523,0.6020183540913822,2,66.67,0,0,3,1,2,0,1,0,0,0,0,0,0,0,0,0,0,Degrading->Degrading,0.0,0.0,0.0,0.0,DegradationCycle
1,Balance->Unresolved->Balance->Balance,-2.6611027901587367,-1.717309376666379,-2.1434145348536915,2,66.67,1,0,0,3,2,0,0,1,0,0,0,0,0,0,0,1,0,Balance->Balance,0.0,0.0,0.0,0.0,RotationalChurn
0,Unresolved->Degrading->Degrading->Degrading,1.2404269792706557,-0.9095632924191946,1.6704286984152226,2,50.0,1,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,1,Degrading->Degrading,0.0,0.0,0.0,0.0,DegradationCycle
2,Directional->Degrading->Unresolved->Unresolved,0.4839530817860213,0.5440613918687135,1.4650103587701375,2,50.0,2,1,1,0,2,0,0,0,1,0,0,0,0,0,1,0,1,Unresolved->Unresolved,0.0,0.0,0.0,0.0,DegradationCycle
0,Directional->Directional->Degrading->Degrading,2.5929780578450443,-0.5252736475496003,-0.1823944285715046,2,33.33,0,2,2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,Degrading->Degrading,0.0,0.0,0.0,0.0,DegradationCycle
0,Unresolved->Unresolved->Degrading->Degrading,0.7109706840898073,-0.5155168035307605,1.5686102721554382,2,28.57,2,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,Degrading->Degrading,0.0,0.0,0.0,0.0,DegradationCycle
1,Unresolved->Balance->Balance->Balance,-2.70086410465313,-1.64538780863796,-2.4341989068420613,2,28.57,1,0,0,3,1,0,0,1,0,0,0,0,0,0,0,1,0,Balance->Balance,0.0,0.0,0.0,0.0,RotationalChurn
0,Balance->Unresolved->Degrading->Degrading,-0.1536594026243601,-1.3534956699072958,1.127837712641757,1,100.0,1,0,2,1,2,0,1,0,0,0,0,0,0,0,0,1,1,Degrading->Degrading,0.0,0.0,0.0,0.0,RotationalChurn
