Transition,EventCount,FromArchetype,ToArchetype,PreEntropy_5,PreVelocity_5,PreDominantFraction_5,PreMeanFailure_5,PreMeanContinuation_5,PreMeanMigrationProb_5,PreUniqueArchetypes_5,PreEntropy_10,PreVelocity_10,PreDominantFraction_10,PreMeanFailure_10,PreMeanContinuation_10,PreMeanMigrationProb_10,PreUniqueArchetypes_10,PreEntropy_20,PreVelocity_20,PreDominantFraction_20,PreMeanFailure_20,PreMeanContinuation_20,PreMeanMigrationProb_20,PreUniqueArchetypes_20
Unstable Rotational Balance->Stable Compression Basin,161,Unstable Rotational Balance,Stable Compression Basin,1.2047606575338583,0.5186335403726708,0.5962732919254659,19.304273291925465,0.5900496894409938,0.5760436647250897,2.6459627329192545,1.5266418194806792,0.48378191856452724,0.5074534161490684,16.841416149068323,1.3146894409937888,0.5944145046947098,3.453416149068323,1.7450069361449525,0.4171297809741746,0.46925465838509317,14.170248447204967,1.7417049689440993,0.6288675993290846,4.248447204968944
Sponsor Exhaustion Collapse->Stable Compression Basin,147,Sponsor Exhaustion Collapse,Stable Compression Basin,1.0551911372862772,0.4574829931972789,0.636734693877551,18.071414965986396,2.3695918367346938,0.5679026182209027,2.3877551020408165,1.3707487313002538,0.4013605442176871,0.563265306122449,15.058149659863943,2.3128979591836734,0.6062293681901908,3.163265306122449,1.62396493092697,0.346437522377372,0.500765306122449,12.150663265306124,2.025204081632653,0.646779883120922,3.931972789115646
Stable Compression Basin->Pure Unresolved Compression Equilibrium,147,Stable Compression Basin,Pure Unresolved Compression Equilibrium,1.0151140809724895,0.39285714285714285,0.6585034013605442,13.708367346938775,1.167795918367347,0.5428494879753524,2.292517006802721,1.398222003103006,0.41043083900226757,0.535374149659864,13.673721088435373,1.4342244897959182,0.585539466959795,3.108843537414966,1.689220724888539,0.3945578231292517,0.4710884353741497,12.91984693877551,1.7771938775510203,0.6170211576035901,4.020408163265306
Stable Compression Basin->Unstable Rotational Balance,101,Stable Compression Basin,Unstable Rotational Balance,1.1887902728958337,0.556930693069307,0.5861386138613862,16.462950495049505,0.957089108910891,0.5389422407469051,2.5742574257425743,1.4953611062566141,0.4917491749174917,0.5178217821782178,15.334554455445545,1.848178217821782,0.5705943508113014,3.366336633663366,1.7139956120325865,0.4079330533672562,0.47931793179317933,12.775013751375138,1.9636864686468647,0.6247057521157355,4.198019801980198
Stable Compression Basin->Sponsor Exhaustion Collapse,66,Stable Compression Basin,Sponsor Exhaustion Collapse,1.2146507840742853,0.5492424242424242,0.5787878787878789,18.219909090909088,1.6919090909090908,0.5607024243660289,2.621212121212121,1.4520826014430517,0.45959595959595956,0.5545454545454546,15.2985,2.0201818181818183,0.5962649064106776,3.378787878787879,1.6491264573100142,0.3652312599681021,0.4962121212121212,11.985742424242424,1.8181590909090908,0.6455308234749424,4.03030303030303
Directional Continuation / Sponsor Release->Sponsor Exhaustion Collapse,64,Directional Continuation / Sponsor Release,Sponsor Exhaustion Collapse,0.9433055296222693,0.35546875,0.68125,10.3119375,11.3019375,0.6437785885000202,2.234375,1.2190396488415143,0.2881944444444444,0.6171875,8.488546875,7.17440625,0.6885715231038244,2.96875,1.4372148765795723,0.2703125,0.5737215909090909,8.013030539772727,4.724740056818182,0.7027164139146577,3.6875
Pure Unresolved Compression Equilibrium->Directional Continuation / Sponsor Release,53,Pure Unresolved Compression Equilibrium,Directional Continuation / Sponsor Release,0.20968709332413873,0.07075471698113207,0.9320754716981132,1.40788679245283,0.0,0.863166834140614,1.2830188679245282,0.5868722509023863,0.1278825995807128,0.8132075471698114,2.5799622641509434,0.6289245283018867,0.8225292802841385,1.9056603773584906,0.9904728892370736,0.19066534260178747,0.6952830188679245,5.238830188679246,1.0848962264150943,0.7765454637641169,2.792452830188679
Pure Unresolved Compression Equilibrium->Sponsor Exhaustion Collapse,48,Pure Unresolved Compression Equilibrium,Sponsor Exhaustion Collapse,0.5667660264095652,0.17708333333333334,0.7999999999999999,1.7000833333333334,0.0,0.78943647033992,1.7083333333333333,1.003399305584802,0.2546296296296296,0.6583333333333333,7.558791666666667,0.36456249999999996,0.735111769761965,2.4791666666666665,1.411588488398689,0.31030701754385964,0.5593750000000001,8.34675,0.920125,0.6996562631960557,3.4791666666666665
Pure Unresolved Compression Equilibrium->Unstable Rotational Balance,46,Pure Unresolved Compression Equilibrium,Unstable Rotational Balance,0.8091607939749548,0.2554347826086957,0.717391304347826,3.0195217391304348,0.32608695652173914,0.7412605773190069,2.0217391304347827,1.3430738079639948,0.3429951690821256,0.5543478260869565,8.340652173913043,0.16304347826086957,0.6865182662593474,3.0652173913043477,1.6586386419372061,0.3867276887871854,0.4847826086956522,11.812923913043479,1.0416521739130433,0.6602260709809964,3.9347826086956523
Sponsor Exhaustion Collapse->Unstable Rotational Balance,39,Sponsor Exhaustion Collapse,Unstable Rotational Balance,1.3100136716399864,0.5448717948717948,0.5487179487179487,18.030871794871793,6.23923076923077,0.565489909941208,2.7948717948717947,1.5253576819556849,0.4245014245014245,0.5179487179487179,13.387923076923077,4.252076923076923,0.6365874789413835,3.5128205128205128,1.5870414803533504,0.34527146268036957,0.5446886446886448,9.778882783882784,3.255456043956044,0.6731959959400805,4.0
