Quadruplet,Count,FirstState,SecondState,ThirdState,FourthState,UnresolvedCount,DirectionalCount,DegradingCount,BalanceCount,UnknownCount,StateChanges,EndsDirectional,EndsDegrading,EndsBalance,EndsUnresolved,PersistentUnresolved,PersistentDirectional,PersistentDegrading,PersistentBalance,UnresolvedToDirectional,DirectionalToDegrading,BalanceUnresolvedLoop,DegradingUnresolvedLoop,ConditionalProbability,TrajectoryCluster,PC1,PC2,PC3
Unresolved->Unresolved->Unresolved->Unresolved,186,Unresolved,Unresolved,Unresolved,Unresolved,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,89.42,4,-4.902106476528713,9.087884200318186,3.1591355884924304
Balance->Unresolved->Unresolved->Unresolved,14,Balance,Unresolved,Unresolved,Unresolved,3,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,87.5,2,-2.700202801290088,1.2026819055405522,0.1147014591476291
Unresolved->Unresolved->Unresolved->Balance,10,Unresolved,Unresolved,Unresolved,Balance,3,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,4.81,1,-2.638303391316624,-0.4795503321626536,-1.4014328586696385
Unresolved->Unresolved->Balance->Unresolved,10,Unresolved,Unresolved,Balance,Unresolved,3,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,1,0,66.67,2,-2.5605908015290035,0.7055239691754659,0.29543763304181414
Unresolved->Balance->Unresolved->Unresolved,10,Unresolved,Balance,Unresolved,Unresolved,3,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,1,0,83.33,2,-2.5788350315383877,0.8042884299411903,0.3188451076663785
Degrading->Degrading->Degrading->Degrading,9,Degrading,Degrading,Degrading,Degrading,0,0,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,64.29,0,2.1287971717669953,-1.1894371611284222,1.298278535279204
Directional->Directional->Directional->Directional,8,Directional,Directional,Directional,Directional,0,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,66.67,3,2.846375406487148,3.8863083489096817,-5.1515980204638785
Degrading->Unresolved->Unresolved->Unresolved,7,Degrading,Unresolved,Unresolved,Unresolved,3,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,58.33,2,-1.0300444202626982,1.1537802702885158,1.6925721485631937
Unresolved->Unresolved->Unresolved->Directional,6,Unresolved,Unresolved,Unresolved,Directional,3,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,2.88,3,0.8809053579026263,2.4670525729851525,-1.7335211777827155
Unresolved->Unresolved->Unresolved->Degrading,5,Unresolved,Unresolved,Unresolved,Degrading,3,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,2.4,0,0.1602174317467088,-0.09265623159046463,1.4805702940197383
Unresolved->Unresolved->Balance->Balance,5,Unresolved,Unresolved,Balance,Balance,2,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,1,0,33.33,1,-2.6789768453338345,-0.982794486291635,-1.9012492409433144
Unresolved->Degrading->Unresolved->Unresolved,5,Unresolved,Degrading,Unresolved,Unresolved,3,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,83.33,2,-0.9582789410523408,0.9662561483697387,1.9513254180369441
Unresolved->Balance->Balance->Unresolved,5,Unresolved,Balance,Balance,Unresolved,2,0,0,2,0,2,0,0,0,1,0,0,0,0,0,0,1,0,71.43,2,-2.5752448734920153,0.0614248577959677,-0.2377617982762578
Balance->Balance->Unresolved->Unresolved,5,Balance,Balance,Unresolved,Unresolved,2,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,83.33,2,-2.6697607798513054,0.4297583729003908,-0.4582956461813026
Unresolved->Unresolved->Directional->Directional,5,Unresolved,Unresolved,Directional,Directional,2,2,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,71.43,3,1.4694057367685274,2.8174181329472625,-2.1594034068896018
Degrading->Degrading->Unresolved->Unresolved,4,Degrading,Degrading,Unresolved,Unresolved,2,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,66.67,2,-0.45976568046057836,0.6252191980209171,1.7555607898107795
Unresolved->Unresolved->Degrading->Unresolved,4,Unresolved,Unresolved,Degrading,Unresolved,3,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,57.14,2,-0.9207692550098274,0.792024258613106,1.9077154609197038
Directional->Degrading->Degrading->Degrading,3,Directional,Degrading,Degrading,Degrading,0,1,3,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,100.0,0,2.409323473993861,-0.5951113872445742,0.5051823695039995
Directional->Directional->Directional->Degrading,3,Directional,Directional,Directional,Degrading,0,3,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,25.0,0,2.695086522260906,-0.07163982424990076,-0.7743774499417952
Unresolved->Directional->Directional->Directional,3,Unresolved,Directional,Directional,Directional,1,3,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,50.0,3,2.165271709978178,2.6153894410731735,-2.7185212117392377
Unresolved->Directional->Directional->Degrading,3,Unresolved,Directional,Directional,Degrading,1,2,1,0,0,2,0,1,0,0,0,0,0,0,1,1,0,0,50.0,0,2.7814719839768016,0.43973149594576766,-0.4266949216962373
Degrading->Unresolved->Unresolved->Balance,3,Degrading,Unresolved,Unresolved,Balance,2,0,1,1,0,2,0,0,1,0,0,0,0,0,0,0,1,1,25.0,1,-1.8174356509779186,-1.4782957553523512,-0.2885305774957411
Balance->Balance->Balance->Balance,3,Balance,Balance,Balance,Balance,0,0,0,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,60.0,1,-2.942169180627715,-2.1490762291477448,-4.955763598022182
Degrading->Degrading->Degrading->Unresolved,3,Degrading,Degrading,Degrading,Unresolved,1,0,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,21.43,2,0.15152961833660267,-0.18303429297688337,1.7568944346554634
Balance->Unresolved->Balance->Balance,2,Balance,Unresolved,Balance,Balance,1,0,0,3,0,2,0,0,1,0,0,0,0,0,0,0,1,0,66.67,1,-2.6611027901587367,-1.717309376666379,-2.1434145348536915
