Quadruplet,Count,FirstState,SecondState,ThirdState,FourthState,UnresolvedCount,DirectionalCount,DegradingCount,BalanceCount,UnknownCount,StateChanges,EndsDirectional,EndsDegrading,EndsBalance,EndsUnresolved,PersistentUnresolved,PersistentDirectional,PersistentDegrading,PersistentBalance,UnresolvedToDirectional,DirectionalToDegrading,BalanceUnresolvedLoop,DegradingUnresolvedLoop,ConditionalProbability
Unknown->Unknown->Unknown->Unresolved,2,Unknown,Unknown,Unknown,Unresolved,1,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,100.0
Unknown->Unknown->Unresolved->Unresolved,2,Unknown,Unknown,Unresolved,Unresolved,2,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,100.0
Unknown->Unresolved->Unresolved->Unresolved,2,Unknown,Unresolved,Unresolved,Unresolved,3,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,100.0
Unresolved->Unresolved->Unresolved->Unresolved,186,Unresolved,Unresolved,Unresolved,Unresolved,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,89.42
Unresolved->Unresolved->Unresolved->Unknown,1,Unresolved,Unresolved,Unresolved,Unknown,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.48
Unresolved->Unresolved->Unknown->Unknown,1,Unresolved,Unresolved,Unknown,Unknown,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,100.0
Unresolved->Unknown->Unknown->Unknown,1,Unresolved,Unknown,Unknown,Unknown,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,100.0
Unresolved->Unresolved->Unresolved->Directional,6,Unresolved,Unresolved,Unresolved,Directional,3,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,2.88
Unresolved->Unresolved->Directional->Directional,5,Unresolved,Unresolved,Directional,Directional,2,2,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,71.43
Unresolved->Directional->Directional->Degrading,3,Unresolved,Directional,Directional,Degrading,1,2,1,0,0,2,0,1,0,0,0,0,0,0,1,1,0,0,50.0
Directional->Directional->Degrading->Unresolved,2,Directional,Directional,Degrading,Unresolved,1,2,1,0,0,2,0,0,0,1,0,0,0,0,0,1,0,1,33.33
Directional->Degrading->Unresolved->Unresolved,2,Directional,Degrading,Unresolved,Unresolved,2,1,1,0,0,2,0,0,0,1,0,0,0,0,0,1,0,1,50.0
Degrading->Unresolved->Unresolved->Unresolved,7,Degrading,Unresolved,Unresolved,Unresolved,3,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,58.33
Unresolved->Directional->Directional->Directional,3,Unresolved,Directional,Directional,Directional,1,3,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,50.0
Directional->Directional->Directional->Directional,8,Directional,Directional,Directional,Directional,0,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,66.67
Directional->Directional->Directional->Degrading,3,Directional,Directional,Directional,Degrading,0,3,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,25.0
Directional->Directional->Degrading->Balance,1,Directional,Directional,Degrading,Balance,0,2,1,1,0,2,0,0,1,0,0,0,0,0,0,1,0,0,16.67
