Quadruplet,SoftArchetype,SoftVoteSimilarity,SoftMeanDistance,SoftNeighborCount,NearestNeighbor,NearestNeighborArchetype,NearestNeighborDistance,Implication,ActionBias
Unknown->Unknown->Unknown->Unknown,Persistent Non-Directional Compression,1.0373748055566194,4.166727563925361,5,Unresolved->Unknown->Unknown->Unknown,Persistent Non-Directional Compression,2.3793811179204463,,
Unresolved->Unresolved->Directional->Unresolved,Persistent Non-Directional Compression,0.6347147641673787,3.730201544127926,3,Directional->Directional->Unresolved->Unresolved,Persistent Non-Directional Compression,3.6169893948377676,,
Unresolved->Directional->Unresolved->Unresolved,Persistent Non-Directional Compression,0.6347147641673787,3.730201544127926,3,Directional->Directional->Unresolved->Unresolved,Persistent Non-Directional Compression,3.6169893948377676,,
Balance->Balance->Unresolved->Balance,Fragile Rotational Churn,2.5613166435820744,1.2753262113996509,5,Balance->Unresolved->Balance->Balance,Fragile Rotational Churn,0.0,,
Balance->Unresolved->Unresolved->Directional,Directional Continuation / Sponsor Release,1.2077828730143465,3.173803839651587,5,Directional->Unresolved->Unresolved->Directional,Directional Continuation / Sponsor Release,2.7047628364352234,"Auction shows directional continuation structure. Sponsor release is active, but degradation must be monitored.",Continuation favored while degradation remains contained.
Unresolved->Unresolved->Directional->Balance,Fragile Rotational Churn,0.7629684997081081,4.243724445381762,4,Balance->Unresolved->Unresolved->Balance,Fragile Rotational Churn,4.11692547111245,,
Unresolved->Directional->Balance->Unresolved,Persistent Non-Directional Compression,1.091931775461084,3.5803901199831047,5,Balance->Unresolved->Balance->Unresolved,Persistent Non-Directional Compression,3.4258185331175603,,
Directional->Balance->Unresolved->Balance,Fragile Rotational Churn,1.7924262978914278,1.8689905091589984,5,Degrading->Balance->Unresolved->Balance,Fragile Rotational Churn,1.3926317059025048,,
Unresolved->Unresolved->Degrading->Balance,Fragile Rotational Churn,1.2262061656256016,2.42809500160611,4,Unresolved->Degrading->Degrading->Balance,Fragile Rotational Churn,1.3757875263612591,,
Unresolved->Degrading->Balance->Unresolved,Persistent Non-Directional Compression,2.1322801005473866,2.028491639348219,5,Degrading->Unresolved->Balance->Unresolved,Persistent Non-Directional Compression,0.0,,
Degrading->Unresolved->Balance->Balance,Fragile Rotational Churn,1.6924866224893815,2.044844471765125,5,Degrading->Degrading->Unresolved->Balance,Fragile Rotational Churn,1.4157120298435264,,
Unresolved->Balance->Unresolved->Directional,Directional Continuation / Sponsor Release,1.085045369346129,3.6430585249103644,5,Directional->Unresolved->Unresolved->Directional,Directional Continuation / Sponsor Release,2.962021420521919,"Auction shows directional continuation structure. Sponsor release is active, but degradation must be monitored.",Continuation favored while degradation remains contained.
Balance->Unresolved->Directional->Unresolved,Persistent Non-Directional Compression,1.091931775461084,3.5803901199831047,5,Balance->Unresolved->Balance->Unresolved,Persistent Non-Directional Compression,3.4258185331175603,,
Directional->Unresolved->Unresolved->Unresolved,Persistent Non-Directional Compression,1.5632755921387904,2.2869225193952154,5,Directional->Directional->Unresolved->Unresolved,Persistent Non-Directional Compression,1.4111874626590082,,
Directional->Degrading->Degrading->Directional,Directional Continuation / Sponsor Release,1.1859083255919112,2.533057783639105,4,Directional->Directional->Degrading->Directional,Directional Continuation / Sponsor Release,1.3926317059025048,"Auction shows directional continuation structure. Sponsor release is active, but degradation must be monitored.",Continuation favored while degradation remains contained.
