Instrument,HorizonBars,ResolvedArchetype,DominantPressure,WalkForwardSplit,Count,MeanSignedReturn,MedianSignedReturn,StdSignedReturn,DirectionalHitRate,MeanDirectionalMFE,MeanDirectionalMAE
6E,5,Directional Continuation / Sponsor Release,CompressionPressure,Train,1,-0.2170542635658653,-0.2170542635658653,,0.0,0.8682170542634613,-0.7596899224807696
6E,5,Directional Continuation / Sponsor Release,DirectionalReleasePressure,Train,109,-0.004873818493138179,-0.1284403669724666,1.5467450072853697,0.41228070175438597,1.2074304313982802,-1.1494068311793526
6E,5,Directional Continuation / Sponsor Release,DirectionalReleasePressure,Validation,32,0.3903178140738341,0.48184281842779275,1.9646937231578465,0.5625,1.3163881154532653,-0.8882878955434546
6E,5,Directional Continuation / Sponsor Release,RotationalPressure,Train,76,0.012554524940553483,-0.0744680851062,1.5990509963415864,0.4473684210526316,1.348059032157363,-1.0395908187898024
6E,5,Directional Continuation / Sponsor Release,RotationalPressure,Validation,59,0.05883270142265713,0.1555555555559086,1.7195682038748605,0.5084745762711864,1.4085866960160351,-1.2962852854995268
6E,5,Pure Unresolved Compression Equilibrium,CompressionPressure,Train,1521,-0.005877861586452448,-0.0,1.926112189637442,0.4763469119579501,1.3334465448633268,-1.2701233309179565
6E,5,Pure Unresolved Compression Equilibrium,CompressionPressure,Validation,1017,0.1479249110736923,0.1372549019610771,1.5135246645445355,0.5142576204523107,1.278848267533322,-1.0857069366125565
6E,5,Pure Unresolved Compression Equilibrium,RotationalPressure,Train,52,0.3154430210985055,0.3013888888886218,1.6665639980809352,0.5384615384615384,1.403661141333451,-1.051106654744128
6E,5,Pure Unresolved Compression Equilibrium,RotationalPressure,Validation,61,-0.27388245410456086,-0.3620689655175093,1.240091668989669,0.36065573770491804,0.9022204335811662,-1.147415094996016
6E,5,Sponsor Exhaustion Collapse,CompressionPressure,Train,79,0.21255010867307972,0.3181818181824926,1.4458270385125949,0.5569620253164557,1.3190742927738555,-1.1429650788532537
6E,5,Sponsor Exhaustion Collapse,CompressionPressure,Validation,58,-0.09200958429221606,-0.21829875015138922,1.5665626101200278,0.3793103448275862,1.1752838352046573,-1.1858751438089032
6E,5,Sponsor Exhaustion Collapse,DirectionalReleasePressure,Train,20,0.13763352202643045,0.1933629959214478,1.7114168422242686,0.55,1.0919337637529367,-1.2651511968643323
6E,5,Sponsor Exhaustion Collapse,DirectionalReleasePressure,Validation,9,-0.103511542365454,-0.7313432835818575,2.0334745976782025,0.3333333333333333,1.2468966025639654,-1.2402571941137226
6E,5,Sponsor Exhaustion Collapse,RotationalPressure,Train,405,-0.45436599684880674,-0.2314049586776562,2.1949830102473666,0.3897058823529412,1.0639722323596104,-1.5817044491618397
6E,5,Sponsor Exhaustion Collapse,RotationalPressure,Validation,285,-0.23895303503424145,-0.1647058823525367,2.5605069567703778,0.43859649122807015,1.2971073546923815,-1.5264921481523575
6E,5,Stable Compression Basin,CompressionPressure,Train,740,-0.24147023557228695,-0.14738475177302873,2.0247433792649594,0.42416107382550333,1.1728287014546843,-1.39020562831839
6E,5,Stable Compression Basin,CompressionPressure,Validation,498,-0.1723310373567331,0.0,2.0968860757873022,0.4678714859437751,1.2704131412793138,-1.3633997763042802
6E,5,Stable Compression Basin,RotationalPressure,Train,197,-0.17163789387503944,-0.2074074074078304,1.6552789863585744,0.4213197969543147,1.1670815076053909,-1.302195460122796
6E,5,Stable Compression Basin,RotationalPressure,Validation,138,-0.2634135133261815,-0.26060606060574376,2.5601694048312154,0.3695652173913043,1.2259637530438485,-1.4278475264733967
6E,5,Unstable Rotational Balance,CompressionPressure,Train,14,-0.34702368457118826,0.1436237373740513,2.5618886989669862,0.5714285714285714,1.2178340560295289,-1.820063276683275
6E,5,Unstable Rotational Balance,CompressionPressure,Validation,9,0.35789376497630543,0.9824561403518532,2.3860488479936413,0.6666666666666666,1.568057595117088,-1.3806720122850888
6E,5,Unstable Rotational Balance,RotationalPressure,Train,254,-0.18475456255447525,0.0,1.7736806044700333,0.4566929133858268,1.1770412308314726,-1.342852049774085
6E,5,Unstable Rotational Balance,RotationalPressure,Validation,161,-0.4497376878465557,-0.5185185185184332,1.779774951773054,0.3167701863354037,1.02400237524331,-1.4952894221545077
6E,10,Directional Continuation / Sponsor Release,CompressionPressure,Train,1,-0.1085271317831736,-0.1085271317831736,,0.0,1.7364341085269226,-2.0620155038759616
6E,10,Directional Continuation / Sponsor Release,DirectionalReleasePressure,Train,109,-0.2137933476766692,-0.3211009174310239,2.361643428166779,0.38596491228070173,1.6054553316062365,-1.773063060027011
6E,10,Directional Continuation / Sponsor Release,DirectionalReleasePressure,Validation,32,0.506234463516827,-0.0,2.9580494966175204,0.46875,2.0417230657696184,-1.4633207481906174
6E,10,Directional Continuation / Sponsor Release,RotationalPressure,Train,76,0.6634743654373844,0.6515151515150558,2.2133276463338993,0.631578947368421,2.1562760828719036,-1.3570892169552924
6E,10,Directional Continuation / Sponsor Release,RotationalPressure,Validation,59,0.6476102314725313,0.2372881355926666,3.0537172269284225,0.5423728813559322,2.323255599338214,-1.7923612669628235
6E,10,Pure Unresolved Compression Equilibrium,CompressionPressure,Train,1521,0.014213081737412005,0.0,2.5335953362715813,0.4816031537450723,1.8994382249066728,-1.8416351919015996
6E,10,Pure Unresolved Compression Equilibrium,CompressionPressure,Validation,1012,0.13830184424537123,0.19178082191798906,2.5251551575751257,0.5227272727272727,1.8872372165848945,-1.6734455725526038
6E,10,Pure Unresolved Compression Equilibrium,RotationalPressure,Train,52,0.9026978186194418,0.5439882697946515,2.4227795673884653,0.5769230769230769,2.3552492683008563,-1.3800847712859965
6E,10,Pure Unresolved Compression Equilibrium,RotationalPressure,Validation,61,-0.2125689781551358,-0.1538461538464917,2.2605747889954815,0.45901639344262296,1.4420925596100445,-1.8729679116061109
6E,10,Sponsor Exhaustion Collapse,CompressionPressure,Train,79,0.10381057382335716,0.249999999999425,2.2384656212860743,0.5569620253164557,1.984511959981676,-1.6914680008876333
6E,10,Sponsor Exhaustion Collapse,CompressionPressure,Validation,58,-0.15972304647096922,-0.2968814968816642,2.5115671496549035,0.43103448275862066,1.68076187596949,-1.9231771200395662
6E,10,Sponsor Exhaustion Collapse,DirectionalReleasePressure,Train,20,-0.4046548798160979,0.13232080419600004,4.1103051020940775,0.5,2.0477681267885774,-2.531411138575125
6E,10,Sponsor Exhaustion Collapse,DirectionalReleasePressure,Validation,9,0.0010497689902451517,-1.2873563218388504,3.676495087216226,0.3333333333333333,1.9317229017311592,-2.39044838464957
6E,10,Sponsor Exhaustion Collapse,RotationalPressure,Train,405,-0.4540898612388771,-0.1818181818185907,3.0256628800014367,0.4583333333333333,1.6255577398252588,-2.2881281167045975
6E,10,Sponsor Exhaustion Collapse,RotationalPressure,Validation,285,-0.4314717660758933,-0.0,3.459534702501888,0.4666666666666667,1.8849485345940042,-2.1858772574608047
6E,10,Stable Compression Basin,CompressionPressure,Train,740,-0.33246120790891276,-0.17397344859541541,3.048306158944258,0.4375838926174497,1.7961155619700078,-2.1320149905308896
6E,10,Stable Compression Basin,CompressionPressure,Validation,498,-0.12511770694739793,0.0,2.88658376804491,0.463855421686747,1.8247136402405737,-1.958889182496204
6E,10,Stable Compression Basin,RotationalPressure,Train,197,-0.06306343387107462,0.0,2.32601911432901,0.4619289340101523,1.717987401077729,-1.9618902570876047
6E,10,Stable Compression Basin,RotationalPressure,Validation,138,-0.02819677793470395,0.0,3.2358188160100148,0.4855072463768116,1.8585372095209023,-1.9227103430941004
6E,10,Unstable Rotational Balance,CompressionPressure,Train,14,0.11521494787213646,0.05915880503191065,2.9606024833748825,0.5,1.9602775423699759,-2.075337538286574
6E,10,Unstable Rotational Balance,CompressionPressure,Validation,9,0.3447435136005344,0.2456140350882359,3.9648810502265013,0.6666666666666666,2.2017008586596427,-2.378088032956771
6E,10,Unstable Rotational Balance,RotationalPressure,Train,254,-0.35493338793301854,-0.19210526315829957,2.5412301642082697,0.42913385826771655,1.5964995290946866,-2.059815331182824
6E,10,Unstable Rotational Balance,RotationalPressure,Validation,161,-0.542829334418118,-0.4069767441861747,2.2095136633930896,0.37267080745341613,1.4090291905095471,-2.109256272063599
6E,20,Directional Continuation / Sponsor Release,CompressionPressure,Train,1,1.953488372092788,1.953488372092788,,1.0,2.3875968992245187,-2.0620155038759616
6E,20,Directional Continuation / Sponsor Release,DirectionalReleasePressure,Train,109,-0.6695930969550149,-1.1666666666665586,3.2989509252924476,0.45614035087719296,2.2349440600824284,-2.936016721589645
6E,20,Directional Continuation / Sponsor Release,DirectionalReleasePressure,Validation,32,2.495597348377598,1.829100495081279,4.82633154558747,0.65625,4.240852532312673,-1.8762488708393597
6E,20,Directional Continuation / Sponsor Release,RotationalPressure,Train,76,0.3549594714733877,0.19356955380593643,3.540680432777289,0.5263157894736842,3.1305729055892617,-2.0864180883642773
6E,20,Directional Continuation / Sponsor Release,RotationalPressure,Validation,59,0.2115260267781682,-0.0,3.359926387162048,0.4576271186440678,3.296946561136972,-2.730493382205254
6E,20,Pure Unresolved Compression Equilibrium,CompressionPressure,Train,1521,0.12898603885039867,-0.0,3.8206456845805876,0.4888304862023653,2.8687447865823077,-2.663071173310212
6E,20,Pure Unresolved Compression Equilibrium,CompressionPressure,Validation,1003,-0.23582142909481152,0.0,3.8799975079047737,0.47058823529411764,2.6533145430052136,-2.6542835065872947
6E,20,Pure Unresolved Compression Equilibrium,RotationalPressure,Train,52,1.0973343457790012,0.2166069295103698,5.079933802688701,0.5576923076923077,3.668165064295251,-2.190272239314034
6E,20,Pure Unresolved Compression Equilibrium,RotationalPressure,Validation,60,0.6393604336127,0.8044871794869346,2.8102779440185404,0.55,2.5993026472261205,-2.122606867934677
6E,20,Sponsor Exhaustion Collapse,CompressionPressure,Train,79,0.006899830952931372,0.3255813953480974,4.6885154535193605,0.5316455696202531,3.055821711428307,-2.882297077995128
6E,20,Sponsor Exhaustion Collapse,CompressionPressure,Validation,58,-0.6480203550973738,-0.5870175438596095,4.11619120838632,0.3793103448275862,2.121859956469815,-2.945346970474613
6E,20,Sponsor Exhaustion Collapse,DirectionalReleasePressure,Train,20,-1.0661177458556157,0.1971830985915061,5.011982712759293,0.5,2.955255833733088,-3.9478942339763266
6E,20,Sponsor Exhaustion Collapse,DirectionalReleasePressure,Validation,9,-0.47217505824602135,-3.11111111111152,5.4256064384230465,0.3333333333333333,3.0889818657006343,-3.3735265442666735
6E,20,Sponsor Exhaustion Collapse,RotationalPressure,Train,405,-0.5788990588482281,-0.2352941176470281,4.570514581827338,0.45098039215686275,2.5137375591852957,-3.4320418121714815
6E,20,Sponsor Exhaustion Collapse,RotationalPressure,Validation,285,-0.33264359794167303,0.0,4.733968052659563,0.4982456140350877,2.841126865857841,-3.2046683178531743
6E,20,Stable Compression Basin,CompressionPressure,Train,740,-0.4753343139694829,-0.36681922196790384,4.069904331764007,0.4214765100671141,2.560372663651991,-3.1043954767430724
6E,20,Stable Compression Basin,CompressionPressure,Validation,498,-0.2711419077298153,-0.15823754789270855,4.191699875742063,0.46987951807228917,2.713609971404653,-2.9617874809251634
6E,20,Stable Compression Basin,RotationalPressure,Train,197,-0.2612575049067313,-0.5526315789468625,3.623843012952381,0.40609137055837563,2.7202115719163573,-2.792435065319724
6E,20,Stable Compression Basin,RotationalPressure,Validation,138,-0.03889663597363796,0.0,4.470002739371811,0.4855072463768116,2.8573208460170423,-2.657240810724143
6E,20,Unstable Rotational Balance,CompressionPressure,Train,14,-0.5247558743578498,-1.1805658972445756,3.991677214130882,0.35714285714285715,3.3892766033646633,-3.2126382318560323
6E,20,Unstable Rotational Balance,CompressionPressure,Validation,9,-0.2150011871549054,-0.4516129032254182,4.5848924278610355,0.4444444444444444,2.5588350071393355,-3.0167794854809253
6E,20,Unstable Rotational Balance,RotationalPressure,Train,254,-0.47857231710942555,-0.22952361755044845,3.3527201218818643,0.4409448818897638,2.2604955216511953,-2.9522296068007208
6E,20,Unstable Rotational Balance,RotationalPressure,Validation,161,-0.5521659548707988,-0.3500000000006605,3.335154265378507,0.40372670807453415,2.15152384068265,-2.7969040470681876
ES,5,Directional Continuation / Sponsor Release,DirectionalReleasePressure,Train,77,-0.1850782574670244,-0.175438596491228,1.533913870951288,0.41975308641975306,1.0260610620319293,-1.3170895296417418
ES,5,Directional Continuation / Sponsor Release,DirectionalReleasePressure,Validation,50,0.8228405779428003,0.5637554030002543,1.7640406263745514,0.7,1.7560738700527971,-0.7808497681332837
ES,5,Directional Continuation / Sponsor Release,RotationalPressure,Train,49,0.16666300101302478,0.0851063829787234,2.2363093806545002,0.5102040816326531,1.2218296367202781,-1.1932161931485765
ES,5,Directional Continuation / Sponsor Release,RotationalPressure,Validation,32,0.188799589119627,0.13161094224924005,1.2621312979411274,0.53125,1.1419072201638714,-0.9286972182640618
ES,5,Pure Unresolved Compression Equilibrium,CompressionPressure,Train,849,0.09487832143446868,-0.0528301886792452,2.42862490211049,0.47820965842167257,1.3420412344683885,-1.209356795164796
ES,5,Pure Unresolved Compression Equilibrium,CompressionPressure,Validation,559,-0.08308308597417426,-0.0916230366492146,2.1033743222306334,0.4669051878354204,1.252429202756545,-1.2878579112991948
ES,5,Pure Unresolved Compression Equilibrium,RotationalPressure,Train,45,0.29740583156796463,0.0717948717948717,1.9401900713387528,0.5111111111111111,1.5296039121163156,-1.2155940788078576
ES,5,Pure Unresolved Compression Equilibrium,RotationalPressure,Validation,21,-0.3007703713715267,0.1559888579387186,2.0277809625509398,0.5238095238095238,1.4443964499993536,-1.7102584371303382
ES,5,Sponsor Exhaustion Collapse,CompressionPressure,Train,39,-0.03572810606521004,-0.0941176470588235,1.764246866945948,0.46153846153846156,1.296321526261011,-1.1780830991137834
